"","speaker","title","msg"
"1","Operator",NA,"Good morning, everyone, and welcome to today's conference call titled, The AES Corporation Second Quarter Financial Review Call. My name is Ellen and I'll be coordinating the call for today. [Operator Instructions]

It is now my pleasure to turn the call over to Susan Harcourt, Vice President of Investor Relations. Susan, please go ahead whenever you are ready."
"2","Susan Harcourt","Vice President, Investor Relations at AES","Thank you, operator. Good morning, and welcome to our second quarter 2023 financial review call. Our press release, presentation and related financial information are available on our website at aes.com.

Today, we will be making forward-looking statements. There are many factors that may cause future results to differ materially from these statements, which are discussed in our most recent 10-K and 10-Q, filed with the SEC. Reconciliations between GAAP and non-GAAP financial measures can be found on our website along with the presentation.

Joining me this morning are Andres Gluski, our President and Chief Executive Officer; Steve Coughlin, our Chief Financial Officer; and other senior members of our management team.

With that, I will turn the call over to Andres."
"3","Andres Gluski","President and Chief Executive Officer at AES","Good morning, everyone, and thank you for joining our second quarter 2023 financial review call. Today, I will discuss our second quarter results as well as the excellent progress we're making towards our financial and strategic objectives. Steve Coughlin, our CFO, will give some more detail on our financial performance and outlook.

For the second quarter, adjusted EBITDA, with tax attributes, was $607 million and adjusted earnings per share was $0.21. Results for the quarter as well as for the first-half of the year are very much in line with our expectations. Thus, we are reaffirming our 2023 guidance for all metrics and our targeted annualized growth rate through 2027. As we noted earlier this year, approximately 75% of our 2023 earnings will come in the second-half of the year.

Now for an update on our strategic priorities. At the core of our strategy is the focus on, first, new renewables with the target to triple our installed capacity by 2027; second, growth at our U.S. utilities where we expect to increase the rate base by more than 10% per year through 2027; and third, the transformation of our portfolio as we exit coal by the end of 2025 and invest in the new technologies that will define our industry for years to come. Today, I will provide an update on how we're executing across each of these focus areas, beginning with our renewables on Slide 4.

We continue to see significant inbound interest from key customers wanting to do large U.S.-based renewable projects with us. We believe this reflects both our reputation for consistently delivering on-time as well as our best-in-class ability to tailor projects to the specific needs of our customers. Year-to-date, we have now signed 2.2 gigawatts of new PPAs, including 2.1 gigawatts since our Investor Day in May. These numbers do not include 1 gigawatt from Bellefield's second phase or 1.4 gigawatts from our green hydrogen project with Air Products in Texas, both of which could be signed before the year's end. I feel good about the likelihood that we will sign 5 gigawatts to 6 gigawatts of new PPAs this year. We continue to be globally the Number 1 seller of renewable energy to corporate customers. We also have a leading position in the U.S., providing renewable energy to datacenters, which we're seeing explosive growth, in part, as a result of the generative AI revolution.

Turning to Slide 5. Another area of recent success is how we have been working with technology customers to complete projects initiated by other developers. Our corporate customers want us to take on these projects because they know we will deliver them on-time and can also restructure the original PPAs to provide customized solutions. Two great recent examples of this are the 185 megawatt Delta Wind Project in Mississippi, which has a signed PPA with Amazon; and the 2 gigawatt Bellefield project in California, 1 gigawatt of which has a signed PPA with a large technology company that is a repeat customer. Both of these projects demonstrate the strength of the relationships we have with our customers. For us completing other developers projects is especially attractive, because we can get similar returns to greenfield projects, while preserving our current pipeline for future projects. Our 61 gigawatt pipeline represents investments in land, interconnection and development, which must be replaced once utilized. Giving growing constraints on new transmission in markets like California and PJM, having the flexibility to decide when to utilize these resources helps us maximize total returns from our renewables business.

Moving on to Slide 6. We now have a backlog of projects with signed long-term contracts of 13.2 gigawatts, which is the largest in AES' history. I would like to reiterate once more that our definition of backlog includes only signed contracts, for which we have an obligation to deliver and our customers have an obligation to take a given amount of renewable energy for a given amount of time. The average tenor of the contracts in our backlog is 19 years. And currently, 41% of our 13.2 gigawatt backlog is already under construction and 74% is slated to come online within the next three years.

Turning to Slide 7. Since our Investor Day in May, we have completed a number of landmark projects. In June, we announced the commercial operation of the 238 megawatt Phase 1 of the Chevelon Butte Wind Project in Arizona. It is one of the first projects in the country to be placed in service to qualify for the 10% additional Energy Community Tax Credit Bonus under the Inflation Reduction Act. And once Phase 2 is completed, it will reach 454 megawatts and be the largest wind project in the state. In addition, we completed the Andes 2b Solar + Storage Project in Chile for our copper mining customers. Its 180 megawatts of solar plus 560 megawatt-hours of storage will make it the largest battery storage installation in all of Latin America. We were also able to use 5B's prefabricated solar panels for a portion of the project, which advances the learning and lowers the cost of future developments.

Turning to Slide 8. We are on track to complete the 3.4 gigawatts of new renewable projects we committed to earlier this year, including nearly 800 megawatts we've already brought online. In the U.S., we expect to commission roughly 2.1 gigawatts, which is roughly double the capacity we installed last year. I'm very proud of the work our teams have done to ensure that we have had no supply chain or construction delays. All of the necessary equipment has been contracted for our 2023 through 2025 backlog. There remains the potential for completion of up to an additional 600 megawatts this year in the U.S., given the strong performance of our construction program. We see our record of completing projects on-time is a key competitive advantage that is highly valued by our customers. We were one of the only major developers that did not abandon or meaningfully delay construction projects over the last two years, due to supply chain issues. Furthermore, due to our emphasis on long-term planning and strong contractual agreements, we have maintained our project margins despite inflationary pressures and rising interest rates.

Now moving to our second priority of utility growth on Slide 9. We remain on-track to grow our U.S. pretax contribution at an annualized rate of 17% to 20% through 2027. At AES Ohio, we expect to receive commission approval for our new Electric Security Plan or ESP4 by the end of August, at which point, our new distribution rates would go into immediate effect. As a reminder, ESP4 includes approval of timely recovery of $500 million in grid modernization over the next three years, carrying a 10% return on equity. This will allow us to accelerate investments to continue to improve the quality of service, while maintaining the most competitive rates in Ohio. At AES Indiana, we filed for a new rate case in June, the first rate case since 2018. The proposed new rates are designed to recover inflationary impacts since the last case as well as investments in reliability, resiliency improvements and system upgrades. We expect commission approval by the middle of next year. Even after this proposed increase, we still expect our residential rates to be among the lowest in the state. At AES Indiana, we continue to advance our low-carbon generation growth plan. We recently filed for approval to build a 200 megawatt or 800 megawatt-hour storage facility at the site of the retiring Petersburg coal plant. This project is expected to come online by the end of next year, at which point, it will be the largest battery storage project in the Midwest.

Now turning to Slide 10 and our third priority of transforming our portfolio by exiting coal generation by the end of 2025. Since our Investor Day in May, we have significantly advanced our decarbonization objectives by assuring the retirement of an additional 900 megawatts of coal generation. In June, we retired 415 megawatts of coal as we shut-down Unit 2 of the Petersburg plant at AES Indiana. We also announced the retirement of the 276 megawatt Norgener plant in Chile by 2025. Additionally, we received final approval, allowing for the termination of the PPA at our 203 megawatt Warrior Run run plant in Maryland for proceeds of $357 million.

Now turning to Slide 11. We have expanded our leadership in the development and application of new technologies in our sector. We see this as another important competitive advantage. A new example is the use of embedded artificial intelligence, including generative AI, across our operations. This year, we already expect more than $200 million of our adjusted EBITDA to be enabled by AI through both cost reductions and revenue enhancements. We have incorporated AI and data analytics across our operations from areas such as wind production forecasting to vegetation management to identification of isolated solar panel failures. As part of this program, we also continue to pioneer and advance the use of robotics to install and maintain solar panels. Through our solar robotics program, we are developing proprietary AI-based computer vision to install a wide variety of solar modules, including the largest and heaviest models. With this technology, we plan to install projects significantly faster and across a wide range of working conditions, including extreme heat. In the coming months, we will be validating this technology for the installation of tens of megawatts and expect to move to use it for full-scale solar projects in 2024.

Finally, we're consolidating our lead in advanced green hydrogen projects with committed off-takers. We are currently developing the largest announced green hydrogen project in the U.S. jointly with Air Products in Texas. It features 1.4 gigawatts of inside-the-fence hourly matched renewables, 200 metric tons of hydrogen per day and a 30-year take or pay contract. It is expected to come online in 2027. Our pipeline of advanced green hydrogen projects is equivalent to more than 6 gigawatts of renewables in 800 metric tons of hydrogen per day.

With that, I would like to turn the call over to our CFO, Steve Coughlin."
"4","Stephen Coughlin","Executive Vice President and Chief Financial Officer at AES","Thank you, Andres, and good morning, everyone. Today, I will discuss our second quarter results, 2023 parent capital allocation and 2023 guidance.

Turning to our financial results for the quarter. Beginning on Slide 13. I'm pleased to share that the second quarter was fully in line with our expectations, keeping us well on-track to achieve our full-year guidance. Adjusted EBITDA, with tax attributes, was $607 million versus $722 million last year, driven primarily by lower margins at AES Andes and higher costs at a Renewables SBU due to an accelerated growth plan, but partially offset by new renewables coming online and higher availability at select thermal businesses. Tax attributes earned by our U.S. renewables projects were relatively flat at $38 million in the second quarter of this year, in line with our expectations.

Turning to Slide 14. Adjusted EPS was $0.21 versus $0.34 last year. In addition to the drivers of adjusted EBITDA, we saw higher parent interest expense this quarter. As a reminder, our year-to-date EPS is fully in line with the breakdown that we outlined earlier this year, in which we noted that roughly 25% of our earnings would come in the first-half of the year and 75% in the second-half.

I'll cover the performance of our strategic business units or SBUs in more detail over the next four slides, beginning on Slide 15. In the Renewables SBU, we continue to execute on our strategic priority to triple our portfolio by 2027. For the second quarter, as expected, we saw higher adjusted EBITDA with tax attributes, driven primarily by higher wind generation and new projects coming online, partially offset by higher business development and fixed costs due to our accelerated growth plan. At our Utilities SBU, we saw higher adjusted PTC, driven by lower maintenance expenses, but partially offset by higher interest expense from new debt. We continue to expect strong utilities earnings for the second-half of the year, driven by typical second-half demand seasonality and depending August decision on the ESP5 at AES Ohio. With this pending decision and the great progress in renewables growth at AES Indiana, we are continuing to pursue our strategic priority to increase rate base by an average of 10% annually through 2027.

Lower adjusted EBITDA at our Energy Infrastructure SBU primarily reflects lower margins at AES Andes, in line with our phase out of coal, partially offset by higher availability at select thermal units. As we execute our third strategic priority to exit coal and complete the transformation of our portfolio, although not every quarter, we generally expect to see annual year-over-year declines in energy infrastructure as we discussed at Investor Day in May.

Finally, at our New Energy Technologies SBU, higher adjusted EBITDA reflects continued improved profit margins at Fluence. Fluence has shown year-over-year improvement for three straight quarters and we are very pleased with the strong results they are delivering this year.

Now to Slide 19. We are on-track to achieve our full-year 2023 adjusted EBITDA guidance range of $2.6 billion to $2.9 billion. Growth in the year-to-go will be primarily driven by contributions from new businesses, including growth at our U.S. utilities and contributions from new renewables projects coming online. As a reminder, the 3.4 gigawatts of new renewables we expect to add this year represents an increase of over 75% compared to the 1.9 gigawatts we added to our portfolio last year. This amount also represents a doubling of new renewables in the U.S. versus 2022. This growth will be offset by approximately $200 million of LNG sales we've recorded primarily in the third quarter last year, which we do not expect to recur this year. In addition to our adjusted EBITDA, we expect to realize $500 million to $560 million of tax attributes in 2023, bringing our total adjusted EBITDA plus tax attributes to $3.1 billion to $3.5 billion for the year.

Turning to Slide 20. We are also reaffirming our full-year 2023 adjusted EPS guidance range of $1.65 to $1.75. As a reminder, we expect our adjusted EPS to be heavily fourth quarter weighted due to the late year seasonality of our U.S. renewable project commissioning.

Now to our 2023 parent capital allocation plan on Slide 21. Sources reflect approximately $2.4 billion of total discretionary cash, including $1 billion of parent free cash flow, $400 million to $600 million of asset sales and a $900 million parent debt issuance we completed in Q2. For more information on our debt issuances at the parent company and our subsidiaries, please refer to the appendix of the presentation. On the right-hand side, you can see our planned use of capital remains largely in line with guidance, with higher parent investment reflecting our recent acquisition of the 2 gigawatt Bellefield project in the U.S. At our Investor Day in May, we outlined our capital allocation plan through 2027, including asset sales, along with debt and potential future equity issuances.

We appreciate all of the feedback we received, and I want to take a moment to clarify that we will only raise an invest capital in a way that's value-accretive to our shareholders. Any potential future equity issuances would have to yield accretive value to shareholders for us to pursue equity as a source of capital. We are also committed to improving our credit profile over time and further bolstering our investment-grade rating. We have a number of other levers to pull to support our growth, such as increased capital recycling through asset sales and sell-downs. Given our strong asset sale track-record and recent success, it is possible that any future equity issuances could be materially lower than the five-year figure we previously shared. As always, our Investor Relations team is happy to take additional feedback and to follow-up on additional questions or data requests.

In summary, we're continuing to make progress on transforming AES' portfolio, while delivering strong growth in adjusted EBITDA, earnings and parent free cash flow. Our businesses are executing successfully and delivering on their commitments. We will continue to allocate our capital towards our high growth renewables and utilities to maximize shareholder value.

With that, I will turn the call back over to Andres."
"5","Andres Gluski","President and Chief Executive Officer at AES","Thank you, Steve. In summary, we are reaffirming our 2023 guidance for all metrics and our targeted annualized growth rate through 2027. We continue to make substantial progress on our strategic priorities, including tripling our installed renewables capacity by 2027, increasing the rate base at our U.S. Utilities by more than 10% per year through 2027 and transforming our portfolio by exiting coal by at the end of 2025, while investing in new technologies. We are delivering on all the commitments we made on our Q4 2022 earnings call and at our Investor Day presentation.

With that, I would like to open up the call for questions."
"6","Operator",NA,"Thank you. We will now enter our Q&A session. [Operator Instructions]

We will take our question from Durgesh Chopra from Evercore ISI. Durgesh, your line is now open, please proceed."
"7","Durgesh Chopra","Analyst at Evercore ISI","Hey, team, good morning, and thank you for giving me time. Andres, just -- you're now, if I heard you correctly in your remarks, are targeting 5 gigawatt to 6 gigawatt of new PPAs first. Can you confirm whether that is accurate, because that's higher than what kind of you might have logged down in previous years? And then what's driving that higher range?"
"8","Andres Gluski","President and Chief Executive Officer at AES","Sure, Durgesh. Good to talk to you. Look, we signed 5.2 gigawatts of new PPAs last year. So, what we're seeing this year, as you know, we already have 2.2 gigawatts signed. We have visibility into just two projects, which would be another about 2.4 gigawatts, right, it would put us 4.4 gigawatts. And, of course, we have other projects in the pipeline. And so, we're not really setting out an official target, but I'm saying that we believe that we should be similar to last year. And we do have a couple of, as what I call, these whales, these 1 gigawatt-plus targets, but we feel very good, because we see a lot of demand for our products. We have people coming to us with products. So, it's really looking at how do we best allocate our money where we get the highest returns and best allocate our teams."
"9","Durgesh Chopra","Analyst at Evercore ISI","Got it. Thank you for that. And then maybe when could we get clarity on the potential 600 megawatts in terms of timing? Is that really sort of a Q3 call event when we would know more? How should we think about that? I'm just thinking about the projects that were pushed into 2024, yeah."
"10","Andres Gluski","President and Chief Executive Officer at AES","Sure. Look, I would say that, we feel very good about our construction program. So -- versus -- this was the big challenge of this year to grow our construction program in the U.S. by 100%, we feel very good about it. Unfortunately, a lot of these are slated to be commissioned towards the latter part of the year. So, we should have a good view in -- on the Q3 call of where we stand and whether we're going to do more of these projects this year.

But in general, we're very pleased with the supply chain, with our construction teams. The team has really stepped-up to the task. And I'm very proud of them."
"11","Durgesh Chopra","Analyst at Evercore ISI","Excellent. And then just one last one for me. Steve, you mentioned that the equity needs could be materially reduced. It's nice to here that in your prepared remarks. Maybe just -- can you give us more color when could we get an update on timing? What are you thinking just the current equity needs, when in the plan are those scheduled to hit and just when could we get an update?"
"12","Stephen Coughlin","Executive Vice President and Chief Financial Officer at AES","Yeah. Look, I mean, as I said in my remarks, Durgesh, this is just a function of multiple levers. And we're seeing a lot of great progress on our asset sale program and the $3 billion that we put out at Investor Day was well below the total universe of opportunities. So, what I wanted to point out is that we're only going to issue equity in the future and that could be far in the future to the point that it's value-accretive to shareholders and we haven't also tapped other sources that we intend to tap, which is our asset recycling program.

So, as you saw with Warrior Run, as we've seen -- as we've executed on the renewable sell-downs, as we exit further coal assets, we have a lot of upside in that asset sale number. So, at this point, it's indefinitely into the future and our share price would need to be substantially higher than where it is today and it would have to be value-accretive to shareholders on a per share basis."
"13","Andres Gluski","President and Chief Executive Officer at AES","Yeah. And, Durgesh, another point I'd like to make is that we've been very effective at bringing in partners to fund our projects. So, that's obviously another lever that we have. So, we laid out what could be a possible path, we were very conservative on the numbers. But if we don't feel that we want to some point in the future issue equity, we can always invite partners into our project. Of course, we're giving them part of the upside as well."
"14","Durgesh Chopra","Analyst at Evercore ISI","Got it, guys. I appreciate that detailed commentary. Thank you very much."
"15","Andres Gluski","President and Chief Executive Officer at AES","Thank you."
"16","Operator",NA,"Thank you. Our next question comes from David Arcaro from Morgan Stanley. David, your line is now open, please go ahead."
"17","David Arcaro","Analyst at Morgan Stanley","Hi, good morning. Thanks so much for taking my questions."
"18","Andres Gluski","President and Chief Executive Officer at AES","Hi, good morning."
"19","David Arcaro","Analyst at Morgan Stanley","I was wondering, just what's -- good morning. What's your latest thinking on just the hydrogen PTC timing in terms of treasury guidance here and what the rules around matching and additionality might be? And it kind of -- it -- just in coordination with that, what are your -- what's your current, like, project pipeline in discussions with potential partners on that side of the business as it stands currently?"
"20","Andres Gluski","President and Chief Executive Officer at AES","Sure. Great question. Well, of course, the final rules haven't come out. What I would like to say is that our Felix project, our project in Texas, is really would meet the very strict criteria. So, it is additional, it is hourly matched, it is regional. So, it has the very lowest carbon footprint technically feasible in the U.S. So I'd like to put that right out there that our project is not dependent in any way about how the rules come out.

Now having said that, I do believe that additionality is important. I also believe that we have to move to early matching, in part, because we need green hydrogen projects to be tradable goods. So, these are the rules in Europe. I also think regionality is important. So, we don't add further congestion. So, really what we want is that the new rules come out help us create a market, but they also help lower total carbon footprint. So, we don't want to just be squeezing the balloon, taking off renewable energy from the grid to produce green hydrogen. We can get into more specifics there.

So, I do expect that the rules will come out, will incorporate some of these factors. But I want to say that our projects are very solid, we have committed off-takers, which I think is the key. What is -- because this market for green hydrogen is developing. So, they have early-on projects. I think the key is not only have a great project, have it with a very low-carbon footprint so you get all of the benefits of the IRA, but to have a committed off-taker."
"21","David Arcaro","Analyst at Morgan Stanley","Okay. Great. That's helpful color. And then I was curious if you could speak to the transmission challenges just related to transmission interconnection in the renewable industry. You alluded to it in your commentary, but I was wondering if you could speak to what your kind of current pipeline of maybe transmission queue positions and also with regard to like early-stage development, land positions, things like that, how soon could transmission constraint potentially impact your business and how are you positioned now to kind of avoid that in the foreseeable future?"
