"","speaker","title","msg"
"1","Operator",NA,"Good day and welcome to the Alexandria Real Estate Equities' Second Quarter 2023 Conference Call. [Operator Instructions]

I would now like to turn the conference over to Paula Schwartz with Investor Relations. Please go ahead."
"2","Paula Schwartz","Managing Director of Rx Communications Group at Alexandria Real Estate Equities","Thank you and good afternoon, everyone. This conference call contains forward-looking statements within the meaning of the federal securities laws. The company's actual results might differ materially from those projected in the forward-looking statements. Additional information concerning factors that could cause actual results to differ materially from those in the forward-looking statements is contained in the company's periodic reports filed with the Securities and Exchange Commission.

And now I'd like to turn the call over to Joel Marcus, Executive Chairman and founder. Please go ahead, Joel."
"3","Joel S. Marcus","Executive Chairman and Founder at Alexandria Real Estate Equities","Thank you, Paula, and welcome everybody to our second quarter earnings call. Our one-of-a-kind company which pioneered the lab space niche continues to perform well in both good times and tough times, demonstrating the resiliency of our unique business model in our now post-pandemic world. In fact, COVID-19 really reaffirmed the sustained strength of our life science industry fundamentals and the need for our essential lab space infrastructure. This favorable backdrop for this nation's -- one of the nation's most mission-critical industries which we serve, continues to underpin our business, driving demand for our world-class brand, and highly differentiated assets and operations. I want to thank each and every member of the Alexandria family team for an operationally and financially excellent second quarter.

A big shoutout to the finance and accounting team for winning the 2023 Nareit Gold Award, awarded by Nareit in June for the best REIT reporting and transparency, and amazingly an unprecedented eighth award and most ever by any REIT. Alexandria is truly a best-in-class REIT which pioneered the lab space niche and which I believe has made a metamorphic and innovative and transformational impact on our life science industry for the last 29 years. We're very proud of the stellar balance sheet we built since the days of the great financial crisis when we were a small and unrated REIT. Upon the closing of our $1 billion line of credit accordion add-on one of the banks said of Alexandria, ""Congratulations on the successful expansion of your credit facility to $5 billion. This is a significant accomplishment in any environment where many real estate owners are struggling to source debt capital. It is a testament to the strength, quality, and endurance of the Alexandria platform.""

So let me turn to some highlights of the quarter. Dean will cover in detail, but I want to just give a little bit of perspective. The second quarter was a very strong reporting quarter, generally in line with our five- and 10-year historical run rates, financial metrics, and certainly outside of the rocket ship performance during COVID. We had strong FFO per share growth in both the second quarter and the first half approximating 7%, especially in a continuing challenging macro and nicely beating consensus. Strong leasing quarter at 1.3 million rentable square feet ahead of the historical run rate of about 1.1 million square feet, and NOI was up nicely, almost $200 million for the quarter. Positive rental growth, stable occupancy, and solid same-store NOI increases also posted. The continuing strength and I think overall solidity of our fortress balance sheet continues. Our ability to reiterate and maintain strong guidance, all the metrics should demonstrate our continuing confidence in our tenants' demand for essential lab space coupled with our ability to operate successfully in a moderately elevated supply-dynamic environment.

And then let me make a couple of comments on the life science industry, which Jenna will detail in just a moment, couple of high-level observations. M&A, a critical part of the capital recycling, continues to increase, mostly with bolt-on product deals, which is a good and positive sign. Series A rounds in 2023 so far have averaged about $60 million, an all-time high. And biologics, not surprisingly, have attracted the majority of early-stage investments.

And with that kind of brief intro, let me turn it over to Jenna Foger."
"4","Jenna Foger","Senior Vice President, Science & Technology at Alexandria Real Estate Equities","Thank you so much, Joel, and good afternoon, everyone. This is Jenna Foger, Senior Vice President and Co-lead of our Science & Technology team here at Alexandria. Today I'm going to comment on the solid fundamentals of the secularly growing life science industry, how these fundamentals contribute to the continued vitality and health of Alexandria's best-in-class life tenant base, and innovation as a long-term driver of life science industry growth.

The secularly growing life science industry, which has an estimated market value of over $5 trillion and approximately $450 billion in estimated 2023 R&D funding fuels continuing demand for Alexandria's essential 24x7 lab space infrastructure across our cluster markets. This industry is driven by the achievement of scientific, clinical, and commercial milestones and is not significantly impacted by market cyclicality nor by some of the macro trends impacting commodity REITs today.

With over 10,000 diseases known to humankind in less than 10% addressable with current therapies, the incredible innovation taking place within our lab space facilities is and will remain a national imperative. Taking a closer look at the health of our tenant base, beginning with multinational pharma, which makes up 17% of our ARR, this segment continues to operate from a position of strength. In 2022 biopharma deployed an estimated $267 billion into R&D, representing a 57% increase in biopharma R&D spend over the past 10 years, which is expected to continue to increase.

Given the immense capital firepower on the balance sheets of large-cap pharma in excess of $300 billion and healthy pressure on pharma to continue to pad its late-stage pipelines with sources of new revenue, there has been a significant uptick in M&A, as Joel mentioned. The first half of 2023 M&A deals value has already totaled $97 billion, surpassing total M&A transaction value for full year '21 and '22, pumping additional liquidity into the sector. We also see increased pharma partnering activity across our regional ecosystems as well.

Transitioning to private venture-backed biotech, which makes up 10% of our total ARR, we continue to see healthy life science venture activity with a significant $17.7 billion invested in the first half of 2023, which while down from the record pandemic period peak, life science venture activity remains quite strong by historic standards, and in line with 2018 and 2019 levels. Given the record high years of venture fundraising by life science venture funds in '21 and '22, there is still plenty of dry powder to deploy. So, of course, given the broader capital market context and a very narrow IPO window, venture capitalists are more discriminate, disciplined and demanding of new and future investments, with the expectation that companies may need to stay private for longer. Private biotechs with tenured management teams, strong differentiated technologies, and clear line of sight to value inflection milestones, consistent with our own tenant underwriting selection criteria, are the ones that continue to rise above the fray.

As for public biotechs, our public biotech tenants with marketed products make up 14% of our ARR and include companies such as Amgen, Gilead, Vertex and Moderna. This is also a very healthy segment of our tenant base with substantial revenues and continues to be a critical contributor to innovation and partnerships across our ecosystem. For our preclinical and clinical-stage public biotechs, comprising 10% of ARR, compelling clinical data remains king and this segment of our tenant base continues to perform. Tenants such as Black Diamond, Disc Medicine, Vaxcyte, and Biomea Fusion, to name a few, have recently raised substantial follow-on public equity financings on the heels of promising clinical data.

As we always have, our science and technology team continues to meticulously underwrite and monitor all of our tenants very closely. Notwithstanding, in the process of developing novel medicines, there will always be some that fail in every type of macro market environment. And this is, of course, baked into our model. With a deep tenant base, relationships across every facet of the industry and in each of our regional ecosystems and, of course, the highest-quality infrastructure and operations, we get ahead of potential tenant challenges to backfill and further enhance our tenant roster. Reflecting the health of our current tenant base, in 2Q '23, tenant rent collections were at 99.9%, and we've already collected over 99.7% of July rents.

Now a word on innovation. Catalyzed by groundbreaking technologies, new modalities, massive unmet medical need, and strong fundamentals, the life science industry remains uniquely positioned to tackle and solve our most persistent and major healthcare challenges. The emergence of a new golden age of biology only bolsters the strength and growth potential of this vital industry. In this new historic age, the FDA has approved over 450 new drugs over the past decade. And 2023 is on track to be a near all-time record high year of new drug approvals, starting the year off with over 60 PDUFA dates set on the FDA calendar to review New Drug Applications.

Collectively reflecting the productivity and impact of the life science industry to bringing new medicines to patients, many of our tenants are at the forefront of this innovation. To name a few, Pfizer and GSK each received new approvals this year for their respective RSV vaccines, an incredible feat given a long history of failed vaccine development in RSV. And Biogen's Tofersen also received a vanguard approval for ALS, a debilitating neurodegenerative disorder lacking current treatments.

These trends reaffirm the fundamental truth Alexandria recognized nearly three decades ago. Our fully-integrated mission-critical lab space infrastructure centered in core hubs of innovation is essential of our tenants to advance scientific discovery that improve human health. Through every market cycle, Alexandria's tenants rely on a central lab space infrastructure for the intended purpose to provide 24x7 compliance, fully-integrated and workflow-optimized facilities to house, operate, advance, and help safeguard in aggregate billions of dollars of scientific research, specialized equipment, pipeline programs, and commercial assets. It is the advancement of this science and related intellectual property in Alexandria's lab space buildings that drives the utilization of and demand for space. Much like a datacenter that is constantly and consistently capturing and storing data throughput, the volume, velocity, and value of the scientific throughput occurring in our spaces at any point in time is not correlated with the volume of people flowing in and out of our buildings and campuses. As such, a more relevant metric for measuring utilization of Alexandria's lab space assets or tenants is energy consumption. And we have seen consistent same-store electricity energy consumption across Alexandria's lab space asset base today as we did in pre-pandemic year.

Equally as important to known, within Alexandria's lab space assets, the laboratories, and adjacent non-technical space cannot be decoupled. Each tenant's base floor and building plan is fully integrated and intentionally designed to enable seamless workflows between the laboratory and non-technical spaces within the leased premises. Remember, the majority of tenant employees in our lab space assets interact with the science in the lab in some way, including to conduct experiments, analyze and interpret data, plan new experiments, make business decisions about the data, or engage in other related activities. This is the nature of life science companies, research workflows, critical aspects of which clearly cannot be performed from home.

And lastly, collaboration. Collaboration is also fundamental to innovation and overall life science industry productivity and really critical for translating discoveries from academia into treatments, diagnostics, and cures by biotech and pharma companies. It is also a key reason why 17 of the top 20 multinational biopharmas lease space from Alexandria across our regional markets to access this early innovation. And I point to the recent example from Verve and Lilly collaboration in Greater Boston, Pipeline Therapeutics and J&J collaboration in San Diego as two recent examples of collaboration across our campuses. Now, given the proprietary and regulatory considerations, these collaborations are, of course, intentionally and tightly managed by executive teams, and employees from one company are not wandering back and forth between discrete tenant spaces to collaborate ad hoc. Clearly more or less people in a building or on a campus is really not correlated with more or less collaboration.

So to wrap my comments, while today's broader macroenvironment will continue to warrant extreme prudence, it is an opportunity for the best life science companies reflected across Alexandria's tenant base to benefit from the secularly growing life science industry's solid fundamentals and to continue to advance the technologies and medicines that will bring the most value to patients.

And with that, I pass it off to Peter."
"5","Peter Moglia","Chief Executive Officer & Co-Chief Investment Officer at Alexandria Real Estate Equities","Thanks, Jenna. A few days ago when reading a capital markets report, I came upon the line, uncertainty is arguably the harshest enemy of investing. It was a very concise way of describing what we have all been seeing in the broad economy over the past couple years. It has even hit the somewhat insulated life science industry over the past few quarters, manifested by slower decision making and the tightening of budgets by executive teams and boards. Nonetheless, progress continues in the labs, milestones are being achieved, and success is being rewarded. The golden age of biology will not be stopped. The flywheel is starting to turn again, and we're excited to see the life-changing innovations this inertia will bring, and Alexandria is perfectly positioned to capitalize on it.

I'm going to briefly touch on our development pipeline, leasing, supply, and asset sales, and then hand it over to Dean. In the first quarter, we delivered 387,076 square feet and four projects into our high barrier to entry submarkets, bringing total deliveries year to date to 840,587 square feet covering seven projects. Annual NOI for this quarter's deliveries totaled $58 million, bringing the year to date total incremental additions to NOI to $81 million. The initial weighted average stabilized yield is 6.4%, influenced by a build-to-core project in East Cambridge housing the next generation of companies from the investors who brought the world Moderna. Development and redevelopment projects saw an uptick in activity for the quarter with approximately 142,000 square feet of leases signed covering six multitenant projects. As of quarter end, we have another 42,000 square feet under negotiation.

During the quarter, we placed a lab conversion opportunity at 401 Park Drive and the ground up development of neighboring 421 Park Drive, both located in the Greater Boston submarket of the Fenway into near-term projects expected to commence construction in the next three quarters stabilizing in 2025 and beyond. A portion of the 421 Park Drive Project is in process of being presold to a research institute, which will be a highly complementary -- which will be highly complementary to the development of the mega campus, and the proceeds will help fund the remaining 392,000 square feet of the development. This transaction, along with the joint venture that will fund the remainder of 15 Necco, which closed in April, are great examples of the optionality Alexandria has to fund its value creation pipeline. At quarter end, our pipeline of current and near-term projects is 70% leased and is expected to generate greater than $605 million of annual incremental NOI, primarily through the second quarter of 2026. The decline from 72% leased last quarter was due to the addition of the new Fenway projects. Excluding those additions, the pipeline would have been 74% leased.

Transitioning to leasing and supply, once again our strong brand loyalty, mega campus offerings, and operational excellence continue to drive strong leasing numbers in a challenging market. We are pleased to report leasing volume of 1.3 million square feet achieved in the second quarter, which again exceeded our five-year pre-2021 average and is the 13th consecutive quarter where we've achieved a leasing volume above 1 million square feet. Rental rate increases were 16.6% and 8.3% on a cash basis, reflective of leasing volume heavily weighted towards Seattle, Research Triangle, and Maryland. Despite spreads coming down from the COVID rocket ship numbers, net effective rents remained strong in our operating assets due to their generic buildout, which enables renewals and the re-leasing of vacant space with minimum capex.

Another positive realized this quarter was a notable increase in demand ranging from 15% to 20% in our top three markets, a sign that perhaps investors are seeing the light at the end of the tunnel when it comes to economic uncertainty, but also likely driven by significant dry powder they need to put to work. There have also been an increase in 100,000 square foot plus requirements in a few regions driven by large pharma and biotech anticipated venture creation investments. Alexandria is well positioned to capture this demand because many of these opportunities are coming from existing relationships, which typically account for a significant amount of our leasing. In the first half of the year, we have leased 2.55 million square feet, of which 82% was generated from existing tenants.

In addition, our mega campus offerings providing the ability to scale and a wide variety of amenities are the clear choice of high-quality companies. We spent considerable time during our June Nareit meetings discussing supply and recently covered it in our White Paper. The data presented in those meetings and the White Paper was from the first quarter of '23 and we'll update it for you here. As a reminder, we perform robust, on-the-ground, building-by-building analysis to identify and track new supply from high-quality projects we believe are competitive to ours and our high-barrier-to-entry submarkets. We focus primarily on high-barrier-to-entry markets and our brand mega campus offerings in AAA locations and operational excellence enables us to continually mine our vast, deep, and loyal tenant base to drive our leasing activity, which will likely lessen the impact of generic supply.

In Greater Boston, unleased competitive supply remaining to be delivered in 2023 is estimated to be 1.6% of market inventory, a slight increase of 0.01% over last quarter. In 2024, the unleased competitive supply will increase market inventory by 5%, a 0.3% reduction due to the lease up of that inventory during the quarter. In San Francisco, unleased competitive supply remaining to be delivered in 2023 is estimated to be 6.6% of market inventory, which is unchanged. In 2024, the unleased competitive supply will increase market inventory by 8.8%, a 0.3% reduction due to a downward revision of estimated square footage to be delivered during the year.

In San Diego, unleased competitive supply remaining to be delivered in 2023 is estimated to be 3.5% of market inventory, which is a decrease of.8%, due mainly to projects being delivered with unleased space now reflected in direct vacancy. In 2024, the unleased competitive supply will increase market inventory by 4.9%, a 0.4% reduction due in part to a paused conversion project and a decrease in scope of another one.

Direct and sublease market vacancy for our core submarkets is updated as follows: Greater Boston direct vacancy stayed stable at 2.8%, but sublease vacancy increased by 1.5% to 5.4% for a net increase in available space in operation of 1.5%. San Francisco direct vacancy stayed stable at 2.3%, but sublease vacancy increased by 2.7% to a total of 6.2% for a net increase in available space in operation of 2.7%.

San Diego direct vacancy increased from 4.1% to 4.8%, largely due to delivered unleased new supply and sublease vacancy increased by 1.8% for a net increase in available space in operation of 2.5%. We are tracking new supply to be delivered in 2025, and we'll update you on those statistics next quarter, but our current read is that volume will be below 2024 deliveries likely due to high construction costs, higher cost of capital, a lack of available debt financing, and adequate supply currently under construction.

I'll conclude with an update on our value harvesting asset recycling program. We are quite proud of and fortunate to own assets in a scarce asset class. As you all know, the past few months have had little transactional activity in the broad markets. But because of the attractiveness of our product type, Alexandria has been able to make great progress towards reaching our value harvesting goals. At quarter end, we had closed $701 million of sales, including the 15 Necco sale announced last quarter, and have another $175 million pending for a total of $876 million, which is a little over halfway to our midpoint guidance.

We have a number of other efforts in progress or soon to be launched that would exceed our guidance if we choose to execute on all of the opportunities. The vast majority of those identified assets are noncore, non-campus assets we plan to fully dispose of and reinvest the proceeds into our value-add pipeline. Notable sales closed in the first quarter include the sale of 100% interest in 11119 North Torrey Pines Road for $86 million, or $1,186 per square foot, at a strong 4.6% cap rate. There is a significant mark to market on the asset when the lease expires in approximately 4.5 years, but a fair amount of capital will be needed to execute on that opportunity. This asset was a one-off for us, and there was no opportunity for us to aggregate a campus around it.

We sold 20.1% of our joint venture interest in 9625 Towne Centre Drive, an asset jointly owned with an institutional partner who wanted to exit their position and initiated the sales process for their interest only. Given the strong demand for this university town center asset, we decided to participate in the sale, which captured $32 million in proceeds at a strong 4.5% cap rate, reflective of a high-quality building, tenant credit, and the future mark-to-market opportunity we will participate in with our continued ownership.

A portfolio of noncore assets, inclusive of our Second Avenue assets in Waltham and our legacy non-mega campus affiliated 780 and 790 Memorial Drive asset located in Mid-Cambridge, sold for $365.2 million, or $852 per square foot, at a combined cash cap rate of 5.2%, reflective of a mix of credit quality, some vacancy, and term. We also completed the sale of pure office asset 275 Grove Street in Newton, MA. Originally planned for conversion to lab as part of an assemblage of adjacent assets into a mega campus with Green Line access, the opportunity did not come to fruition. So we made the prudent decision to sell this non-core office asset. The $214 per square foot price reflects its 70% occupancy, the negative sentiment of office buildings outside of cluster locations, and a significant amount of capital needed to reposition the asset. Overall, we are very pleased with the results achieved thus far in our value harvesting asset recycling program. As mentioned, we have identified more than enough noncore opportunities to achieve our goals to fund our 2023 growth primarily through dispositions.

With that, I'll pass it over to Dean."
"6","Dean Shigenaga","President & Chief Financial Officer at Alexandria Real Estate Equities","All right. Thanks, Peter. Dean Shigenaga here. Good afternoon, everyone. We reported very solid operating and financial results for the second quarter and six months ended June 30, 2023. Total revenues for the second quarter were $713.9 million, up 10.9% over the second quarter of 2022. NOI was up 12.2% over the second quarter of 2022, driven primarily by the commencement of $58 million of annual net operating income related to the 387,000 rentable square feet of development and redevelopment projects that were placed in service in the second quarter. The significant NOI growth from completion of pipeline projects was the key driver of our outperformance this quarter in comparison to consensus. Additionally, we slightly beat other key line items relative to consensus. FFO per share diluted as adjusted was $2.24, up 6.7% over the second quarter of 2022. And we're on track to generate another solid year of growth in FFO per share growth of 6.4% at the midpoint of our guidance for the year.

Now high quality life science entities continue to appreciate our brand, mega campus strategy, and operational excellence by our team. 49% of our annual rental revenues generated from investment grade or large cap publicly traded tenants, and this statistic represents one of the highest quality client rosters in the REIT industry today. Our collections remained very high at 99.9%. Our adjusted EBITDA margin remains very strong at 70%. Same-property NOI growth was very solid and in line with guidance for the full year. Same-property results for the second quarter were 3% -- up 3% and up 4.9% on a cash basis. And for the first half of the year, up 3.4% and up 6.5% on a cash basis. As a reminder, our outlook for 2023 same-property NOI growth remains very solid at a midpoint of 3% and 5% on a cash basis.

Now turning to leasing. Quarterly leasing results are driven by a relatively small volume of and mix of transactions that drive the overall rental rate growth related to lease renewals and re-leasing of space. Now for the second quarter, leasing volume was 1.3 million rentable square feet and rental rate growth on lease renewals and re-leasing of space was up 16.6% and 8.3% on a cash basis. Now rental rate growth for the second quarter was driven by transactions based out of the Seattle region, Maryland, and Research Triangle. In comparison to record rental rate growth in the first quarter of 48.3% and 24.2% on a cash basis, which was driven by transactions out of Greater Boston, San Francisco Bay Area, and Seattle. Our outlook for rental rate growth on lease renewals re-leasing of space remained solid at the midpoint of 30.5% and 14.5% on a cash basis. The overall mark to market for cash rental rates related to in-place leases for the entire asset base remains very strong at 19%.

Now, capital expenditures generally fall into two key categories. The first category is focused on development and redevelopment, and redevelopment specifically is the first time conversion of non-lab space to lab space through redevelopment. Now the second category is nonrevenue enhancing capital expenditures. And our nonrevenue enhancing capital expenditures over the last five years have averaged 15% of net operating income and has been trending lower for 2022 at 13%. For 2023 this is closer to 10% based upon the second quarter '23 net operating income on an annualized basis.

Tenant improvement allowances related to lease renewals and re-leasing of space have been very modest at about $16 per square foot for the first half of the year, and these costs are included in the nonrevenue enhancing capital expenditures that I mentioned earlier. Second quarter occupancy was in line with expectations at 93.6%, consistent with first quarter occupancy. Our outlook for 2023 reflects flat occupancy from the second quarter to the third quarter and occupancy growth in the fourth quarter. The midpoint of occupancy guidance is 95.1%. And occupancy as of June 30th of 93.6% included vacancy of 2.2%, or approximately 900,000 rentable square feet from properties that were recently acquired in 2021 and 2022. Now 23% of the recently acquired vacancy has already been leased and will be ready for occupancy over the next number of quarters, and an additional 14% is under negotiation.

Now a huge thank you to Marc Binda and his entire team and our important relationship lenders under our $5 billion line of credit. During the quarter, we increased aggregate commitments available under our line of credit to $5 billion, up from $4 billion. Now this has allowed us to increase liquidity on our balance sheet to over $6.3 billion as of June 30th. Now during the first half of '23, we had remained very flexible with our strategy and pivoted toward outright dispositions versus sales of partial interest. Our team has made excellent progress on dispositions and sales of partial interest for the first half of the year and are working on a number of transactions for the second half, focused primarily on outright dispositions. There are more details on page 7 of our supplemental package for your reference.

Now turning to consistent growth in dividends from our high-quality cash flows. We have a low and conservative FFO payout ratio of 55% for the second quarter annualized with 5.2% increase in common stock dividends over the last 12 months. We're projecting $375 million, representing a three-year run rate of over $1.1 billion in net cash flows from operating activities after dividends for reinvestment.

Turning to venture investments. Realized gains from our venture investments included in FFO for the second quarter was $22.5 million and has averaged about $25 million per quarter for the last eight quarters. Gross unrealized gains on our venture investments as of June 30th were $373 million on a cost basis of just under $1.2 billion. Now on external growth, we have $605 million of incremental net operating income from our pipeline of 6.7 million rentable square feet. Now, projects aggregating 3.7 million rentable square feet is expected to reach stabilization in the remainder of 2023 and 2024. And these projects are 94% leased and will generate $277 million of incremental net operating income. Additionally we have another 3.7 million rentable square feet that is expected to reach stabilization after 2024 and will generate another $328 million of incremental net operating income.

Turning to guidance. Our detailed updated underlying guidance assumptions are disclosed beginning on page 4 of our supplemental package. Our per share outlook for 2023 was updated to a range plus or minus $0.03 from the midpoint of guidance down from a range plus or minus $0.05 last quarter.

Now our range of guidance for EPS is from $2.72 to $2.78 and our range for FFO per share diluted, as adjusted, is $8.93 to $8.99 with no change in the midpoint of $8.96. Now this represents a strong 6.4% growth in FFO per share following excellent growth last year of 8.5%. Our strategy for dispositions and sales of partial interest for 2023 reflects our focus on enhancement of our overall asset base through outright disposition of properties no longer integral to our mega-campus strategy with fewer sales of partial interest. Now this is reflected in the transactions we have completed to date in 2023 and our target transactions for the second half of the year. This strategy did result in an update to sources and uses of capital due to the replacement of a potential sale of a partial interest with an outright sale of properties. Now while this change did not result in a change in gross construction spend, it did reduce funding for construction spend by a potential JV partner that was replaced with funding from an additional $225 million in dispositions of real estate.

Let me stop there and turn it back over to Joel to open it up for questions."
"7","Operator",NA,">[Operator Instructions] And our first question today comes from Steve Sakwa with Evercore. Please go ahead."
"8","Steve Sakwa","Analyst at Evercore ISI International","Thanks. Good afternoon. Dean, I was wondering if you could just provide a little bit more color on that occupancy build that you talked about. It sounds like things are flat Q2 to Q3, but to get to the midpoint, there's a pretty big uplift I guess from 93.6% to 95.1%. So are there a bunch of signed leases that are just not commenced yet or is that based on incremental leasing you think you're going to do? Just help us walk through that bridge, please."
"9","Dean Shigenaga","President & Chief Financial Officer at Alexandria Real Estate Equities","Sure, Steve. So the growth in occupancy anticipated in the fourth quarter, some of it is from signed leases. We have about 400,000 square feet of executed leases. That will commence in time for the occupancy growth by the end of the year. That includes some of the spaces that I mentioned in the recently acquired vacancy. We also anticipate some leasing activity that we need to complete in order to drive that occupancy growth. And then we also have some key spaces being delivered out of our development pipeline, which by the time they're delivered should be pretty much close to 100% leased. And that doesn't have quite the same impact of delivering space to tenants out of the operating portfolio. But there is a slight benefit from that as well."
"10","Steve Sakwa","Analyst at Evercore ISI International","So just as a quick follow up. Could you just help frame maybe the spec leasing that you think you need to get done? Maybe is there a range that the team needs to complete over the next five months to hit that target?"
