"","speaker","title","msg"
"1","Operator",NA,"Ladies and gentlemen, thank you for standing-by. Welcome to the American Express Q2 2023 Earnings Call. At this time, all participants are in a listen-only mode. Later we will conduct a question-and-answer session. [Operator Instructions] As a reminder, today's call is being recorded. I will now turn the conference over to our host, Head of Investor Relations, Ms. Kerri Bernstein. Thank you. Please go-ahead."
"2","Kerri Bernstein","Head of Investor Relations at American Express","Thank you, Donna, and thank you all for joining today's call. As a reminder, before we begin [technical issue] discussion contains certain forward-looking statements about the company's future business and financial performance. These are based on management's current expectations and are subject to risks and uncertainties. Factors that could cause actual results to differ materially from these statements are included in today's presentation slides and in our reports on file with the SEC.

The discussion today also contains non-GAAP financial measures. The comparable GAAP financial measures are included in this quarter's earnings materials as well as the earnings materials for the prior periods we discussed. [Technical issue] on our website at ir.americanexpress.com. We'll begin today with Steve Squeri, Chairman and CEO, who will start with some remarks about the company's progress and results and then Jeff Campbell, Chief Financial Officer, will provide a more detailed review of our financial performance. After that, we'll move to a Q&A session on the results, with both Steve and Jeff. With that let me turn it over to Steve."
"3","Steve Squeri","Chairman and Chief Executive Officer at American Express","Good morning, everyone. Thanks for joining us today for our second-quarter earnings call. This was the sixth consecutive quarter of strong performance since we announced the growth plan in January of 2020. Revenues of $15 billion grew 12% Year-over-Year and reached a record-high for the fifth straight quarter. Earnings per share of $2.89 is also also a quarterly record and is also up 12% over last year. Based on our performance through the first-half, we are reaffirming our guidance for the year of delivering revenue growth of 15% to 17% and EPS of $11 to $11.40. We also remain focused on achieving our growth plan aspirations of annual revenue growth in excess of 10% and mid-teens EPS growth in 2024 and beyond in a steady-state macro-environment.

I continue to feel very good about our ability to achieve these long-term aspirations. Let me tell you why. As I've said on previous calls and at investor conferences, we have a business model that's differentiated from others in the industry, which gives us some important advantages. Our business model is built largely around a fee-based premium -- our fee-based premium products which drive our spend-centric economics and produce a fast-growing stream of subscription like revenues. Spending is the largest contributor of revenues while lending plays a more modest role in our model.

This revenue mix is a key differentiator for us. It all starts with our premium customer base, which is built on our trusted brand. We have a global scale that's unmatched in the industry and leadership positions with a diverse range of high-quality customers. We build long-term relationships through our unique membership model, which we constantly evolve to attract new customers and grow with them over time. Our high spending card members attract [technical issue] merchants and business partners giving our customers and partners even more reasons to stay with us, which fuels a virtuous cycle of growth.

Partnerships play an important role in our model. We have a long history of partnering with brands who share our values of banking customers with World-class products and services and who value developing broad-based and long-term relationships with us. It is one of those longstanding partnerships. Our relationship started 70 years ago when we opened a travel office at Hilton Hotel in Madrid. Then grew into a merchant relationships after we began issuing cards and then became our first co-brand partner in the 90s. The partnership has lasted and grown overtime because we evolved together and put our customers at the center of what we do.

Today, I'm pleased to announce that we've signed a 10-year extension of our relationship with Hilton, which includes continuing as the exclusive co-brand issuer at Hilton consumer and small-business cards in the United States as well as extensions of our travel and merchant relationships. This extension builds on the strong foundation we've built over the years with Hilton and gives us a long runway to invest in products and services and [technical issue] attract new customers and deepen our relationships with existing ones.

It's a great example of the strength of our business model and that it touches virtually all aspects of our business, providing our customers and our partner with exceptional value. Our philosophy of making continued strategic investments in our business model is what's driving our growth today and it's the way we plan to run our business going forward. For second-quarter performance the power of our differentiated model can be seen in our results. Card Member spending hit another all-time high in the quarter with US consumers and Card Members outside the US both up by double-digits, which offset some softness in US small-business.

Millennial and Gen Z consumers continued to be the fastest-growing portion of our card member base with US billings, up 21% in the quarter. Of particular note, you'll recall that our international Card business was our fastest-growing segment for several years prior to the pandemic and it's again the fastest-growing. We continue to see strong growth in travel and entertainment spending, which increased by double-digits in the quarter and remained strong across customer categories and geographies. Q2 was a record quarter for restaurant reservations through our resi platform, and bookings through our consumer travel business reached their highest-level since before the pandemic.

We also saw continued strong demand for our premium products in the quarter with over 70% of the new accounts we acquired on fee-based products and more than 60% of new customer accounts acquired globally are coming from Millennials and Gen Zs. While a number of new accounts is important we pay particular attention to the quality and potential revenues they represent and when you look at the accounts, we've acquired over the last year compared to those we acquired over a comparable period pre pandemic the overall revenue being generated by these new accounts is up substantially over 2019.

Importantly, we continue to be thoughtful about who we grow with and how and you see that in our results. Our credit metrics remain best-in class, supported by the premium nature of our customer-base, our robust risk management capabilities, and the thoughtful underwriting actions we've taken in an ongoing basis that we've discussed with you on these calls over the last several quarters. Before I turn it over to Jeff, I want to take a couple of minutes to talk about our CFO transition.

As we announced last month Jeff will be stepping down as our CFO on August 14th, at which time our Deputy control -- Deputy CFO, Christophe Le Caillec will become CFO of the company. First, I will recognize Jeff and thank him for his outstanding tenure as our CFO for the past decade. He's been an invaluable partner and friend to me and to American Express throughout his time at the company. Jeff's insights, strategic acumen, and calm focused approach has helped us navigate through numerous challenges, including the unprecedented COVID pandemic while strengthening the company's overall financial position and the flexibility of our business model.

Jeff is a person of exceptional integrity and our Company is stronger today because of him. While Jeff will officially be stepping down as CFO in August, he will be staying on as our Vice-Chairman until next March, during which time, he will be available to me, Christophe, and our executive committee as we work on many of the important matters facing the company. Jeff, I speak for all of us at American Express when I say that it's truly been an honor and a pleasure working with you as our CFO these last 10 years. I also want to welcome, Christophe who has been a trusted partner to our leadership team and a key contributor to our company's growth 25 years. As our Deputy CFO, Christophe works closely with our executive team, Jeff, and me to drive our financial strategy and performance.

Over his tenure, he has served in finance leadership roles across the Company. Christophe has gained a deep knowledge of all aspects of our business and his experience and thoughtful analysis play a key role in our strategic decision-making. I'm sure you all enjoy getting to know him. With that, I'll now turn it over to Jeff for his 85th earnings call as a public company, CFO, and his 41st and final call as the CFO of American Express."
"4","Jeff Campbell","Chief Financial Officer at American Express","Well, thank you, Steve and good morning everyone. It's good to be here to talk about our second-quarter results, which we are tracking with the guidance we gave for the full-year and reflect steady progress against our long-term growth aspirations. Starting with our summary financials on slide two. Our second-quarter revenues were $15.1 billion, reaching a record-high for the fifth straight quarter up 13% Year-over-Year on an FX-adjusted basis.

This revenue momentum drove reported net income of $2.2 billion and earnings per share of $2.89, up 12% Year-over-Year. This does represent a quarterly EPS record for the company and it also reflects the sequential strengthening we expect as we move through the year that I mentioned last quarter. Pretax pre-provision income was $3.9 billion, up 33% versus the same time period last year, reflecting the strong growth momentum in our underlying earnings. Now let's get into a more detailed look at our results, which in our spend-centric business model always begins with a look at volumes which you see on Slides three through seven.

In total, you see on Slide three that we did reach a new record level for spending on our network this quarter, with total network volumes and billed business up 9% and 8% Year-over-Year, respectively, on an FX-adjusted basis. Of course, I'd remind you, the growth rates were particularly elevated last quarter as we lapped to the impact of Omicron in the first-quarter of prior year. We are now seeing the more stable rates, but we expect are more representative of the kind of growth rates, we will see in the balance of the year. Goods and services spending grew 6% overall in the second-quarter. We saw a good growth in goods and services spending in US consumer and international Card Services, but 8% and 15%, respectively while this growth rate in US SME did continue to slow down a bit further from last quarter.

In contrast, we saw very strong growth in travel and entertainment spending across geographies and customer types, up 14% overall, driven by sustained demand for travel and dining experiences. Looking-forward I would expect this growth rate to remain in the double-digits through the rest of this year. Turning to our largest segment, US consumer grew billings strongly at 10% this quarter. Millennial and Gen Z, customers continue to drive our highest billed business growth within this segment with their spending, growing 21% Year-over-Year. You see our highest-growth again this quarter in International Card Services, with strong growth across both geographies and customer types.

Spending from international consumers grew 16% while spending from international SME and large corporate customers grew 19%. The strength in spending growth from our [Technical issue] consumers and Card Members outside the US, offset the continued softness in US SME spending growth that we have been talking about for the past few quarters. Looking at commercial Services US SME growth came in at 2% this quarter. Looking-forward, we will continue to monitor these spending trends. Our US large and global corporate customers also grew billings 2% in the second-quarter as we've said for many years, these customers while not a particular growth driver for our business to remain an important foundation for the company's business model.

Taking all of this into account, spending volumes are tracking to support our revenue guidance for the year and our long-term aspirations for sustainable growth rates greater than what we were seeing pre-pandemic. Now moving on to Loans and Card Member receivables on Slide eight. We saw good continued sequential growth as well as Year-over-Year growth of 15%. Year over year growth moderated a bit this quarter as we expected but remained elevated versus pre-pandemic levels. The interest-bearing portion of our loan and receivable balances continues to grow faster than the overall growth you see as our customers continue to rebuild balances.

Importantly, the majority of this revolving loan growth in the US continues to come from our high credit quality, existing customers. We also included a disclosure this quarter showing that only 8% of our US Card Member loans and receivables comes from customers with a FICO of less than 660. As you then turn to credit and provision on Slides nine through 11 this high credit quality of our customer base continues to show through in our best-in class credit performance. Our card member loans and receivables write-off and delinquency rates remain below pre-pandemic levels. Delinquency rates remained flat quarter over quarter while our write-off rates continue to move-up a bit this quarter as we expected as you can see on Slide nine. Going-forward, as we've talked about for many quarters now we continue to expect these delinquency and write-off rates to increase over time, but they are likely to remain below pre-pandemic levels in 2023.

Turning now to the accounting for this credit performance on slide 10. The quarter over quarter growth in our loan balances was the primary driver of our $327 million [technical issue]. There was also a small component from incorporating a slightly worse macroeconomic outlook this quarter relative to last quarter. This reserve build combined with net write-offs drove $1.2 billion of provision expense in the second-quarter. As you see on Slide 11, we ended the second quarter with $4.7 billion of reserves, representing 2.6% of our total loans and card member receivables. This reserve rate remains about 30 basis points below the levels we had pre-pandemic or day-one CECIL.

We continue to expect this reserve rate to increase a bit as we move through 2023, while also reflecting the continued premiumization of our portfolio. Moving next to revenue on Slide 12, total revenues were up 13% Year-over-Year in the second-quarter on an FX-adjusted basis. Our largest revenue line, discount revenue grew 8% [technical issue] as you can see on slide 13, driven by the spending trends we discussed earlier. Net card fee revenues were up 22% Year-over-Year in the second-quarter on an FX-adjusted basis as you can see on Slide 14. Growth remains quite strong and continues to be driven largely by bringing new accounts onto our fee-paying products.

This quarter, we acquired 3 million new cards and the spend revenue and credit profiles of these acquisitions continued to look strong relative to what we saw pre-pandemic. Importantly, the acquisition trends you see on Slide 14, in this and recent quarters, are consistent with our long-term growth aspirations. Moving on to Slide 15, you can see that net interest income was up 32% Year-over-Year, driven primarily by the growth in our revolving loan balances. To sum up on revenues on Slide 16, we're seeing broad-based revenue growth across our revenue lines. We're tracking with our expectations so looking-forward, we still expect to see revenue growth within our range of 15% to 17% for the full-year of 2023.

The revenue momentum we just discussed has been driven by the investments we've made and those investments show up across the expense lines you see on Slide 17. Starting with variable customer engagement expenses these costs came in at 42%, total revenues in the second-quarter and are tracking with our expectation for them to run at around 43% of total revenues on a full-year basis. On the marketing line we invested $1.4 billion in the quarter, on track with our expectation to have full-year marketing spend of around $5.5 billion. We remain focused on driving efficiencies, so that our marketing dollars grow slower than revenues, while continuing to drive the high-quality [technical issue] that Steve discussed earlier.

Moving to the bottom of Slide 17, brings us to operating expenses, which were $3.4 billion in the second-quarter also tracking with our expectation for operating expenses to be around $14 billion for the full-year. This quarter, you see that as we expected we have far less growth in opex relative to our high-level of revenue growth and looking-forward, we continue to see opex as a key source of leverage. Turning next to capital on Slide 18. We returned $1.6 billion of capital to our shareholders in the second-quarter including common stock purchases of $1.1 billion and $446 million and common stock dividends on the back of strong earnings generation.

Now, as you know, this is an off-cycle year for Amex as a CCAR bank. But let me briefly remind you of our capital management approach. We generally increase our dividend, roughly in-line with earnings and targeted 20% to 25% payout ratio and you saw us do that as we increased our dividend by 15% to $0.60 per share last quarter. We target a CET1 ratio between 10% and 11% and we ended the second quarter in the middle of that range at 10.6%. As we think about the potential finalization of Basel III, I'd remind you that our 10% to 11% CET1 target range is actually well above our current regulatory minimum of 7%.

We plan to continue to return to shareholders the excess capital we generate while supporting our balance sheet growth, and we don't expect any material near-term changes to our capital management approach driven by the evolution of these rules. So that then brings us to Slide 19 and the growth plan. To step back for a minute, I joined American Express 10 years ago in 2013, because I was excited about the long-term growth prospects for the company. Today as I join you for my last earnings call I am actually even more excited about those growth prospects. Steve and I first introduced our new multi-year growth aspirations back in January of 2022.

I would point out that Christophe was in the room for every key decision we made as we developed that plan with the senior business leaders across Amex. Now in July of 2023, we have consistently achieved the aspirations we set out six quarters ago thanks to the great efforts of our 77,000 colleagues across American Express. So, we are reconfirming today our 2023 full-year revenue guidance of 15% to 17% growth with EPS in the range of $11 to $11.40. Our revenue momentum and customer acquisition trends are positioning us well for our growth aspirations this year in 2024 and beyond.

So this momentum combined with this being my 85th consecutive earnings call across three industries without a break, makes this a good time for me to transition the CFO role to Christophe. With that, I'll ask Christophe to say a few words before Steve and I take your questions."
"5","Christophe Le Caillec","Deputy Chief Financial Officer at American Express","Thank you, Jeff and good morning everyone. I'm excited to continue the strong legacy of performance that Steve and Jeff have delivered, look forward to spending time with many of you on the call in the coming months. With that, I'll turn the call over back to Kerri to open up the call for your questions."
"6","Kerri Bernstein","Head of Investor Relations at American Express","Thank you, Christophe. Before we open up the lines for Q&A I will ask those in the queue to please limit yourself to just one question. Thank you for your cooperation and with that, the operator will now open up the line for questions. Donna?"
"7","Operator",NA,"[Operator Instructions] First question comes from Sanjay Sakhrani of KBW. Please go-ahead."
"8","Sanjay Sakhrani","Analyst at KBW","Thanks, good morning and congratulations. Jeff, you've had quite a run at American Express and very helpful throughout your tenure and I'm sure you will be in your remaining position. Christophe, I look forward to working with you. My first question is on billed business growth. Obviously, there's so much noise over the last couple of years and even in this year. And Jeff, you talked about stabilization going forward and expecting that. Could you just talk about what gives you the confidence that you see that stabilization because we're still a little bit above trend in terms of that growth and then what you need in the back half to get to that growth guidance on revenues?"
"9","Steve Squeri","Chairman and Chief Executive Officer at American Express","So gosh. I guess I don't particularly [technical issue] is above-trend, what gives us confidence is, looking at what has actually happened in our business over the course of this year in the first quarter, you were clearly lapping omicron and that was in some ways I think the last of the pandemic driven noise in our results. As you got into the second-quarter, we have seen stabilization across geographies at a level that I would suggest is actually consistent with being in a pretty low-growth economy and what you're hearing from us is with the kind of volume growth that you see this quarter, which we think has stabilized, which we think will continue that is consistent with both the guidance we provided for this year as well as with our longer-term growth aspirations.

I would point out at some point, the economy is likely to get stronger. But even with the economy in its current kind of low-growth state, the volume growth that we're seeing now allows us to achieve what we have been committing to for six quarters. And you know look I mean, just look at consumer, right I mean, consumer in the US is up at 10%, T&E is still very, very strong. We talked about travel bookings. Travel bookings more than one month out are higher than they've been pre-pandemic. They were higher than they were at this time last year, they are higher than they were obviously in 2019.

International is really coming back strong for us and as we said, is just growing. Part of our business and the other thing I'd point out is, you just had -- you had a little hangover of noise from Omicron in this quarter, because last year you had a little bit of spending that was pushed from the first-quarter to the -- to the second-quarter and if you look at -- if you go back and look sequentially last year was a huge -- a huge increase sequentially quarter-over-quarter. So we feel really good about I mean, you know, it's hard to apologize for record billings and as Jeff said, it's -- it's the billings we need to hit our growth plan.

So we feel -- feel really good about it and the other point I'll just reiterate again is that look, we're not -- we're not low-growth economy right now. We still out here acquiring Card Members, credit is really good. Our basis -- our base is changing in terms of more Millennials and Gen Z who will grow with us and as the economy gets better we expect the spending to pick up. So we feel really confident."
"10","Operator",NA,"Thank you. The next question is coming from Ryan Nash of Goldman Sachs. Please go ahead."
