"","speaker","title","msg"
"1","Operator",NA,"Good day, and thank you for standing by. Welcome to the Brown-Forman Corporation Fourth Quarter and Fiscal 2023 Earnings Call. [Operator Instructions] After the speakers' presentation, there will be a question-and-answer session. [Operator Instructions]

I would now like to hand the conference over to your speaker today, Sue Perram, Vice President, Director, Investor Relations. Please go ahead."
"2","Sue Perram","Vice President, Investor Relations at Brown-Forman","Thank you, and good morning, everyone. I would like to thank each of you for joining us today for Brown-Forman's fourth quarter and fiscal year 2023 earnings call. Joining me today are Lawson Whiting, President and Chief Executive Officer, and Leanne Cunningham, Executive Vice President and Chief Financial Officer.

This morning's conference call contains forward-looking statements based on our current expectations. Numerous risks and uncertainties may cause actual results to differ materially from those anticipated or projected in these statements. Many of the factors that will determine future results are beyond the Company's ability to control or predict. You should not place undue reliance on any forward-looking statements, and except as required by law, the Company undertakes no obligation to update any of these statements whether due to new information, future events, or otherwise.

This morning, we issued a press release containing our results for the fourth quarter and fiscal year 2023, in addition to posting presentation materials that Lawson and Leanne will walk through momentarily. Both the release and the presentation can be found on our website under the section titled Investors, Events & Presentations. In the press release, we have listed a number of the risk factors you should consider in conjunction with our forward-looking statements. Other significant risk factors are described in our Form 10-K and Form 10-Q reports filed with the Securities and Exchange Commission.

During this call, we will be discussing certain non-GAAP financial measures. These measures, a reconciliation to the most directly comparable GAAP financial measures and the reasons management believes they provide useful information to investors regarding the Company's financial condition and results of operations are contained in the press release and investor presentation.

With that, I would like to turn the call over to Lawson."
"3","Lawson Whiting","President, Chief Executive Officer, and Director at Brown-Forman","Thank you, Sue, and good morning, everyone. It's my pleasure to speak with you today regarding Brown-Forman's fiscal 2023 results. Fiscal 2023 was another very strong year for Brown-Forman, and importantly, we've built on the 17% organic top line and 27% organic bottom line growth we delivered in the previous fiscal year. If we take a step back and consider the headwinds we faced throughout fiscal 2023, it helps to appreciate the quality of our performance even more.

As you'll recall, we faced numerous headwinds throughout this fiscal year, including supply chain challenges, higher input costs due to inflation, the significant impact of negative foreign exchange, and the impacts of the Russian invasion of Ukraine. As we progressed throughout the fiscal year, the headwinds began to ease and the world, along with our business, seems to be getting back to normal. While uncertainty and volatility are likely to remain a part of our conversations, we've demonstrated this year and throughout our 153-year history that our brands are healthy, our people are resilient, and our company is able to navigate the challenges that come our way.

Consider, for example, since fiscal 2019 or the last year before the pandemic, we've grown organic net sales at an 8% compound annual growth rate through fiscal '23, demonstrating our strong track record of consistent and sustainable results over the long-term. Alternatively, if you were to look back at fiscal '23 alone, you'd see we significantly exceeded our top line growth ambition, which anticipates reported net sales in the mid-single-digits. Now, as we dig into the full results of the fiscal year, I'll start with our top line performance and share some highlights from our portfolio of brands. Leanne will then provide additional details for the fiscal year before providing our outlook for fiscal '24.

In fiscal 2023, our reported net sales increased 8% or 10% on an organic basis, driven by broad-based reported net sales growth across all geographic clusters and the Travel Retail channel, including double-digit organic growth in our international markets. Through our revenue growth management initiatives, we continue to execute our long-term pricing strategy for our portfolio of brands, which aims to increase prices consistently year-after-year and to grow net sales through a balance of both volume and value. In fiscal 2023, our organic net sales growth benefited from three points of favorable price/mix. This was driven by higher prices across much of our portfolio, but led by Jack Daniel's Tennessee Whiskey, partially offset by a portfolio shift toward our ready-to-drink brands. Our top line growth was broad-based and reflected the continued strength of our portfolio of brands, strong consumer demand and the return of inventories to more normalized levels. As expected, the estimated net change in distributor inventory did not have an impact on our fiscal year results.

Turning to our portfolio of brands. Jack Daniel's Tennessee Whiskey fueled the Company's performance. The brand had another remarkable year and increased organic net sales by 8%. This growth was particularly impressive, given that the brand has over 15 million nine-liter cases and delivered a 23% organic net sales increase in the last fiscal year. The growth of Jack Daniel's Tennessee Whiskey in fiscal 2023 was driven by strong consumer demand and higher pricing. It's often easier to lose sight of the size and scale of this brand when speaking in quarterly results, but it is indeed an impressive brand with massive appeal around the globe. We believe these latest results reinforce its health and position as the largest global premium spirits brand by volume in the world.

The rest of the full-strength Jack Daniel's family of brands also delivered strong results, growing organic net sales high-single-digits during the fiscal year, as the consumer premiumization trend drove demand for our super-premium products, such as Gentleman Jack, which also benefited from improved product availability as supply chain disruption eased. And of course, we were very excited this year when our Jack Daniel's Bonded Tennessee Whiskey was named the 2022 [Technical Issues] of the year by Whiskey Advocate magazine. It's a great complement when Jack Daniel's authenticity, craftsmanship, and quality is recognized with such a coveted award. These brands, along with our specialty launches, such as Jack Daniel's Single Barrel special release Heritage Barrel and Jack Daniel's 10 and now 12-Year-Old Tennessee Whiskey enable us to premiumize the Jack Daniel's family of brands, continue to highlight our whiskey credentials, and give both long-time and new friends of Jack Daniel's the opportunity to explore and discover within the Jack Daniel's family.

While we're always happy to add whiskey accolades to our trophy case, Jack Daniel's is now part of the race for another type of trophy, the FIA Formula One World Drivers Championship Trophy. And as you may recall, in September, Jack Daniel's became an official global sponsor of McLaren Racing, a British Formula One racing team. Counting more than one billion fans worldwide, viewership of Formula One racing is growing at the fastest rate of any major global sport. The majority of the sports growth comes from the next-generation of fans, providing a powerful opportunity to reach legal drinking age consumers and expand Jack Daniel's relevance in pop culture. With races on most continents, this relationship provides a powerful opportunity to engage a truly global fan base.

One of the strongest performers in our portfolio this year was Woodford Reserve. Since its founding more than a quarter century ago, Woodford Reserve has grown volume at a double-digit compound annual growth rate. This trend continued in fiscal 2023 as consumer demand remain very strong and organic net sales grew 27%, making Woodford Reserve our second-largest contributor to the Company's growth. The brand continues to grow in the US and is being discovered internationally, as we continue to position this brand for future growth. Last month, the Kentucky Derby was held in our hometown of Louisville and Woodford Reserve as the presenting sponsor stood tall on a global stage.

Also, in connection to the most exciting two minutes in sports, the brand released its 2023 Derby Bottle with artwork that honored the 50th anniversary of Secretariat winning the 1973 Derby. This collectible bottle featured a painting entitled, Still the Greatest. And indeed, we believe Woodford Reserve is still the greatest as it remains the number one super-premium American whiskey brand in the world by volume and value based on IWSR in 2022.

Jack Daniel's RTDs were also a significant contributor to overall Company growth in fiscal 2023, driven by the consumer trends of convenience, flavor and premiumization. Jack Daniel's RTDs grew organic net sales double-digits, fueled by the launch of the Jack Daniel's & Coca-Cola RTD in the US, along with the continued growth of the RTD portfolio in Germany and Australia. As you might recall, in fiscal 2023, we launched the Jack Daniel's & Coca-Cola RTD in nine markets, Mexico, the US, Japan, the Philippines, the UK, Poland, Hungary, the Netherlands, and Ireland. So for most of you on this call, you should be seeing cans in your local markets and I hope that you've had the opportunity to enjoy this great-tasting new product.

We're only a few months into the launch, but similar to the initial feedback we received from Mexico, the early results from the markets are very positive. In the US, Jack & Coke is taking share across the category. Our distributors are meeting distribution expectations and we're seeing stronger-than-expected reorder rates. Jack & Coke Zero has also outperformed our initial plans. In our European markets, we're exceeding our launch expectations. Specifically in the UK, the rate of sale for Jack & Coke has already matching Jack & Cola. And just a couple of weeks ago, the Jack Daniel's & Coca-Cola RTD began appearing on the biggest advertising site in Europe at Piccadilly Circus.

The buzz and enthusiasm for the product is certainly high and growing. Globally, we exceeded one billion consumer impressions before any paid media ever aired. The potential growth of this product is exciting, but RTDs also serve as a consumer recruitment vehicle. They bring new consumers of legal drinking age into the Jack Daniel's family, which we believe will have a positive impact on the full-strength family of brands. We will continue the product launch in additional markets around the globe throughout the 2023 calendar year, and I look forward to continuing to provide updates on the growth of this iconic product.

While RTDs have been experiencing accelerated growth, including our New Mix brand, which reached nearly 10 million nine-liter cases in fiscal 2023 and delivered very strong double-digit organic net sales growth, I also want to acknowledge the continued strength of tequila, which remains one of the fastest-growing spirits categories, particularly at the premium-plus price points. Casa Herradura produces some of the most authentic tequila brands in the category, having been founded in 1870, the same year our Founder, George Garvin Brown, created Old Forester. In fiscal 2023, Herradura and el Jimador grew organic net sales by 10% and 14%, respectively, even as Herradura face significant supply chain challenges during the first quarter and both brands lapped a very strong double-digit growth the prior year.

We believe the strong consumer interest in tequila will continue for the foreseeable future and we are investing significantly behind these brands. As you would have seen last week, we announced an approximate $200 million investment at Casa Herradura. This multi-phase project includes expanding our distillery operations, bottling, maturation, and processing areas to support the strong consumer demand we see as we look out over the mid- to long-term. This expansion is particularly exciting as it advances our existing waste-to-energy efforts with a new water recycling and treatment plant. Over the past decade, Casa Herradura has been a pioneer in establishing a water recycling and treatment plant and is one of Brown-Forman's zero waste to landfill sites. We believe this sustainable technology and this investment will ensure we have access to clean water, improve our production efficiencies, and increase our competitiveness.

Before I wrap up my commentary on our brands, I wanted to take a moment to acknowledge the changes we've made to our portfolio in recent years. We've been very purposeful on actively managing our portfolio for more than a decade by developing, acquiring, and divesting various businesses and brands. We believe this portfolio evolution, alongside product innovation, gives us the best opportunity for long-term growth and value creation. In fiscal 2023, we completed the latest efforts in our portfolio reshaping efforts with the acquisitions of Gin Mare, the number one ultra-premium gin, and Diplomatico, the number-one super and ultra-premium rum according to the latest IWSR data.

Given the timing, the brands only impacted reported net sales in fiscal 2023 by approximately half a point. However, as we continue to integrate these brands and teams into our organization, we expect them to be meaningful contributors to our growth over the long-term. We're delighted Gin Mare and Diplomatico are now part of our Brown-Forman family. Brown-Forman now owns one of the top five brands globally in four strong growth categories, super-premium American whiskey, super-premium tequila, ultra-premium gin, and ultra-premium rum.

As I close, I want to thank our Brown-Forman colleagues around the world that navigated the numerous challenges throughout fiscal 2023 and worked hard to deliver the strong broad-based results that we're sharing with you today. When we started fiscal 2023, we had confidence that the strength of our portfolio of brands and our strategic investments would support continued growth despite the dynamic operating environment. This confidence was well-placed. The strong consumer demand for our brands served as an important tailwind in the face of stronger-than-expected inflation and supply chain challenges. We continue to invest significantly behind our brands and our people and we're able to deliver very strong results that were at or above our long-term ambitions. I'm very pleased with the performance of the business and the continued strength of our portfolio and of our people.

Leanne, now I'll turn things over to you to provide more detail on our fiscal 2023 performance and our expectations as we look forward to fiscal 2024."
"4","Leanne Cunningham","Executive Vice President and Chief Financial Officer at Brown-Forman","Thank you, Lawson, and good morning, everyone. As Lawson reviewed the top line growth and performance of our brands for the fiscal year, I will provide additional details on our geographic performance, other business results, and our outlook for fiscal 2024. First from a geographic perspective. Our top line growth in fiscal 2023 was broad-based with reported and organic net sales growth in each geographic cluster and the Travel Retail channel compared to the same prior year period. Collectively, emerging international markets delivered strong double-digit organic net sales growth, increasing 24% for the fiscal year. This strong performance was driven by Jack Daniel's Tennessee Whiskey, notably in the United Arab Emirates, Turkiye, and Brazil as supply chain disruption eased, which improved product availability and pricing increased.

RTDs also meaningfully contributed to the growth with New Mix and Jack Daniel's RTDs growing strong double-digits in Mexico, where the RTD category is growing and we are gaining share, while increasing price. In addition, Herradura and el Jimador delivered double-digit organic net sales growth in Mexico, largely driven by strong pricing. This growth is especially notable as it includes the absence of business in the Russia market as we suspended our commercial operations there in March 2022. Prior to the suspension, this market represented approximately 2% of our total reported net sales.

Our developed international markets collectively grew organic net sales double-digits in fiscal 2023. Jack Daniel's Tennessee Whiskey was the largest contributor to this growth, led by Germany, where the brand is growing double-digits and gaining share within the whiskey category, and Japan, which is continuing to benefit from strong consumer demand, in both the on- and off-trade. Japan is one of the world's largest spirits markets with a significant footprint and a leading position in premium-plus whiskey. Earlier this week, we announced our plan to transition to own distribution in this market effective April 1st, 2024, representing the 15th market where we will own and the operate the distribution of our portfolio.

We would like to thank Asahi and their entire team for their partnership over the past 10 years and for successfully growing our portfolio in Japan. We believe this change will drive long-term growth through the continued development of our Jack Daniel's family of brands and the broader super-premium brand portfolio. This is an important milestone for Brown-Forman and follow successful launches of other own distribution organizations in Asia, such as Korea, Taiwan, and Thailand.

While on the topic of route-to-consumer, I would like to highlight our recent transition to own distribution in Belgium at the beginning of calendar 2022. This market more than doubled its organic net sales in fiscal 2023, led by a significant acceleration in growth from the Jack Daniel's family of brands as well as Woodford Reserve. This is just one of the many examples of why we continue to believe that own distribution transition creates opportunities to fuel share growth, strengthen our portfolio, capture more of the value chain, and unlock future potential for our full portfolio of brands.

Focusing back on our developed international results. Jack Daniel's RTDs, represented the second largest contributor to growth, also growing organic net sales double-digits driven by Germany and Australia where we are gaining share. We are excited about the growth of brands, such as el Jimador, Woodford Reserve, Gentleman Jack, and The GlenDronach, where each delivered double-digit organic net sales growth. These results continue to reflect our strategic priority of increasing focus on our premium and super-premium portfolio through our emerging brands teams in Europe.

Diplomatico and Gin Mare have recently joined this super-premium portfolio of brands and we believe will soon being meaningful contributors to this emerging brands business. In Europe, we continue to closely monitor the impact of inflation on consumer behavior. While the data is beginning to show some evidence of down-trading, such as growth in private label, our brands have gained share in Germany and the UK. Spirits remain an affordable luxury for consumers, even as we have continued to increase price through our revenue growth management strategies. The US business delivered 3% organic net sales growth, reflecting a normalization of our business in the market.

As we have shared with you throughout this fiscal year, supply chain disruptions impacted the seasonality of our fiscal 2023 shipments due to the abnormal seasonality of the fiscal 2022 shipments. In the first half of fiscal 2022, distributor inventories did not increase ahead of the holiday season as is typical and we experienced stronger shipments in the second half of fiscal 2022, as supply challenges began to ease. As expected, in the first half of fiscal 2023, we increased our shipments as supply chain disruption continue to ease and distributor inventories were returning to more normalized levels, which benefited the US net sales growth.

In the second half, net sales were negatively impacted as we lap the increase in shipments in the prior year period related to the rebuilding of our inventory position, particularly for Jack Daniel's Tennessee Whiskey. For the full fiscal year, we estimate the net change in distributor inventories reduced the net sales growth rate by two points, which was in line with our expectations. Woodford Reserve remained the largest contributor to organic net sales growth, driven by strong consumer demand and estimated net increase in distributor inventories as glass supply and capacity constraints continue to ease.

Innovation contributed significantly to the US growth with the launch of Jack Daniel's & Coca-Cola RTD, which was the second largest growth driver. Organic net sales also benefited from higher prices across the portfolio led by the Jack Daniel's family of brands as well as premiumization with the successful launch of the Jack Daniel's Bonded series. This growth was partially offset by lower volumes of Jack Daniel's Tennessee Whiskey and Korbel California Champagne largely due to our focus on rebuilding inventory levels across the supply chain in the second half of fiscal 2022, which created a strong prior year comparison, resulting in an estimated net decrease in distributor inventories.

From a takeaway perspective, the disconnect between Nielsen takeaway and our actual results continue to narrow as we lap many of the factors that created the gap, such as the impact of our brand and market prioritization work in fiscal 2022 related to supply chain challenges. As the industry began to normalize, total distilled spirits delivered value growth in the low- to mid-single-digits. As we lap the impact of supply chain constraints, that previously suppressed our performance, our takeaway performance is normalizing. Although, with our recent innovation, Brown-Forman is outpacing total distilled spirits growth. We worked diligently to rebuild finished goods inventory levels across the three-tiered system and believe that distributor inventory levels are now back to normal. We are continuing to rebuild some brands and sizes, but shipments and depletions are largely in balance across our full-strength portfolio.

And finally, the Travel Retail channel continued its very strong rebound in fiscal 2023, as international airline travel and the cruise industry recovered from the impacts of the pandemic-related travel restrictions. Organic net sales grew 43%, led by higher volumes across much of our portfolio, and our business has returned to pre-COVID levels. Moving to gross profit and gross margin. For the full fiscal year, reported gross profit increased 4% with organic growth of 9%, which was slightly below our organic top line growth. Reported gross margin contracted by 180 basis points, slightly better than our latest expectations. Favorable price/mix driven by our pricing strategy and the removal of the European Union and United Kingdom tariffs on American Whiskey were more than offset by higher inflation on input costs and supply chain disruption costs largely related to global logistics constraints, along with the negative effect of foreign exchange.

Turning to operating expenses. Total reported operating expenses increased 15% with organic increasing 11%, in line with our expectations. As we have shared, we have been committed to reinvesting a portion of the tariff relief back behind our brands once removed. In fulfilling this commitment in support of sustainable long-term growth, this resulted in our brand investment for the fiscal year at a rate above our top line growth with our reported and organic advertising expense increasing 15% and 18%, respectively. The increase was focused primarily on Jack Daniel's Tennessee Whiskey, the launch of Jack Daniel's Bonded, Herradura, and Woodford Reserve.

We also continue to invest behind our people as SG&A expense increased 8% on a reported and 9% on an organic basis, driven primarily by higher compensation-related expenses and higher discretionary spend as the return to a normalized environment enabled in-person events and activities to resume. Costs related to the acquisitions of the Gin Mare and Diplomatico brands impacted the reported results. Reported operating income decreased 6% for the full year, reflecting lower gross margin, higher non-cash impairment charges largely related to the Finlandia brand name, and higher operating expenses, including certain post-closing costs and expenses in connection with the acquisition of the Gin Mare and Diplomatico brands.

Organic operating income, which excludes the impact of foreign exchange, impairment charges, and acquisition and divestitures, grew 8%. As noted in our earnings release, in the fiscal year, diluted earnings per share decreased 7% to $1.63 due to the decrease in reported operating income for the reasons I have just previously-stated and a pension settlement charge partially offset by the benefit of a lower effective tax rate.

Before moving on to our fiscal 2024 outlook, I'll provide a few updates related to our capital deployment. As a reminder, our capital allocation philosophy is to, first, fully invest behind our business, second, to pay increasing regular dividends, third, we opportunistically look for acquisitions that we believe create long-term value for the next-generation of growth, and finally, we look to opportunities to return cash to stockholders. In fiscal 2023, we generated strong cash flow from operations, which enabled us to meet our current operating needs, fund capital expenditures, and returned $378 million to our stockholders through regular dividends.

We believe our investment-grade credit ratings, A1 by Moody's and A- by Standard and Poor's, provide us with financial flexibility when accessing the global debt capital markets and allow us to reserve adequate debt capacity for investment opportunities and unforeseen events. Related to the investment opportunities, on March 21st, 2023, we issued $650 million 10-year senior unsecured notes due April 15th, 2033. We utilized the net proceeds from the offering to refinance our existing $600 million of outstanding debt under a senior unsecured 364-day term loan credit agreement that helped fund our acquisition of Gin Mare and Diplomatico. We believe our long-held capital allocation philosophy, coupled with our strategic priorities, will continue to drive superior returns for the long-term.

And now to our fiscal 2024 outlook. We are optimistic as we look ahead. We have now cycled through the largest impacts of the pandemic. And after the global macroeconomic and geopolitical volatility experienced in fiscal 2023, we believe trends are beginning to normalize around the world. After two years of strong growth, which were well-above our long-term trends, we continue to believe that the strength and increasing premiumization of our portfolio of brands, the resilience of our people, and the strategic investments we have made will deliver continued growth on this elevated base. While consumer demand for our brands begins to reflect a normalization back to our more historic trends, we expect to continue to benefit from our long-term pricing and revenue growth management strategies, partially offset by a portfolio mix shift to RTDs, largely related to the launch of Jack Daniel's & Coca-Cola RTD.

In what has been a highly dynamic operating environment, we remain cautious due to the current macroeconomic volatility and the potential impact of inflation on consumer spending, but believe that the collective strength of our US and international markets, along with the Travel Retail channel should reflect our longer-term growth algorithm, and therefore, we expect organic net sales growth for fiscal 2024 in the 5% to 7% range. It is important to note that, in fiscal 2024, on a year-over-year basis, we will still be comparing against the strong shipments related to our rebuilding of distributor inventories that began in the second half of fiscal 2022 and extended into the first half of fiscal 2023.

I will also mention the stronger shipments associated with the launch of Jack Daniel's & Coca-Cola RTD in the back half of fiscal 2023 will have to be lapped in the second half of fiscal 2024, both are reflected in our guidance. We believe inflation will continue to negatively impact our input cost, which will be partially offset by lower year-over-year costs associated with the supply chain disruption we incurred in fiscal 2023. Our outlook reflects a normalization of incremental advertising spend after lapping a year of significant incremental investment in fiscal 2023. As a reminder, our long-term philosophy for advertising spend has to be aligned with our top line growth.

SG&A growth is likely to remain higher than historical averages as we continue to expect higher compensation-related expenses and transition Japan to own distribution in fiscal 2024. Based on these expectations, we anticipate organic operating income growth in the 6% to 8% range for the full fiscal year. We also expect our fiscal 2024 effective tax rate to be in the range of approximately 21% to 23%. And lastly, for capital expenditures, as I mentioned, we remain committed to investing fully behind our business. And based on the expectation for continuing strong consumer demand for our brands, additional expansions are required to support this growth, particularly for the Jack Daniel's family of brands and our Herradura of tequila brands, as Lawson shared earlier in his comments. Therefore, in fiscal 2024, we estimate our capital expenditures will be in the range of $250 million to $270 million for the full year.

In summary, we are proud of our second consecutive fiscal year of strong broad-based growth from both a brand and geographic perspective. In fiscal 2023, we delivered double-digit organic top line and high-single-digit organic bottom line growth despite the significant disruptions and challenges we encountered throughout the year. As trends and inventories are normalizing, we are optimistic about the fiscal year ahead. We believe the strength of our premium and iconic brand portfolio, along with the talent and diversity of our team members will enable another year of consistent growth in Brown-Forman's history of delivering sustainable and consistent long-term performance.

This concludes our prepared remarks. Please open the line for questions."
"5","Operator",NA,"Thank you. [Operator Instructions] Our first question comes from the line of Vivien Azer from TD Cowen."
"6","Vivien Azer","Analyst at TD Cowen","Hi, good morning."
"7","Leanne Cunningham","Executive Vice President and Chief Financial Officer at Brown-Forman","Good morning."
"8","Lawson Whiting","President, Chief Executive Officer, and Director at Brown-Forman","Good morning, Vivien."
"9","Vivien Azer","Analyst at TD Cowen","So thank you so much for all the perspective on your inventory levels. I'm sure you've been hearing it. We certainly have. A lot of concern from investors around overall alcohol inventories in the US, in particular, looking at the census data. So Lawson or Leanne, I was wondering if you have any comments that you could offer on broader -- the broader inventory situation for spirits or US alcohol across the board. Any perspective on that would be helpful. Thanks."
"10","Leanne Cunningham","Executive Vice President and Chief Financial Officer at Brown-Forman","Thanks, Vivien. I'll take that one. And as we have shared with you over the last seven quarters, we've been in a little bit of a different position than some of our peers in the industry. We have similarly had really strong consumer demand. We've added some great innovations to our portfolio. But we've been faced with the global supply chain challenges, first, related to glass then followed by the logistic constraints that we've had. So we've been working for us diligently to rebuild that inventory. And as we shared with you last quarter, we believe that our distributor and retailer inventories would return to more normalized levels at the end of this fiscal year. And so for us, in the US, we're happy to report that our distributor inventory levels are now back to normal.

We do continue to have some rebuilding of some brands and some smaller sizes, but our shipments and depletions now are largely back in balance across our full-strength portfolio. And similarly in Europe, our stock levels are also largely back to normal after we have the supply chain challenges in fiscal '22. So for us, we were just in a bit of a different position. We've been kind of updating you on that every quarter as we moved along. And for us, we are kind of just now getting back to what we consider normal inventories across the system."
