"","speaker","title","msg"
"1","Operator",NA,"Good day, and thank you for standing by. Welcome to BXP's Fourth Quarter and Full Year 2022 Earnings Conference Call. [Operator Instructions] Please be advised that today's conference is being recorded.

I would now like to hand the conference over to your first speaker today, to Helen Han, Vice President, Investor Relations. Please go ahead."
"2","Helen Han","Vice President, Investor Relations at Boston Properties","Good morning, and welcome to BXP's Fourth Quarter and Full Year 2022 Earnings Conference Call. The press release and supplemental package were distributed last night and furnished on Form 8-K. In the supplemental package, BXP has reconciled all non-GAAP financial measures to the most directly comparable GAAP measure in accordance with Reg G. If you did not receive a copy, these documents are available on the Investors section of our website at investors.bxp.com. The webcast of this call will be available for 12 months.

At this time, we would like to inform you that certain statements made during this conference call which are not historical, may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act. Although BXP believes the expectations reflected in any forward-looking statements are based on reasonable assumptions, it can give no assurance that its expectations will be attained. Factors and risks that could cause actual results to differ materially from those expressed or implied by forward-looking statements were detailed in yesterday's press release and from time-to-time in BXP's filings with the SEC. BXP does not undertake a duty to update any forward-looking statements.

I'd like to welcome Owen Thomas, Chairman and Chief Executive Officer; Doug Linde, President; and Mike LaBelle, Chief Financial Officer during the Q&A portion of our call, Ray Ritchey, Senior Executive Vice-President and our regional management teams will be available to address any questions. We ask that those of you participating in the Q&A portion of the call, to please limit yourself to one question. If you have any additional query or follow-up, please feel free to rejoin the queue.

I would now like to turn the call over to Owen Thomas for his formal remarks."
"3","Owen D. Thomas","Chairman and Chief Executive Officer at Boston Properties","Thank you, Helen, and good morning everyone. Today, I will cover BXP's continued strong operating performance as demonstrated in our fourth quarter and full year 2022 Results, I'll discuss key economic and market trends impacting BXP, and finish with BXP's capital allocation decisions and activities.

Despite increasing economic headwinds, BXP continued to perform in the fourth quarter and had strong overall operating results throughout 2022. Our FFO per share this quarter was above both market consensus and the midpoint of our guidance. Our FFO per share grew 15% in 2022 due to development deliveries and strong leasing activity. We completed 1.1 million square feet of leasing in the fourth quarter and 5.7 million square feet of leasing for all of 2022, which is 95% of our average annual leasing over the last 10 years. The weighted-average term for leases signed in 2022 was 9.2 years.

This success can again be attributed to not only BXPs strong client relationships and our team's execution, but also the increased share of tenant demand captured by premier workplaces, which are the hallmark of BXP's strategy and portfolio. BXP raised 1.2 billion in additional liquidity through a $750 million unsecured green bond offering and the extension and upsizing of our bank term-loan, ensuring funding for our sizable and substantially leased development pipeline in a challenging capital markets environment.

And lastly on 2022, BXP continues to be a decorated industry-leader in sustainability, having most recently won Nareit's Leader in the Light Award, named the highest ranking real estate company and 29th overall on Newsweek list of Most Responsible Companies, and one of only eight property companies named to the Dow Jones Sustainability Index.

Notwithstanding that running debate on whether the US economy will experience a hard or soft landing, commercial real estate markets are currently in a recession. Many of our clients are experiencing a slowdown in growth or reductions in topline revenue. And as a result, are focused on cost control, including moderating head count and space use. We all read the daily headlines of layoffs which have been most significant in the technology industry, but are migrating into other sectors. Many companies, particularly in the technology sector are halting new requirements and-or giving back space to the market.

The key culprit for the current economic slowdown is inflation which sparked unprecedented Federal Reserve tightening measures last year, including rapidly increasing interest rates, quantitative tightening measures and more regulatory scrutiny of banks. The better news is inflation is starting to come down. The Federal Reserve is expected to moderate further interest rate increases with the Fed funds rate possibly peaking around 5%, and the capital markets with a 10-year US Treasury at 3.5% and rallying to equity markets are much less hawkish on inflation than the Federal Reserve.

We are not able to predict the depth or length of the current economic slowdown, but its trajectory is coming into clear focus. Our goal is to position BXP for success regardless of the economy's trajectory by carefully managing leverage and liquidity. The leasing activity is declining due to corporate earnings pressure. The premier workplace segment of the office market continues to materially outperform. Users are increasingly interested in upgrading their buildings and workspaces to attract their workforce back to the office, resulting in an accelerating flight-to-quality in the office industry.

As described previously, CBRE is tracking the performance of premier workplaces in the US. And for the five CBDs where BXP operates, premier workplaces represent approximately 17% of the 700 million square feet of space and less than 13% of the total buildings. As of year end 2022, direct vacancy for premier workplaces was 9.6% versus 14.7% for the rest of the market. Also, for all of 2021 and 2022, net absorption for premier workplaces was a positive 7.1 million square feet versus a negative 25.4 million square feet for the balance of the market. Rents and rent growth are higher for premier workplaces and we believe this segment captures well over half of all leasing activity, including two buildings undergoing renovation, 94% of BXPs CBD space is in buildings rated as premier workplaces, which has been and will be critical for our leasing success.

Moving to real estate capital markets for office assets, US transaction volumes slowed materially to $12 billion in the fourth quarter, down 40% from the third quarter. Transaction volume across all real estate classes was down 36% over the same period. Mortgage financing is very challenging to arrange and available for only the highest quality leased assets and sponsors. First mortgage financing costs have risen materially over the past year based on both higher rates and credit spreads.

Given the dearth of transaction activity, office asset pricing is difficult to determine, but it is clear cap rates have risen. There were a handful of BXP comparable transactions, of note, in the quarter. And the route 128 quarter of Boston, two separate lab sales were completed for a total of $375 million. One, sold to a REIT and another to an institutional investor. So, one of the transactions is redevelopment, pricing parameters indicate a stabilized yield of at least 6% and pricing per square foot and a mid 900s. In Sunnyvale, California, two separate and fully leased office complex sold for $415 million. One to a private real estate company and the other to international fund. Initial cap rates ranged from 0.8% to 6.2% and prices per square foot from 1,140 to 1,230.

Regarding BXP's capital market activity in the fourth quarter, we closed both the previously described acquisition of a 20% -- 27% interest in 205th Avenue in New York City and the sale of the Avant, a luxury residential building in Reston. For all of 2022, we acquired $1.6 billion of lab and office assets and completed over $860 million of dispositions of office and residential assets. So we have additional asset sales in our targeted pipeline. Completion of the dispositions will require more liquid capital market conditions. New acquisitions will be opportunistic and solely focused on premier workplaces, life science and residential development. BXP's volumes for acquisitions and dispositions are very difficult to predict for 2023 given current market conditions.

Our development pipeline continues to be active, delivering growth to our current and future financial results. This past quarter, we fully placed into service the 1.1 million square foot Reston Next premier workplace, which is 90% leased on a long-term basis to Fannie Mae and VW of America. This project was delivered below budget on costs and is projected to yield 7.7% upon stabilization. We also placed into service 880 Winter Street, a 244,000 square foot very successful office to lab conversion project located in Waltham, that is 97% leased. We purchased the office building in 2019 for $270 a square foot, spent approximately $500 a square foot on the conversion and delivered the project at an initial cash yield of 10%. We also commenced the conversion of 105 Carnegie Center, a 70,000 square foot suburban office building in our Carnegie Center asset in Princeton to lab use. This is our first attempt at life science at Carnegie Center and we have life science clients reviewing the opportunity. There are two projects, 290 and 300 Binney Street in Cambridge that do not appear on our fourth quarter construction in-progress schedule that we are commencing in the first quarter and have an impact on our current 2023 financial projections, which Mike will discuss in greater detail.

As described on our last call, Biogen is in the process of vacating the 300 Binney Street office building and we will commence the conversion of the asset to lab use for the Broad Institute, which has agreed to lease the building for 15 years. We have also completed the necessary pre-development hurdles to commence the development of 290 Binney Street, a 570,000 square foot, 16 story lab building leased to AstraZeneca for 15 years. We estimate that the project will cost approximately $1.2 billion and expect it to be delivered in 2026 at an initial cash yield in the mid 6% range. Given the annual escalations and the AstraZeneca lease, the initial FFO yield is materially higher. 290 Binney Street is a complicated development and tailing the demolition of 1,136 stall parking garage, the temporary relocation of parking capacity from this garage, the construction of a subterranean vault which will house an electrical substation currently being permitted by Eversource and other facilitating agreements. Commencing 290 Binney Street also creates an obligation for BXP to build 121 Broadway, which is a 37y, 440 unit residential tower, which will likely commence in 2024.

In addition to these two buildings, BXP also has remaining rights for an additional 580,000 square foot life science building in our Kendall Center development, which due to upfront infrastructure costs carried about the first two projects has the potential to be developed at significantly higher yields than 290 Binney Street.

These projects demonstrate the skill of BXPs development team in identifying an opportunity to creatively solve the community problem of locating a new electrical substation and having the expertise to bring the project to reality by solving problems for multiple interested stakeholders, thus creating a highly-accretive development opportunity for BXP.

After all of these movements and including the 290 and 300 Binney Street projects, our current development pipeline of 13 office lab and residential projects as well as View Boston, the observation deck at the Prudential Center aggregates approximately 4 million square feet and $3.3 billion of BXP investment that we project based on delivery date and lease-up assumptions to add more than $240 million to our annual NOI over the next five years at a 7.3% average cash yield on cost when stabilized. The commercial component of our development pipeline is 51% pre-leased.

So in summary, despite adverse market conditions, BXP had another very successful quarter and year with financial performance above expectations, strong FFO growth, significant leasing success, and robust investments and capital reallocation activity. BXP is well positioned to weather the current economic slowdown given our premier workplace, market positions, our strong and increasingly liquid balance sheet, our significant and well leased development portfolio in progress, and our potential to identify additional investment opportunities in the current market dislocation.

Let me turn the discussion over to Doug."
"4","Douglas T. Linde","President and Director at Boston Properties","Thanks, Owen. Good morning, everybody. So, Owen really spent some time describing the totality of what's going on at BXP. I'm going to be a little bit more concentrated today and talk about demand.

Everyday seems to bring another announcement of our staff production from some large or medium-sized employer. And while the constant -- these these announcements have been concentrated in the technology industries as Owen described, primarily big tech. We're also seeing them in the finance industry, the legal industry and broader corporate America. Now I can point to examples of companies in our portfolio that are growing, but we are the first to acknowledge that the pool of clients overall demand that we serve is unlikely to be growing the overall footprint in 2023, AKA, hard to see much in the way of positive absorption.

If there's a silver lining in the job reductions that are being announced, it's an improvement in the labor availability, is manifesting itself in encouraging ways. Fewer job listings being offered for remote work. Forms of hybrid work seem to be sticky, but the power dynamic between employers and employees is shifting. Companies are stepping up the days that workers are asked or acquired, cajoled to come into the office. In our portfolio, we're seeing a steady increase in the number of unique occupants that are in the office each week.

We measure the unique number of card swipes on a daily basis where we have turned styles. These numbers vary day-to day. And if I compare the day in March of 2022, which is after the the last sort of COVID Omicron surge versus the best day in January, so a week ago, across the BXP portfolio volume is up almost 40%. I don't know how others measure their usage. BXP measures against the number of seats we have in our spaces. On a daily basis, utilization ranges from between 34% in San Francisco, 48% in Boston, and 58% in New York City. And if we look at the number of unique users coming into our buildings on a weekly basis relative to the number of seats, we're currently seeing as much as 82% in New York City, 76% in Boston, and 70% in San Francisco. Our clients are using their space, they're just not coming to the office every day.

As Owen said, we spent the better part of 18 months redefining our business with you, as being developers and operators of premier workplaces. As Owen described in his comments, the bifurcation between premier product and general office space continues to widen. The availability rates published by the brokerage firms and reported as headlines in business publications in newspapers track all of the space. A meaningful amount of the existing office inventory may have a higher and a better use as an alternative product and it's not relevant to users searching for space today. Conversions will happen and we are studying non-BXP buildings in our markets, but this process is going to take years. So the published statistics are going be sticky even though much of the availability is not attractive to users at any price. In fact, it's hard to see a potential client looking at a BXP offering that we consider many of the buildings captured in the broad market surveys.

Again, we have to acknowledge that there continues to be a addition of new sublet or soon-to-be direct opportunities in premier space from technology company, 181 Fremont Street in San Francisco being the latest example. Availability in premier space matters, but other issues matter even more. The floor plate size matters, the build-out configuration matters, amenities matter. In markets like Boston or San Francisco, parking availability matters and the specific location matters.

As we explained in our press release last night, while our reported in-service occupancy has declined in the quarter, as we said it would on our last call in and in our Nareit meetings in November, it simply due to the addition of new in-service buildings that have leases that have not commenced and are reported as vacant. This includes Reston Next, that is 69% occupied and 90% leased, and 880 Winter Street, that's 85% occupied and 97% leased. Excluding those assets, our occupancy was actually up this quarter, from 80.9% to 89.1%. And if you do the math a little bit differently and we include those buildings at their lease percentages, the portfolio would still be at 89.1%. So our in-service portfolio is picking up occupancy.

As we sit here today, we have signed leases on our in-service vacancy totaling 1.5 million square feet. In the fourth quarter, we completed a 145,000 square feet of leasing in our development portfolio, which is now up to 1.6 million square feet leased, when we include 300 Binney and 290 Binney, which as Owen said are not yet on our development pipeline.

We completed two transactions totaling 90,000 square feet at 2100 Penn in the CBD of DC, which now stands at 81.3% leased. We executed 1.1 million square feet of leases in the fourth quarter with New York, Boston, and DC regions leading the way with about 300,000 square feet each and San Francisco of 2,000 square feet. 48% of the square footage came from new clients, 39% were renewals, and 11% were expansions. Some of them renewing clients did reduce their footprint as part of the extension. Even in the midst of a slowdown in business activity and job reductions, there are still businesses that are expanding their footprints. The mark-to-market on the leases we signed this quarter were up 7% in Boston, 9% in San Francisco, flat in New York City, and down 11% in D.C.

It should come as no surprise that we think BXP's premier workspace portfolio is highly differentiated. But on-top of that, our operating teams are the best in the business. I want to describe three transactions we accomplished in the fourth quarter that illustrate our team's creativity. In Boston, we were getting a 100,000 square feet block of space back in one of our assets. The team identified a client that typically does not do direct deals with landlords, but generally looks at sublet space. We engaged the principles in the tour of the space. The space was in great condition and we were able to secure a lease that met the tenant's desire to have an attractive annual rent as possible in the premier building with limited capital outlay and make a long-term commitment. The lease was executed in late December.

In San Francisco, a client with a fast approaching termination option in its existing non-BXP building wanted to move to View Space. They toured the market in early December and identified two spaces in the 34% available market that met their needs. On December 26th, we signed a binding letter of intent. The client understood they were not taking any counterparty risk with BXP and we signed the lease for 50,000 square feet or 2.5 floors that were vacant on January 16th.

In October, our New York team identified a client that had a lease expiration and no ability to renew in place in mid 2023, which is a very tight timeline. We sent an unsolicited proposal for two vacant floors in our 53rd Street campus. With some persistence, we were able to arrange the tour. We mobilized our construction department to deliver the space per their needs. And in December, we signed a lease for two vacant floors and an option for a third.

Owen mentioned that we delivered our life science project at 880 Winter Street this quarter. We also completed our first lease at 651 Gateway. We have available space as well at our two developments in Waltham. The life science market is also experiencing a slowdown in demand. At the present time, we have not made any commitments to build additional projects other than 290 Binney Street, which is 100% leased to AZ, and the 70,000 square foot project that Owen described at Carnegie Center.

It's a challenging market. There is not going to be positive market absorption in the near-term. We believe that BXP will outperform the market and we will lease our available space because our portfolio is fundamentally comprised of premier workspaces and the demand that is in the market wants to be in these types of properties. Medium and small financial and professional service clients will make up the bulk of the leasing we complete in 2023. We completed 72 leases during the fourth quarter. Only one lease was above a 100,000 square feet.

Tour activity continues to be strongest in the Boston CBD and New York City markets where the concentration of technology users is less pronounced and the weighting of market occupancy leans more heavily towards traditional, financial and professional services firms. Not surprisingly, the most active buildings in our portfolio are the GM Building and 200 Clarendon.

With that, I'll stop and turn the call over to Mike."
"5","Michael E. LaBelle","Executive Vice President, Chief Financial Officer and Treasurer at Boston Properties","Great. Thanks, Doug. Good morning, everybody. I plan to cover the details of our fourth quarter performance and the changes to our 2023 earnings guidance. However, I would like to start with a summary of our recent capital raising activities.

We've been very busy in the capital markets and has substantially bolstered our liquidity heading into 2023. In the last 120 days, we've executed on three transactions in three different markets. We sold one of our residential buildings in Reston Town Center for $141 million and a 4.3% cap rate. We issued $750 million of five-year unsecured green bonds. And in January, we extended and upsized our corporate unsecured term loan to $1.2 billion, an increase of $470 million. In aggregate, the net proceeds raised from these deals is $1.35 billion, and we now have liquidity of $2.6 billion, which puts us in an extremely strong position to complete our development pipeline, including our recently commenced 570,000 square foot fully pre-leased, 290 Binney Street life science project, as well as provide additional capital for other opportunities that may arise.

We've also reduced our 2023 loan maturity exposure to $930 million, which is comprised of $500 million of senior unsecured notes that expire in September, and five expiring mortgages totaling $430 million at our share. The majority of these mortgages have embedded extension options and we anticipate renewing or refinancing all of these facilities. Given the challenging state-of-the current debt markets, particularly with respect to the mortgage markets, we are very well positioned.

Now I'd like to turn to our fourth quarter earnings results. We reported fourth quarter FFO of $1.86 per diluted share and full year 2022 FFO of $7.53 per diluted share. This is a penny ahead of the midpoint of our guidance and $0.02 ahead of Street consensus. The improvement was primarily from better performance in our portfolio with our NOI of about $4 million or $0.02 per share, ahead of our forecast. The outperformance was a mix of higher lease revenue, stronger results from our hotel in Cambridge, and higher building service income, especially in New York City where we see the highest space utilization.

The portfolio outperformance was partially offset by a penny of higher net interest expense related to our $750 million green bond offering that was not part of our original guidance. Although not part of FFO, I do want to describe that we took a $51 million or $0.29 per share non-cash impairment charge in the quarter, reducing the book value of our equity interest in our Dock 72 property located in Brooklyn, New York. This building is owned in a joint venture where we hold 50%. The building has suffered from weak leasing conditions in Brooklyn, and last quarter the primary client contracted by two floors. It's currently just 25% occupied, although it is 42% leased, including leases that have not yet commenced.

Overall, we had a strong year in 2022. We increased revenue by 8% and our FFO by 15% over 2021. Our growth came from our same-property portfolio, as well as our developments and our acquisitions. Our same-property NOI increased 4% over 2021, which was the high-end of our range. And on a cash basis, it was even stronger with cash NOI growth in our same-property portfolio of 6.5% over 2021. Our development deliveries added $0.24 per share to our 2022 earnings and our acquisitions net of dispositions added $0.10 per share.

Now I'd like to turn to an update to our 2023 guidance. As we detailed in our press release, the two most significant changes to our 2023 FFO guidance are the impact of commencing our 290 Street -- 290 Binney Street development and the interest expense associated with our new financings. We did not incorporate 290 Binney in our guidance last quarter due to several significant contingencies we needed to clear prior to starting the projects that were outside of our control. Our team successfully closed out these items late in the fourth quarter and we were able to start the project in January.

The development plan includes closing and demolishing the existing Binney Street garage. [Indecipherable] produced $8.6 million of NOI in 2022 and we will lose this income in 2023 and going forward until the completion of the development, which will include a new underground parking facility. As Owen described, the project is projected to be highly-accretive to our future FFO. And by the way, all the loss garage income is incorporated into those development returns. We are also required by GAAP to expense the garage demolition costs of approximately 3.2 million. We expect to incur the demolition expense in the first and second quarters of 2023 with no impact thereafter as the demolition will be complete. These two items related to 290 Binney Street will result in a $11.8 million of lower FFO in 2023 or $0.07 per share.

With respect to our financing activity, we disclosed in our press release in November that our $750 million green bond offering would add $0.08 per share to our 2023 net interest expense and reduce our FFO guidance. As a result, we expect the aggregate impact of starting 290 Binney and issuing incremental debt capital will reduce our 2023 FFO by $0.15 per share. Despite this, our new guidance range for diluted FFO of $7.08 and $7.18 per share is a reduction of only $0.09 per share at the midpoint from our guidance last quarter. That means, we've increased the projected contribution to FFO from other areas.

Also, we previously communicated the impact of our bond offering, so the reduction is really only a penny per share from our November adjusted guidance. The projected increases come from three places. First, excluding 290 Binney Street, our assumption for incremental contribution to NOI from acquisitions and developments is up $0.02 per share. The increase is from higher contribution from our 205th Avenue acquisition and better than projected leasing in our development pipeline. Doug described the increased leasing this quarter in the pipeline and some of that will generate revenues in 2023.

Second, our revised assumption for net interest expense is lower by $0.03 per share, net of the impact of the bond offering. And this improvement is primarily from higher earnings on our cash balances and higher capitalized interest from changes in our development spend and higher interest capitalization rate. And last, we've increased our guidance for development and management services income by $2 million or a penny per share, reflecting higher projected construction management fees.

So to summarize, we've modified our 2023 guidance range for diluted FFO to $7.08 to $7.18 per share, a decline of $0.09 per share at the midpoint. The changes are the result of cost from starting 290 Binney Street of $0.07 and higher interest expense from our bond offering of $0.08, and these reductions are partially offset by higher contributions to NOI from acquisitions and developments of $0.02, higher interest income and capitalized interest of $0.03 and higher-fee income of a penny.

Our 2023 forecast resulting in a projected reduction in FFO of 5% from last year after growing 15% in 2022. The reduction is wholly due to the significant increase in interest rates as our portfolio NOI continues to grow and we have a significant pipeline of accretive developments that are delivering over the next few years. As Owen described, it appears that we are close to the end-of-the Fed's tightening cycle. So interest rates should not be the same headwind going forward. The last thing I would like to mention is that we intend to change the timing of our initial issuance of annual guidance starting next year. We plan to provide guidance for 2024 with our fourth quarter earnings release, similar to the other companies in our sector.

That completes all of our formal remarks. Operator, can you open up the lines for questions?"
"6","Operator",NA,"Thank you, sir. [Operator Instructions] I show our first question comes from the line of Camille Bonnel from Bank of America. Please go ahead."
"7","Camille Bonnel","Analyst at BofA Global Research","Hi, good morning. Your guidance mentioned higher contributions from acquisitions and development activities, but it looks like a few initial occupancy dates for officers and life science projects got pushed back a quarter into next year. Can you just provide a bit of color on what's contributing to this outlook? And any comment specifically on how the leasing pipeline is going for your construction properties would be very helpful? Thank you."
"8","Owen D. Thomas","Chairman and Chief Executive Officer at Boston Properties","So we did a significant amount of leasing at 2100 Penn. And a portion of that will contribute in 2023. We did push-out by one quarter 360 Park Avenue South based upon where the leasing activity and the development activities are on that asset. And then the other place that we had a little bit of an increase was at 205th Avenue which is an acquisition we made and we finalized the kind of accounting of straight-line rents and fair-value rents for that asset. So that's flowing through into our straight-line rents next year, which our guidance is up for straight-line rent.

Doug, I don't know if you want to talk anymore about the development leasing? I mean, you talked about a little bit on..."
"9","Douglas T. Linde","President and Director at Boston Properties","Yeah. I think in my in my comments I described sort of where we are, which is big picture, we're about 50% leased on our the totality of our development assets, when -- and by the way, we will be including next quarter for 300 Binney and 290 Binney on our CIP schedule. The leasing is slow at 350 Park Avenue South. The leasing picked-up, as Mike said, at 2100 Pennsylvania Avenue. We are very well-leased at the other assets that brought on this quarter. So relative to 2023, I don't think you're going to see much in the way of changes."
"10","Operator",NA,"Thank you. And I show our next question comes from the line of John Kim from BMO Capital Markets. Please go ahead."
