"","speaker","title","msg"
"1","Josh Weinstein","President, Chief Executive Officer & Chief Climate Officer at Carnival Co. &","Good morning. This is Josh Weinstein. Welcome to our second quarter 2023 earnings call. I'm joined today by our Chair, Micky Arison; our Chief Financial Officer, David Bernstein; and our Senior Vice President of Investor Relations, Beth Roberts.

Before I begin, please note that some of our remarks on this call will be forward-looking. Therefore, I'll refer you to the cautionary statement in today's press release. There are many milestones we've hit over the last 2 years, and this past quarter is no exception. In fact, there was much to celebrate in the second quarter. We reached a meaningful inflection point for revenue with net yield surpassing 2019 strong level. And on top of that, operating income, cash from operations and adjusted free cash flow were all positive. Adding to those achievements, we just hit all-time highs for bookings and customer deposits.

And remarkably, we are still experiencing a phenomenal wave season, which started early, gained strength and is still going strong midway through the year. The strength in demand delivered outperformance in the second quarter for revenue, adjusted EBITDA and the bottom line, a credit to the dedicated efforts of our 160,000 amazing team members ship and shore. Net yields in constant currency turned positive in the second quarter compared to 2019 as we drove cruise ticket prices above 2019 while maintaining record onboard revenue growth and continuing to close the gap on occupancy.

In fact, net per diems in constant currency were up 7.5% over 2019 in the second quarter. This was 4.5 points better than the midpoint of guidance which we were able to achieve while meeting our forecasted occupancy. Based on continued strength in pricing, we have also raised our expectation for net for diems in the second half by over 2.5 points while again, maintaining our occupancy expectations, which is supporting our guidance of higher net yields in the second half of 2023 over 2019 in constant currency. This revenue growth will be significantly higher than the increase in our cost guidance, which David will elaborate on. All told, we are bringing another $275 million to the bottom line for the year, thanks to the strength in revenue as well as the interest expense benefit we are capturing from deleveraging.

On a per ALBD basis and holding fuel price and currency constant to 2019 levels, we progressed from 59% of 2019's EBITDA in the first quarter to 73% back in our second quarter. We expect to hit about 85% for the third quarter and be all the way back for the fourth quarter. We are now expecting adjusted EBITDA of $4.1 billion to $4.25 billion, above the high end of our prior guidance range. As I mentioned, booking volumes reached an all-time high in our second quarter, exceeding the record levels we achieved in the first quarter, which would normally be our peak period. Booking volumes were 17% higher than 2019, which is multiple of our capacity growth. We experienced double-digit growth in booking volumes on both sides of the Atlantic.

Demand for our European brands has continued to strengthen and is now outpacing 2019 booking volumes at a rate that's comparable to our North America brands and the strength in demand has carried into June. In North America, the booking curve is as far out as we have ever seen it, while our European brands are quickly catching up to 2019 levels. With over 90% of this year on the books, 2023 is now essentially behind us, and we are strategically building a strong base of revenue for 2024. In fact, our book position for 2024 also stands at record levels. Reflecting this performance, our customer deposits are also at an all-time high of $7.2 billion, significantly higher than our prior peak of $6 billion.

Customer deposits grew 26% over the prior quarter and are multiples of our measured capacity growth as we strategically push out our booking lead times and pull forward more onboard spend through bundled packages and pre-crew sales. Onboard revenues were once again off the chart this quarter as the strategy delivers an added benefit of elevating spending once on board, enabling us to capture more of our guests vacation wallet. Our brands are laser-focused on our strategy to pull forward both ticket and onboard spend, which only enhances the visibility and predictability of our recurring revenue base. We have over 50% of the next 12 months, both at any given time and over 1/3 of onboard revenues now on the books in advance or sailings.

Our demand generation efforts are in full swing. Our cumulative number of new-to-cruise and new-to-brand guests who sailed with us in the second quarter have already exceeded 2019's level. Our natural search performance is up across the board with an 87% increase over 2019 which is up from a 63% increase last quarter, affirming the success of our new marketing campaigns in driving awareness and consideration. Our lead generation efforts are also working with a 60% increase in paid search clicks over 2019, which is nearly double the 35% increase just last quarter. To accommodate the success and our increased demand profile, we've grown our sales and sales support staff by over 50% in recent months.

At the same time, we can see the impact it is also having with the trade. As I've said before, in order for us to be successful, we need all of our sales channels to excel, and that certainly includes our travel agent partners who are critical in helping us widen the pipeline for new-to-cruise guests. And I've got great news on that front. The trade is continuing to rebound significantly with sales volumes up 45% year-over-year as we increase training, engagement and support activities. And of course, our advertising investments benefit not only us, but our trade partners as well. By any measure, our decision to increase our investment in advertising is paying off. The sequential improvement in these important KPIs suggests the strength we are seeing in demand will continue.

All of this has built confidence not just in our 2023 outlook, but in our ability to launch SEA Change, 3-year targets that will demonstrate our progress towards delivering strong profitability and rebuilding our financial fortress. The acronym S-E-A stands for Sustainability through carbon intensity reduction, EBITDA per ALBD and Adjusted ROIC. Three very important key performance indicators. And for each of these items, we expect to see significant improvements from current level and well above 2019. In fact, the 2 financial measures will be the best we have seen in almost 2 decades and the carbon intensity rate will be unprecedented.

For the S for sustainability, we plan to reduce our carbon intensity by more than 20% compared to 2019. Essentially, we plan to deliver on our 2030 decarbonization goal 4 years early. Reducing our carbon intensity has been and continues to be a priority for our company. It is critical to improving our environmental impact and to improving our financial performance. We are widening the gap to peers on what is already the most fuel-efficient fleet out there. For the E, we are targeting a 50% increase in adjusted EBITDA per ALBD compared to our 2023 guidance. This would also represent a 25% increase over 2019 levels both the fuel price and currency constant. EBITDA per ALBD best measures the increasing unit profitability of our business as we execute on our strategy to deliver revenue yield improvement on lower capacity growth.

And finally, for the A, we expect Adjusted ROIC to reach 12% and more than doubling from 2023 level. We already have the lowest investment base in our industry, and our strategy is designed to deliver outsized returns through high-quality yield-driven revenue growth while maintaining our industry-leading cost structure. These targets are all grounded on low-capacity growth of under 2.5% compounded annually which will allow us to use our cash flow generation to pay down debt and rebuild the balance sheet as we work towards investment-grade leverage metrics. Essentially, we pulled forward our most important sustainability goal and expect a step change in both profitability and return on invested capital in just 3 years.

And importantly, these targets are not our angle. They are measurable markers of continuous improvement. To make this happen, we have a sense of urgency to further our brand efforts to drive net yield improvement and while it's working, we recognize these efforts do build over time. As mentioned on previous calls, to help support this growth and drive overall revenue generation over time, I've actively been working with each brand on their strategies and road maps to ensure they will truly own their space in the vacation market. This means having clearly identified target markets, capacity that is appropriately sized to the market potential, demand generation and marketing capability to hone in on the target market at the lowest possible acquisition costs, revenue management execution to generate optimized pricing across the booking curve and amazing onboard guest experience delivery to drive Net Promoter Scores and resulting advocacy higher.

This will allow us to continue building on our large base of loyal guests as we work to increase awareness and consideration among new-to-cruise guests. To make it happen, we also need to ensure we set our brands up for success organizationally. Accordingly, during the quarter, I completed the restructuring of our global executive leadership and company structure by removing a layer of management between the corporate and brand levels, I now have the leads of all 6 of our major brands representing over 90% of our capacity reporting to me. This is up from one brand and less than 1/3 of our capacity previously. This will facilitate more direct engagement between me and our brand leaders.

To provide me with more bandwidth to do this, I also consolidated several corporate functions under fewer leaders, streamlining our organization. While this leaves me with the same number of direct reports overall, these changes make for a more nimble and accountable organizational structure better able to respond to market opportunities. And we are also positioned to work smarter, excluding sales and sales support. Our shore side staff count is down 18% from 2019. And the team is executing across the board at a high level. I recognize that we need to make sure we are doing our part to make Carnival Corporation an amazing place to work and grow each team member's career. And so we are driving initiatives across the board, ship and shore to meet our long-term goal of being travel and leisure's employer of choice, and it is really showing. The improvement we've seen in our internal metrics on employee satisfaction and culture improvement have been phenomenal.

Turning from our most important assets, our best-in-class people to our hardware. We are actively managing our diverse portfolio of world-class brands which are number 1 or number 2 in each of the largest markets for cruise travel. Following our portfolio and fleet optimization efforts, our capacity growth has been concentrated in our highest returning brand. Carnival Cruise Line, AIDA and P&O Cruises UK. These efforts have also been driven by a purposeful reduction in our overall capacity growth, which combined with our strong and accelerating demand outlook supports further yield improvement, and we still retain the excitement from 14 newly delivered ships, representing nearly 25% of our capacity. Just this month, we completed the transfer of Costa Venezia to our highly successful Carnival Cruise Line brand, launching Fun Italian Style with a spectacular naming ceremony featuring our very first ship godfather, comedic icon, Jay Leno.

I couldn't think of a better personification of Carnival Cruise Line than Jay Leno with his unpretentious and gregarious personality which aligns perfectly with the brand's target segment. Keep it seamlessly with Carnival Cruise Lines brand ambassadors who help amplify Carnival's messaging and appeal such as its Chief Culinary Officer, Emeril Lagasse, Chief Phone Officer, Shaquille O'Neal; and the Mayor of Flavortown himself, Guy Fieri. So far, Fun Italian Style has generated 1.5 million earned media impressions. The instant success of Carnival's Fun Italian Style supports the entry of Venezia, the second cost to ship transferring over to Carnival Cruise Line next year. These transfers are part of our portfolio management strategy, which is contributing to Carnival Cruise Lines capacity, growing 22% more than pre-pause expectations and cost us capacity being reduced by 36% compared to pre-pause expectations.

The added capacity to Carnival Cruise Line will not only generate outsized returns for the company, but rightsizing the Costa brand is also having the desired effect of supporting its revenue profile confirmed by recent booking and pricing trends. We remain committed to our strategy of owning a portfolio of world-class brands, many of which are truly dedicated to specific markets. And it's clear the strength of this portfolio is now shifting into high gear. In fact, with respect to our European brands, bookings taken in the second quarter for the European deployment for each of the third and fourth quarters, achieved double-digit percentage increases in both volume and price compared to 2019. This is also supported by our homeporting strategy that puts nearly 75% of our capacity where our brands guests live.

We are also working to further leverage and monetize our industry-leading land-based assets in the Caribbean and Alaska. We are leaning into our strategic advantage in the Caribbean with the expansion of Half Moon Cay, consistently voted among the best private islands and the development of our largest Caribbean destination yet, Grand Bahama port. It's being designed to deliver wow factors tailored to Carnival Cruise Line guests to drive higher revenue yields and margins. It's also strategically located to deliver a wide array of lower fuel consumption itineraries, furthering our carbon reduction efforts. Our Caribbean destinations already serve about 5.5 million of our brand's guests each year. And upon completion, Grand port will push that to 7.5 million annually.

We also own cruising in Alaska with an unmatched strategic footprint across hotels, rail and motor coaches to deliver unique land sea packages of a lifetime as well as the most itineraries by far, featuring the iconic Glacier Bay. We plan to lean even more into marketing the benefits of all of these assets. Turning to our capital structure. As we indicated on our last call, we have now begun deleveraging our balance sheet and are already $1.4 billion off the peak. During the quarter, we used excess liquidity to opportunistically prepay over $1 billion of debt, while still retaining $7.3 billion of liquidity, which we expect to ratchet down as we rebuild our balance sheet over time.

We remain disciplined in making capital allocation decisions and our lowest order book in decades provides a pathway for further deleveraging. We are clearly gaining momentum on an upward trajectory, positioning us well to deliver strong profitability and rebuild our financial fortress. We are already executing on our strategy with a demonstrated ability to grow revenue by taking up ticket prices even while maintaining record onboard spending levels, building occupancy and growing capacity. We are implementing a range of initiatives to capture incremental demand for cruise vacations and working hard to close the outrageous and are warranted 25% to 50% value gap to land-based offerings over time.

We are well positioned to do so given our high satisfaction and low penetration levels. And we are working hard to mitigate 4 years of inflation, maintain our industry-leading unit costs, all while reinvesting in advertising and sales support to build future demand. We are focused on the durable revenue growth and margin improvement that will deliver on our SEA Change program, propel us on the path to delevering and investment-grade leverage metrics, and drive the continued shift of the enterprise value of our company from debt holders back to equity holders. I can't end without once again thanking our travel agent partners for their support and our best-in-class people ship and shore who deliver unforgettable happiness every day by providing extraordinary cruise vacations to our guests while honoring the integrity of every ocean we sail, place we visits and life we touch.

With that, I'd like to turn the call over to David."
"2","David Bernstein","Chief Financial Officer & Chief Accounting Officer at Carnival Co. &","Thank you, Josh.

Before I begin, please note all of my references to ticket prices, net per diems, net yields and adjusted cruise costs without fuel will be in constant currency unless otherwise stated. I'll start today with a summary of our 2023 second quarter results. Then I'll provide a recap of our cumulative advanced book position. Next, I'll give some color on our 2023 full year June guidance and finish up describing the impact of our SEA Change program on our financial position.

As Josh indicated, in the second quarter, we outperformed our guidance. For the second quarter, our adjusted EBITDA was $681 million at the high end of our March guidance range. The improvement was driven by $108 million of favorability in revenue from higher ticket prices. Net per diems were up 7.5%, and 4.5 points higher than the midpoint of our March guidance range. In fact, second quarter revenues of $4.9 billion was a record and we achieved a significant milestone with net yields turning positive as compared to 2019. However, our revenue favorability was partially offset by a $13 million unfavorable net impact from higher fuel prices and currency, and $52 million of unfavorability in adjusted cruise costs without fuel due to the timing of expenses between the quarters as well as other factors that will impact our cost guidance for the full year.

Turning to our cumulative advanced book position. For the remainder of 2023, our cumulative advanced book position is at higher prices when compared to strong 2019 pricing. Despite headwinds from the loss of St. Petersburg as a marquee destination due to the suspension of cruises to Russia and normalized for future cruise credits with a booked occupancy position that is near the high end of the historical range. With the strength in booking volumes above 2019 levels, we are in a great position with less inventory remaining to sell for 2023 as compared to 2019 to achieve our guidance despite the 5.7% capacity increase in the second half of the year.

Next, I will give some color on our 2023 full year June guidance. Full year 2023 occupancy is expected to be 100% or higher as we continue to close the gap each quarter on occupancy levels as compared to 2019 which is at the higher end of the historical range. On the pricing front, we expect net per diems to be up 5.5% to 6.5% for the full year 2023 and compared to a strong 2019, which is 2.5 points higher than March guidance based on the acceleration of booking trends we saw during the second quarter. We increased our guidance for the second half of 2023 by over 2.5 points, substantially all of the second half improvement in net per diems is driven by passenger ticket revenue on both sides of the Atlantic. We do see a continuation of strong onboard revenue trends we have been experiencing, which were included in our previous guidance.

Now turning to costs. Off the base of our industry-leading cost structure, adjusted cruise costs without fuel per available lower berth day or ALBD, for the full year 2023 versus 2019 are now expected to be up 10% to 11%. This is 1.5 points higher than our March guidance. The change was driven by 3 factors: first, increases in various incentive compensation programs reflecting the expected improvement in the company's current and long-term performance consistent with June guidance and the SEA Change program are worth 0.5 point; second, further investments in advertising were 0.2 point, which we believe will benefit 2024 by multiple times the investment; and third, a slower-than-expected ramp down in inflationary pressures than previously anticipated, particularly in the area of port costs, freight, crew travel due to air cost and crew compensation collectively worth 0.7 point.

While we are disappointed by the slower ramp down in inflation than previously anticipated, our 2.5-point increase in net per diem guidance far outweighs our cost guidance increase, improving margins and the bottom line. There is no doubt inflation has been a significant factor driving costs higher in 2023 versus 2019. However, let's not forget, we are talking about 4 years of inflation and our teams have managed the situation well, mitigating much of the inflationary impact. In fact, crew costs per available lower berth day in our June guidance are up less than 2% versus 2019 despite significant increases in airfares. This is a testament to the ingenuity and creativity of our teams as well as the benefits of our scale around the globe.

The details of depreciation and amortization, interest expense and fuel expense can be found in the earnings press release we issued earlier this morning in the section titled guidance, so I will not take the time to walk you through the numbers. However, I would like to point out that the increased confidence in our future drove us to use a portion of our liquidity to prepay $1.4 billion of variable rate debt mostly with 2023 and 2024 maturities, which combined with other factors, will reduce our interest expense for the year by over $80 million and leave us with approximately 80% of our debt having fixed interest rates protecting us from rising rates.

Putting all of these factors together, we expect $4.1 billion to $4.25 billion of adjusted EBITDA for the full year 2023, which is above the high end of the previous guidance. We expect to reach another milestone in the third quarter 2023 as we return to profitability with adjusted EPS expected to be in the range of $0.70 to $0.77 per share. And now I will finish up describing the impact of our SEA Change program on our financial position. As I said last quarter, I feel great as I report that we are beyond the peak of our total debt. Total debt peaked at over $35 billion in the first quarter of 2023 when we drew on the export credit for P&O Cruises Arvia at the time of delivery. We believe with over $7 billion of liquidity, our improving EBITDA and our return to profitability in the second half of 2023, we are very well positioned to pay down debt maturities for the foreseeable future. With the debt prepayments announced in today's earnings release, we now expect our total debt at year-end to be below $33 billion.

Now looking beyond 2023 using the SEA Change program targets as our guide. We expect cash flow from operations will average over $5 billion per year during the next 3 years, 2024 through 2026 and with optimized non-new build capital commitments and the lowest new build order book in decades, annual capex, net of the $3 billion of export credits will average less than $2 billion per year during the next 3 years. This will result in an average of over $3 billion in annual adjusted free cash flow to reduce debt, driving more than $8 billion in total debt reduction through 2026, inclusive of the $3 billion of export credit financing drawn during the period and over $10 billion of debt reduction from the $35 billion peak in first quarter 2023.

At the end of 2026, with a significantly lower level of debt and a 50% increase in adjusted EBITDA per ALBD, we are expecting to approach investment-grade leverage metrics. Our SEA Change program from debt reduction alone will transfer over $10 billion of enterprise value from debt holders to shareholders, which represents approximately $8 per share. On top of that, it will also deliver improved operating metrics and an adjusted ROIC of 12%, representing the highest level of ROIC in almost 2 decades. Before I turn the call over to the operator, let me remind you to visit our website for our second quarter earnings press release and presentation.

Now operator, let's open the call for questions."
"3","David Bernstein","Chief Financial Officer & Chief Accounting Officer at Carnival Co. &","[Operator Instructions] Our first question comes from Robin Farley with UBS. Please proceed."
"4","Robin Farley","Analyst at UBS Group","[Indecipherable]"
"5","Josh Weinstein","President, Chief Executive Officer & Chief Climate Officer at Carnival Co. &","Robin, can you hear me?"
"6","Robin Farley","Analyst at UBS Group","Yes."
"7","Josh Weinstein","President, Chief Executive Officer & Chief Climate Officer at Carnival Co. &","It's a little hard to hear your question. You're coming in and out. Sorry."
"8","Robin Farley","Analyst at UBS Group","Is this -- hopefully this is a little bit better?"
"9","Josh Weinstein","President, Chief Executive Officer & Chief Climate Officer at Carnival Co. &","Yes. Thanks."
"10","Robin Farley","Analyst at UBS Group","Great. So I wanted to ask a question about this 3-year guidance. But first, just a quick clarification on the comments about 2024 bookings. In the release you mentioned, it's ahead of volume and you say strong prices. Is it fair to assume that strong means that '24 price on the books is up above '23 price? I just want to clarify that strong means up year-over-year, just that briefly. And then on your 3-year targets, just thinking about what is kind of implied yield growth to get there. It seems like -- and I haven't been able to do the full math, just given the time constraints, but it looks like at least 7 points of yield growth between '23 and '26 would just come from the occupancy gap closing, maybe even kind of 7 to 10 points based on the comments today. And can you sort of walk us through what you're expecting in terms of price increase or per diem increase in that period kind of implied in your EBITDA guidance for '26."
