"","speaker","title","msg"
"1","Operator",NA,"Greetings and welcome to the CME Group Second Quarter 2023 Earnings Conference Call. [Operator Instructions]

It's my pleasure to turn the conference over to Adam Minick. Please go ahead."
"2","Adam Minick","Senior Director, Investor Relations at CME Group","Good morning. I hope you're all doing well today. We will be discussing CME Group's second quarter 2023 financial results. I'll start with the Safe Harbor language, then I'll turn it over to Terry.

Statements made on this call and in the other reference documents on our website that are not historical facts are forward-looking statements. These statements are not guarantees of future performance. They involve risks, uncertainties and assumptions that are difficult to predict. Therefore, actual outcomes and results may differ materially from what is expressed or implied in any statements. Detailed information about factors that may affect our performance can be found in the filings with the SEC, which are on our website.

Lastly, on the final page of the earnings release, you will see a reconciliation between GAAP and non-GAAP measures.

With that, I'll turn the call over to Terry."
"3","Terrence A. Duffy","Chairman and Chief Executive Officer at CME Group","Thank you, Adam; and thank you all for joining us this morning. As Adam said, we released our executive commentary earlier today, which provides details on the second quarter of 2023. I will make a few brief comments on the quarter and current outlook, and Lynne will summarize our financial results. In addition to Lynne, we have other members of our management team present to answer questions after the prepared remarks.

As we mentioned last quarter, 2023 is setting up to be an extremely favorable backdrop for risk management. The continued geopolitical uncertainty, and the increasing cost of capital for businesses, are just a couple of the things that have helped us deliver our financial results for the quarter. The benefit of CME Group's diverse product portfolio, spanning six asset classes was on display. ADV across our Commodities asset classes increased 20%, with 34% growth in Agricultural products, 27% growth in Metals and 9% in Energy. Interest rates, average daily volume of 11.3 million was up 6% for the quarter and is up 11% compared with the first half of 2022.

Despite a substantial decline in equity market volatility, our Equity class delivered average daily volume of 6.2 million contracts during Q2. Our non-US ADV was 6.3 million contracts for the quarter, including double-digit year-over-year growth in Ags, Metals and Energy. Options, again, played a critical role in Q2, with ADV growth of 20% to 4.7 million contracts including the highest quarterly Agricultural options ADV on record, up 32% from Q2 last year. Our product innovation in this area has driven strong growth with new participants and more product choice to more precisely match risk, as clients continue to look for ways to protect their portfolios in these uncertain times.

As it relates to our rates market, expectations of short-term rate changes up or down, and a divergent economic data, continue to drive risk management. As we saw with the recent resolution of the debt ceiling, the Treasury bill issuance increased dramatically. Over time, we expect that more coupon issuance and ongoing debt financing will contribute to greater hedging needs for years to come.

On the Commodities side, exports are increasing the demand for risk management using our benchmark agriculture and energy products. With this favorable backdrop, we will continue to focus on opportunities to accelerate growth, including our recent announcement with DTCC to increase cross-margining opportunities for the Treasury markets. Additionally, our ongoing focus on product innovation and data services continues to enhance trading opportunities for our clients. We believe the strong underlying environment combined with our strategic execution across growth initiatives positions us for accelerated growth in coming years.

With that, I'll turn the call over to Lynne for the second quarter financial results."
"4","Lynne Fitzpatrick","Chief Financial Officer at CME Group","Thanks, Terry. During the quarter, CME Group generated $1.4 billion in revenue, up about 10% compared with a strong second quarter last year. Clearing and transaction fees grew over 9%, while market data revenue increased 8% versus Q2 2022.

Expenses on an adjusted basis were $452 million for the quarter and flat versus the first quarter at $374 million, excluding license fees. This quarter, our investment in our cloud migration was approximately $15 million. Our adjusted operating margin for the quarter expanded to 66.8%, up over 250 basis points compared to the same period last year.

CME Group had an adjusted effective tax rate of 23.3%, which resulted in adjusted net income of $836 million, driving diluted earnings per share of $2.30, both up 17% from the second quarter last year. In addition to our expanding margins, the strength of our operating model was evident this quarter as we delivered an increase of approximately $120 million in both revenue and adjusted net income compared to last year.

Capital expenditures were approximately $22 million and CME Group paid dividends during the quarter of $400 million. Our ending cash balance was approximately $2 billion.

As you can see with the current results, the entire team at CME Group is focused on growing the business. We have delivered double-digit adjusted earnings growth in each of the last eight quarters. Although it is challenging to predict volumes or market conditions over the short-term, wen you look at the last five, seven or 10-year period, we have grown our earnings by a compound annual growth rate of 10% to 12% per year despite multiple periods of zero interest rate policy and the impacts of the pandemic on the global economy.

As Terry mentioned, we are in a favorable environment for risk management and we're taking a number of actions designed to accelerate our growth going forward through customer expansion, new product and service innovation and enhancing capital efficiencies. Given this, our goal as a management team is to deliver growth in the coming decade above these historical averages.

Terry, I'll turn the call back to you."
"5","Terrence A. Duffy","Chairman and Chief Executive Officer at CME Group","Thank you, Lynne. We are very pleased with the continued strong financial performance of the Company.

Before I open the call for questions I'd like to ask Tim McCourt and Derek Sammann to comment briefly on the recent trends that we are seeing in short-dated options products. And I'll go to Tim first. Tim?"
"6","Tim McCourt","Senior Managing Director, Global Head of Financial and OTC Products at CME Group","Thanks, Terry. We are pleased with the performance of our equity options on futures, which year-to-date drove 1.3 million contracts per day. Short-dated options, including zero days to expiry or zero DTE options remain a strong driver of our multi-year growth. Volume in our same day expiring options is up 33% from last year and up 220% since 2021, and now make up 27% of our equity options volume.

It is important to also note, we are seeing volume and open interest growing across the entire maturity curve. Year-to-date equity options are up 6% compared to a record year in 2022 with particular strength in Nasdaq options and Russell 2000 options which are both up double-digits. This strong growth story further demonstrates the value customers continue to derive from trading products on the most important equity indices at CME Group. And while short-dated options have been largely an equities story to-date, we're beginning to see expansion to other parts of the portfolio, which Derek will speak to now."
"7","Derek Sammann","Senior Managing Director, Global Head of Commodities, Options & International Markets at CME Group","Thank you, Tim. As we've discussed in recent quarters, options have become a larger part of our global customers' risk management and trading strategies. Year-to-date, average daily volume in our Options franchise across all asset classes is up 26% driven by Interest Rates, Metals and Equities, and our non-US options business is up 33% through June. Within this larger growth story, we have seen growing demand for weekly options expirations across all asset classes, with weekly options volume up 21% year-to-date and growing to 26% of total options trading.

In addition to equities, commodities traders have similarly embraced shorter-dated expirations, which allow our global customers to hedge specific event risks, such as crop reports and OPEC meetings. Agricultural weekly options were up 168% in the second quarter, which contributed to a record quarter for agricultural products overall. In Energy, our WTI weekly options grew 126% versus second quarter last year, while our gold weekly options were up 33% year-over-year. The strength of our Options franchise allows CME Group to uniquely deliver significant capital and operational efficiencies and meets our customers' need for short-dated options to help them most effectively manage risk across their entire portfolio.

And with that, we can now open the call for questions."
"8","Operator",NA,"Thank you. [Operator Instructions] Our first question comes from the line of Benjamin Budish with Barclays. Please go ahead, sir."
"9","Benjamin Budish","Analyst at Barclays","Hi there. Thanks so much for taking the question. I wanted to go back to a comment that you made, Lynne, in your prepared remarks just about sort of positioning the business to kind of grow faster than the historical average over the next decade. If you could maybe unpack that a little bit, what are sort of like the key elements that you see, is it sort of a global increase in just need to manage risk, is it more customers, is it sort of increasing RPC, more volatility? How do you kind of think about what that looks like over the next decade as you indicated?"
"10","Lynne Fitzpatrick","Chief Financial Officer at CME Group","Sure, I'll start and a number of my colleagues will want to jump in here. I think the growth story is one that we've been talking about for a while, a number of the levers that we look at is that new customer expansion, is that international growth, new product innovation has been certainly a big focus, looking at the OTC alternative products, as well as looking at capital efficiencies.

So, I don't know, Julie, if you want to comment on a few of those initiatives that are underway."
