"","speaker","title","msg"
"1","Operator",NA,"Greetings and welcome to the Cognizant Second Quarter 2023 Earnings Conference Call. [Operator Instructions].

It is now my pleasure to introduce your host, Tyler Scott, Vice President of Investor Relations. Please go ahead."
"2","Tyler Scott","Vice President of Investor Relations at Cognizant Technology Solutions","Thank you, operator, and good afternoon, everyone. By now you should have received a copy of the earnings release and the investor supplement for the company's second quarter 2023 results. If you have not copies are available on our website cognizant.com. The speakers we have on todays call are Ravi Kumar, Chief Executive Officer; and Jan Siegmund, Chief Financial Officer.

Before we begin, I would like to remind you that some of the comments made on today's call and some of the responses to your questions may contain forward-looking statements. These statements are subject to the risks and uncertainties as described in the company's earnings release and other filings with the SEC.

Additionally, during our call today, we will reference certain non-GAAP financial measures that we believe provide useful information for our investors. Reconciliations of non-GAAP financial measures where appropriate to the corresponding GAAP measures can be found in the company's earnings release and other filings with the SEC.

With that, I'd like to now turn the call over to Ravi. Please go ahead."
"3","Ravi Kumar Singisetti","CEO & Director at Cognizant Technology Solutions","Thank you, Tyler. Good afternoon, everyone. I would like to discuss four topics with you today; our second quarter results, the demand environment, our comprehensive commitment to Generative AI, and an update on our long term priorities.

We have made continued progress during the quarter in what remains an uncertain global macroeconomic environment. Q2 came in at $4.9 billion at the high end of our guidance range. We were pleased to return to sequential revenue growth of more than 1%. Year-over-year Q2 revenue showed a modest decline of 40 basis points or essentially flat in constant currency. Our adjusted operating margin was 14.2% and adjusted EPS was $1.10. We recorded another quarter of strong bookings growth, 17% year-over-year. Ending quarter two with record trailing 12 months bookings of $26.4 billion. A book-to-bill of 1.4 times, approximately 30% of our in quarter Q2 bookings were large deals and five of these deals exceeded $100 million each.

Our bookings continued to be a balanced mix of renewals, expansions and new opportunities. The leadership team and I remain intensely focused on our talent. So I'm glad to see the continued reduction in our attrition with trailing 12 months voluntary attrition for our tech services business declining to 19.9%. down three percentage points sequentially and 11 percentage points year-over-year. Well, Jan, recover our performance at the business segment level, I want to offer a quick word about financial services. Our quarterly year-over-year revenue decline in this segment reflects the soft market and continuing weakness in discretionary spending and responds, we are transitioning more existing work in this sector towards managed services as many clients remain focused on driving cost takeout, vendor consolidation and productivity initiatives.

We're also stepping up our engagement with Fintech companies, which we believe offer a great opportunity for digital transformation and we are strengthening our capabilities with the goal of capturing discretionary spending on transformation work when it returns. For example, we continue to support the modernization of S&P Global's configure price quote system to enable end-to-end disposition in what we believe is the world's largest CPQ implementation on sales force and we are collaborating with Max Life Insurance to launch an innovation and development center in Chennai to help accelerate the digital transformation efforts. With our flexible client centric operating model, we can assist clients across industry sectors, takeout costs, consolidate their vendors and achieve both technology and operational efficiencies, which provide opportunities for large deals. We can also help them develop digital platforms to deliver richer and more personalized experiences to their customers. What's more, we can engineer technology into their products and services. As an example, we recently extended our partnership with Gilead Sciences. The segment includes the renewal and expansion of Cognizant Services for a total expected value of $800 million over the next five years. We'll manage Gilead's Global IT Infrastructure while leading digital transformation initiatives designed to enhance that overall client experience and enable faster time to market for the products. We will apply the [Technical Issues] AI and intelligent automation to help improve Gilead's customer service experience and assistant driving greater manufacturing efficiencies. To support clients transformational needs we have established a distinctive position across industries, using a platform centric approach designed to speed client's consumption of technology. You've seen the Emphasis we have given to this platform approach. For example, Cognizant TriZetto in healthcare share investigate -- investigator platform in life sciences, asset performance excellence and smart manufacturing, and [Indecipherable] automotive. Last quarter, we launched two new platforms with applications across industries Neuro IT operations, which enables AI led autonomous outpatients and Cognizant Skygrade designed to help clients maximize the full potential of cloud.

Turning to AI in quarter two, we expanded our platform portfolio further with Cognizant Neuro AI, it's designed to speed the adoption of Generative AI and harness its value in a flexible, secure, scalable and responsible way. With new AI, we are helping clients advance from identifying company specific use cases to operationalizing AI. I should point out that Generative AI is a natural evolution of our work across Cognitive AI Enterprise Applications and Data Analytics Services. To extract value from Gen AI, the data must be curated, trained, modernized and made production ready. You also need a deep understanding of client's data estates, data architectures, data usage patterns and business applications of the data. Our current approach to leverage third party foundational models and enhance them with our platforms and IP and then fine tune the models for our clients.

Today we have more than 100 active client engagements in various stages with a focus on Cognitive and Generative AI as well as hundreds more projects using AI services within the context of delivery. We are designing generative AI offerings for industry specific solutions, cross industry use cases and productivity enablement on the teams like transforming core processes, improving the customer and employee experience, product innovation, software and coding and knowledge management to name a few. For example, one of the ways largest health-care product companies we are helping to speed-up their research process by Gen AI to auto scientific content. We develop the workbench that uses GPD models to summarize and generate content from unstructured and structured data such as laboratory information management systems, with the aim of automating the generation of regulatory content.

For a top 20 property and casualty insurance, we have helped frame its Gen AIs strategy and conduct real world -- real-world tests based on company data. For example, we built a Gen AI based digital virtual assistant that analyze loss complex claims submissions but referencing the insurance claim data, the virtual assistant was able to guide a human claims handler to gather nearly 100% of missing claims information.

This simple application is expected to produce millions of dollars in savings through improved operational efficiency and reduce claim costs. In addition, we signed a new multi-year agreement with Nuance Communications and Microsoft company to help scale the resources for Nuances Dragon Ambient Experience operations. This solutions is at the fourth front of conversational AI and Ambient Clinical Intelligence.

Let's turn to be essential role partners play in delivering our AI capabilities. We expanded our alliance with -- with Google Cloud to help enterprise clients create, migrate and modernize their AI journeys and also clients innovative industry solutions founded on the tenant of responsible AI. Our investments in developing Gen AI capabilities include launching the Cognizant Google Cloud AI University, a program designed to train 25,000 Cognizant professionals on Google Cloud AI technologies, will offer this program to our clients as well.

And earlier today, we announced that as a part of an expanded partnership with Google will be building on Google Cloud Sensitive AI Technology with Cognizant AI domain expertise to create a health large language model. This LLM is designed to simplify and improve the accuracy of complex healthcare administrative task and strengthened business outcomes for healthcare organizations. We've also expanded our relationship with Microsoft to deliver industry solutions and enable AI led transformation. This includes expanding the focus of our Microsoft Center of Excellence in AI and other Next Gen technologies to drive competencies across architecture technology leadership, value delivery tools and enablement. Cognizant and ServiceNow have announced a strategic partnership to accelerate the adoption of AI driven automation across industries. Our industry expertise and solutions integrated with ServiceNow's intelligent platform for end-to-end digital transformation will bring to market offerings that are designed to solve complex problems, automate operations and enhance employee as well as end-customer experiences through the use of AI.

Now a quick update on our three long-term performance objectives, becoming an employer of choice in our industry, accelerating revenue growth and enhancing operational discipline.

Let's start with the employer of choice. During the Q4 call, I talked about how tightly linked the client and employee experiences are. Given Cognizant the opportunity to create self-reinforcing cycles highly engaged talent with a passion for clients and the growth mindset attract the best clients. These clients in turn attract more of the best people keeping the flywheel turning faster.

Now two quarters later we are seeing the early benefits of this interdependent relationship between employees and clients. Our trailing 12 month voluntary attrition has been trending downwards for the last four quarters and just completed annual people engagements survey showed meaningfully improved engagement results. Among the many questions survey poses to associates we saw multipoint increases in three areas strongly correlated to engagement, would you recommend Cognizant as a great place to work, are you excited about Cognizant's future, and do you plan to be working at Cognizant two years from now.

On the client side, data from our project level clients feedback process through the first half of this year shows solid improvement over the previous period scores as well as best Net Promoter Scores since launching this program in 2021. I see us making real progress on creating a self-reinforcing cycle. From day one my commitment to our associates has been to cultivate a diverse organization that reflects the world which we operate. Our top priority has been to increase the diverse talent including at leadership levels. I'm delighted to say that in the past couple of months, we have appointed seven room into fill strategic roles of the Senior Vice President level. We are resolved to help all our associates bring their best selves to work and that means focusing on all aspects of the Cognizant experience. For example, we develop talent early through educational partnerships and apprenticeships, we invest heavily in upskilling and re-skilling current employees through our award-winning leadership and development ecosystem. We also employ innovative train to higher initiatives through the Cognizant skills accelerator aimed at people seeking to kick started technology carrier in the US and the Cognizant return -- Returnship program for technology professionals looking to restart their careers.

Our next priority is to accelerate revenue growth, which is the absolute focus of the entire management team, we are differentiating Cognizant and large deal opportunities by scaling our capabilities for cost takeout and optimization and focusing more on managed services and we continue to see a strong pipeline of opportunities to the cost and efficiency side. Given the groundswell of interest in Generative AI, the number of projects we have underway focused on Cognitive and Generative AI, we see this technology is generating a new wave of opportunities for us. Accordingly, we expect to invest approximately one billion dollars in our Generative AI capabilities over the next three years.

Our third long term priorities is to enhance our operational discipline, we are working to fortify our day-to day-out business execution and optimized cost of delivery by driving higher productivity powered by advances in tooling platforms and Automation Technologies and by improving our operational lever in areas like billable utilization. Our NextGen program, which we announced last quarter is on track, we are making progress on removing structural costs as we continue to simplify our operating model and realign our office space for the future of hybrid work.

On our last call, I talked about our plan to redistribute some of our development centers from India's largest cities to smaller cities. I am pleased to announce the first phase of the shift with the planned opening of two new centers, one in Bhubaneswar and the other in Indore, India, which offer great talent pools. Keep in mind the next generation -- NextGen program overriding aim is to generate savings to invest in our people and our growth. Jan will provide additional details in his remarks on the NextGen program.

In closing, I'm now seven months into my tenure as a CEO. I have met with more than 200 clients, dozens of our partners and through in-person and virtual town halls with most of our workforce. I've also made a point to continuously soliciting ideas and perspectives from our top 1,000 traders on strategic topics of importance to our future. Further company wide grassroots innovation movement launched earlier this year, BlueBolt, has led to such a surge of fresh ideas, with more than 32,000 generated so far. That it is now serving as our company's innovation engine. I'm convinced Cognizant Park to winning in the marketplace runs through fully embracing our heritage and DNA. We are leaning into our heritage at the intersection of industry and technology, our flexible client-centric operating model and distributed delivery network that brings together global and local capabilities.

All-in all, we have been making good progress, but recognize how much more work lies ahead. Continuing to build on our growth imperatives of the goal on which everyone in the company is focused. I especially want to express my heartfelt gratitude to all our associates for the extraordinary work they do each day.

Before I turn the call to Jan, I want to comment on its plans for the future. Jan, let me and the Board know of his intention to retire from Cognizant early next year. Jan has been a wonderful business partner to me and over the past three years he has played an instrumental role in designing and executing our strategic financial and operation operating plan, while developing superb talent with our finance organization. As we begin the search for the company's next CFO, I'm grateful for Jan's willingness to work closely with this eventual successor to ensure a smooth transition.

With that, I'll turn the call over to him to provide additional details on the quarter. Thank you."
"4","Jan Siegmund","CFO at Cognizant Technology Solutions","Thank you, Ravi for the kind words. I am proud of what we've accomplished over the last three years, including our work together over the last seven months. I'm looking forward to continuing our partnership in the months ahead while the search for my successor is underway. Until then, it's business as usual. So with that, let's turn now to our second quarter results.

We delivered second quarter revenue at the high end of our guidance range and adjusted operating margin above expectations. We were pleased to deliver another strong quarter of bookings growth driven by larger and longer duration deals. Our pipeline for larger bookings also remains strong and it's up meaningfully year-over-year. Additionally, our NextGen program is on track and yielding early savings through our efforts to structurally reduce our cost base and fund investments for growth.

Moving on to the details of the quarter. Second quarter revenue was $4.9 billion, representing an increase of over 1% sequentially and a decline of 40 basis points year-over-year while roughly flat in constant currency. Year-over-year growth includes approximately 130 basis points of contribution from our recent acquisitions. Bookings growth in the quarter was again driven by a mix shift towards larger deals which had in-turn led to longer average duration of our bookings. We are pleased with our bookings performance in the quarter and our focus on building momentum in the quarters ahead. Consistent with the first quarter, we have continued to experience softness in smaller shorter duration contracts, which we attribute to a weaker discretionary spending. The translation of bookings to revenue growth is impacted by this change in deal mix as duration has increased the conversion to revenue will be longer, but helps to improve our forward visibility.

Moving on to segment results for the second quarter where all growth rates provided will be year-over-year in constant currency. Within Financial Services revenues declined 5% which reflects a softer overall demand environment and weak discretionary spending as we navigate this environment we have continued to strengthen our leadership team and sharpen our client engagement. While our pipeline for work-related to cost takeout and productivity led initiatives remains healthy and meaningfully higher than prior year period. We expect the uncertainties of the macro-environment to continue to impact the pace of client spending over the next several quarters.

Health Sciences revenue grew 2%, growth was again driven by strong demand from health-care clients for our integrated software solutions, which increased mid teens year-over-year. While the Life Sciences was down year-over-year and impacted by softer discretionary spending we experienced strong sequential growth driven by increased volumes with existing customers. Products and Resources revenue grew 4% reflecting the benefit from recently completed acquisitions, ramp of recent wins and demand from automotive and travel and hospitality clients. This was partially offset by softer discretionary spending across industries. Communications, Media and Technology revenue declined 40 basis points, reflecting softness among both technology and our communications and media clients. We expect growth to improve in Q3 as recent new bookings have already begun to ramp.

Continuing with year-over-year revenue growth in constant currency from a geographic perspective in Q2, North America revenue declined 2% reflecting softness within our financial services and CMT portfolio. This was partially offset by growth in Health Sciences and Products and Resources. Our growth -- our global growth markets or GGM, which includes all revenue outside North America grew approximately 5%. Growth was led by Europe, which grew 6% and included strong growth within CMT and Products and Resources, particularly within automotive.

Now moving on to margins. During the quarter, we incurred approximately $117 million cost related to our previously announced NextGen program. This negatively impacted our GAAP operating margin by approximately 240 basis points. Excluding this impact, adjusted operating margin was 14.2%. Operating margin included the negative impact from an increase in compensation cost, primarily the result of our two merit cycles since October 2022. This has impacted both gross margin and SG&A. This was partially offset by tailwinds from the depreciation of the Indian rupee and higher utilization. It also included an approximate 60 basis points benefit from an insurance recovery related to our previously disclosed 2020 cyber incident.

Our GAAP tax rate in the quarter was 21.1%, adjusted tax rate in the quarter was 21.7%, our effective tax rate included a discrete benefit from a settlement related to US Sate Income Taxes. Q2 diluted GAAP EPS was $0.91 and adjusted EPS was a $1.10.

Now turning to the balance sheet. We ended the quarter with cash and short-term investments of $2.1 billion or net cash of $1.4 billion. DSO of 75 days increased two days sequentially and one day year-over-year. Free cash flow in Q2 was a negative $32 million which reflects the previously disclosed impact from the change in the US law that we discussed earlier this year. This change negatively impacted Q2 free cash flow by approximately $420 million, which included tax payments of approximately $300 million related to 2022. This impact was largely in-line with our expectations and we continue to expect free cash flow to represent approximately 90% of net income this year.

During the quarter, we repurchased about three million shares for $200 million under our share repurchase program and returned $148 million to shareholders through our regular dividend. Year-to-date, we have repurchased approximately six million shares for about $400 million. At quarter end we had $2.4 billion remaining under our share repurchase authorization.

Turning to our forward outlook. For the third quarter, we expect revenue in the range of $4.89 billion to $4.94 billion representing a year-over-year increase of 0.6% to 1.6% or a decline of 50 basis points to an increase of 50 basis points in current constant currency. Our guidance assumes currency will have a positive impact of 110 basis points as well as an inorganic contribution of approximately 100 basis points. For the full year, we are reiterating our constant currency revenue growth guidance. Our range is slightly wider than our historical practice reflecting -- reflecting a heightened level of uncertainty and the recent pace of client decision-making.

But 2023, we expect revenue of $19.2 billion to $19.6 billion representing a decline of 0.9% to a growth of 1.1%, where a decline of 1% to growth of 1% in constant currency. Inorganic contribution is still expected to be approximately 100 basis points. The midpoint of our guidance suggests a softer fourth quarter relative to historic norms as we anticipate softer demand and more volatile discretionary spending patterns driven by macroeconomic uncertainty to continue throughout the end of the year.

As I mentioned earlier, the NextGen program is on track and our assumptions for cost savings are unchanged. However, we now expect to incur $350 million in total charges versus $400 million previously. This reflects our assumption for lower employee separation costs as a result of voluntary attrition trend. We now expect to incur approximately $250 million of NextGen costs in 2023, including approximately $100 million relating to employee severance and an unchanged $150 million related to net consolidation of office space.

Moving on to adjusted operating margin, our guidance is unchanged at 14.2% to 14.7%. Our margin outlook is impacted by several factors, but primarily the negative impact from recent merit cycles. It also reflects our assumption for NextGen savings and growth investments, including the dilutive early impact associate with large deal. We anticipate 2023 interest income of approximately $115 million versus $85 million previously reflecting the higher interest rate environment. Adjusted tax-rate is expected to be in the range of 23% to 24% versus 24% to 26% previously due to several discrete items in the first half of the year. In 2023, we continue to expect to return approximately $1.4 billion to shareholders through share repurchases and our regular quarterly dividend. We continue to expect full year average shares outstanding of approximately $506 million. This leads to our full year adjusted earnings per share guidance of $4.25 to $4.48 versus $4.11 to $4.34 cents previously.

With that, we will open the call for your questions."
"5","Operator",NA,"Thank you. We will now be conducting a question-and-answer session. [Operator Instructions].

Your first question comes from Ashwin Shirvaikar with Citi. Please go ahead."
"6","Ashwin Vassant Shirvaikar","MD & Lead Analyst at Cognizant Technology Solutions","Thank you, and good execution in the quarter. Think of my first question is just with regards to the bookings, if you can provide maybe a little bit more color with -- to the -- with the method of booking, instead of -- of discussion with -- with client and maybe even [Indecipherable] versus ATV wing that [Indecipherable] can maybe talk about. Because I think the bigger issue here is not the bookings, but the conversions."
"7","Ravi Kumar Singisetti","CEO & Director at Cognizant Technology Solutions","Thank you, Ashwin, this is Ravi here. We had another good quarter of bookings growth 17% worldwide. We are excited about -- I've spoken about this before, the two swim lanes on large deals, one is related to transformation, one is related to efficiencies, productivity, cost takeout. I think the -- It's fair to say that we are at this point of time the deals we are seeing in the market are over indexed to efficiency, cost takeout, consolidation kind of deals. We are excited about the fact that we are starting to win them and translate that into -- into revenues for the future and you also -- you would -- you would understand that these deals come with a gestation period which is longer than the smaller deals or the transformational deals because of the nature of them. We had five deals, more than $100 million TCV in the bookings. Two of them were renewals, one of them had renewals plus expansion, two of them are net-new so very healthy mix If I may of our bookings. The interesting part of doing large deals is, you build that rhythm so that even if the period is long enough as you keep building the rhythm, it will start to contribute to the next year in the next year. I wish I had a big pipe the year before, so that -- that would have contributed this year. So that's how you see it, I mean, you have to create that rhythm. Financial Services of course is less on small deals. I mean Financial Services and for that matter most of the sectors are muted on -- on discretionary spend on small deals. So that's the color of what we have seen. We continue to be excited about our ability to win, our ability to also build the organizational infrastructure to execute them, including the productivity gains, which we have -- which we have baked into those deals as we -- as we've -- as we factor them to win and execute. Jan, you want to add into gear."
"8","Jan Siegmund","CFO at Cognizant Technology Solutions","Yeah. So Ashwin, to your question of translating of those bookings into revenue. I think intuitively you had already your finger on one of the components of the characteristics of our bookings this quarter and that's basically on average the duration of the deals that we signed up in the quarter has very meaningfully. lengthen basically. So we have been signing up for longer term deals on average with the higher deal value. We actually saw an absolute decline on smaller deals below $5 million in -- in our pipeline and that softness in discretionary spending and smaller type of deals was just up -- offset by the really excellent performance that we had on the larger deal volume and so that led to the 17% overall bookings growth, but with respect to translating into revenue the actual contribution of this bookings volume just to give you an example for the rest of year revenue is actually lower than it was in the comparable quarter. So we really have built a pipeline for longer type of revenue streams in the future, which obviously gives us good comfort into the quality of revenue stream going forward but it also explains why we're not seeing an immediate uptick on our revenues as these bookings will take time to translate into revenues."
"9","Ashwin Vassant Shirvaikar","MD & Lead Analyst at Cognizant Technology Solutions","Thank you. That's very useful. Just second question on margins, pretty solid performance here and the question with regards to why you might not increase -- increase the full year range. I think Jan you answered part of that question in your prepared remarks when you said that there is a ramp cost. I just wanted to make sure, are there other things investments you're making from our R&D perspective perhaps into -- into Gen AI capabilities or things like that, investment in talent, other non-deal related factors, also included in your decision to leave margins unchanged."
"10","Jan Siegmund","CFO at Cognizant Technology Solutions","I think the -- the starting point for the margin discussion is for the rest of the year the one thing that's different compared to prior period is that we won't have an October -- fourth quarter merit cycle in in our -- in this year because as you know we move forward our merit recycle into April. So that's going to be important as you build a quarterly model to consider. Secondly, I use this moment maybe to talk a little bit about the progress we've been making on our NexGen initiative. We have been recording severance cost in the quarter as well as costs related to the restructuring our real-estate portfolio and we're going to start seeing increased impact of the NextGen action relative to our people in the third and fourth quarter, which gives us basically the room to offset some of the pressures that we're seeing, namely some some -- some of expected pressure on the large deal rollout, and letting those larger deals season in and I think the general expectation of given the higher uncertainty in our business environment that will create -- I think could create some kind of unspecified yet to be seen pressures in our portfolio. We do have seen a number of clients kind of reacting to their own economic pressures reaching out to us, so we do see economic environment in which there is pressure and so I think it turns out that I think NextGen is well timed to help us through this, but not it would be too early to -- to celebrate basically full success of that, but what kind of really moving along in the execution of that program gave us confidence to just reaffirmed basically that operating margin outlook."
