"","speaker","title","msg"
"1","Operator",NA,"Thank you for standing by. My name is Sydney, and I'll be your conference operator today. At this time, I would like to welcome everyone to the DuPont's Second Quarter 2023 Earnings Call. [Operator Instructions] Thank you.

Chris Mecray, you may now begin your conference."
"2","Christopher Mecray","Vice President, Investor Relations at DuPont de Nemours","Good morning, and thank you for joining us for DuPont's second quarter 2023 financial results conference call. Joining me today are Ed Breen, Chief Executive Officer; and Lori Koch, Chief Financial Officer.

We have prepared slides to supplement our remarks, which are posted on DuPont's website under the Investor Relations tab, and through the webcast link. Please read the forward-looking statement disclaimer contained in the slides. During this call, we will make forward-looking statements regarding our expectations or predictions about the future. Because these statements are based on current assumptions and factors that involve risks and uncertainties, our actual performance and results may differ materially from our forward-looking statements.

Our Form 10-K as updated by our current and periodic reports includes detailed discussion of principal risks and uncertainties which may cause such differences. Unless otherwise specified, all historical financial measures presented today are on a continuing operations basis and exclude significant items. We will also refer to other non-GAAP measures, a reconciliation to the most directly-comparable GAAP financial measure is included in our press release and presentation materials that's been posted to DuPont's Investor Relations website.

I'll now turn the call over to Ed."
"3","Edward Breen","Executive Chairman and Chief Executive Officer at DuPont de Nemours","Good morning, and thank you for joining our second quarter 2023 financial review. This morning we announced quarterly results with revenue and operating EBITDA better than our previously communicated guidance. This performance reflects our team's ongoing strong execution, while facing continued volume pressure and consumer-driven end-markets, mainly electronics. In the second quarter, organic revenue declined 4% versus the year-ago period despite mid-teens organic declines from the interconnect solutions and semiconductor lines of business within E&I.

We continue to see broad demand streams in industrial end-markets, including water, automotive, aerospace, as well as healthcare, along with continued carryover benefit of pricing actions taken last year to offset inflationary pressure. Notably, operating EBITDA, operating EBITDA margin and adjusted EPS were all up sequentially from the first quarter. After nearly a year along downturn, we also saw a sequential sales lift in interconnect solutions of 7%. We also continue to be proactive in taking additional actions within our control to minimize the impact of volume declines, given near turn slowdown in select end-markets, while also focusing on optimizing cash generation.

Turning to Slide 4, we continue to advance a number of strategic priorities, accretive and value-added capital deployment. Yesterday, we announced completion of the Spectrum acquisition, a leader in critical specialty devices for healthcare end-markets. This acquisition fully aligned with our strategic objectives of increasing top-line growth with customer-driven innovation and expanding our industrial technologies growth pillar, while adding to our current offerings in the high-growth healthcare market.

Spectrum is being integrated into our industrial solutions line of business, where it fits nicely with our existing Liveo franchise. With annual sales of about $500 million, Spectrum together with Liveo and our Tyvek healthcare packaging business, increases our total revenue in healthcare markets to about 10% of our portfolio, with expected growth rates above the company average. Spectrum's year-to-date performance has been solid and we are pleased that operating results are in line with our deal model estimates, which included an estimated upgrading EBITDA margin of approximately 22%. We are excited by Spectrum's complementary fit, and specifically our ability to leverage incremental growth opportunities, including synergies from cross-selling and the complementary accounts, new and faster product development, and deeper design and co-development partnerships with OEMs.

Further on M&A, we continue to make progress with our Delrin business divestiture and our expectation of closing this planned transaction around year end 2023 remains unchanged. There has been good interest in the asset to date.

Regarding share repurchases, we expect we will complete the $3.25 billion accelerated share repurchase transaction launched last November within a month. We also intend to complete our remaining authorization through a new $2 billion ASR to be executed shortly thereafter.

Regarding the water districts settlement that was announced in June jointly with Chemours and Corteva, that settlement comprehensively covers PFAS-related claims of public water systems serving the vast majority of the US population. Our portion of the settlement is about $400 million and we expect final approval in about six months following preliminary approval, which we expect to receive shortly.

Regarding broader capital allocation goals, yesterday's closing of the Spectrum deal and the new $2 billion ASR essentially completes the deployment of excess cash remaining from the M&A divestiture last November. Our current capitalization remains very sound. And as a reminder, we have no significant debt maturities until November 2025. We are comfortable with the net leverage point around 2 times as an equilibrium target going forward.

Before I turn it over to Lori to review our financial performance, let me add that we remain excited about visible growth drivers, enabled by our technical innovation teams and application engineers who are squarely focused on helping customers solve their most complex challenges. To name just a few, strong growth is expected in the semiconductor industry with the ongoing global investment in new fabs. Overall growth of the semiconductor industry is anticipated to be high-single digits over the coming five-year period. We are the leading materials that enable the next-generation of advanced chip manufacturing and packaging, which includes significant technology and support for the emerging channel in AI revolution.

Within water, we continue to drive growth in desalination and wastewater markets and then helping customers achieve their sustainability goals. Finally, our auto adhesives business is well-positioned to continue to capture growth with its product offerings and electric vehicles.

With that, I'll turn it over to Lori."
"4","Lori Koch","Executive Vice President and Chief Financial Officer at DuPont de Nemours","Thanks, Ed, and good morning. Our focus remains on operational excellence and strong execution, and we are pleased to have delivered financial reports, ahead of expectations despite volume pressure in some of our most profitable lines of business and electronics.

Turning to our financial highlights on Slide 5five. Second quarter net sales of $3.1 billion decreased 7% as-reported and 4% on an organic basis versus the year-ago period. Currency results in a 1% headwind from dollar strength against key currencies, most notably the Yuan and Yen. And we also a 2% headwind related to portfolio changes.

Breaking down the 4% organic sales decline, FX percent volume declined, partially offset by a 2% pricing gain, reflecting continued carryover benefit of actions taken last year to offset broad-based inflation. Volume decline primarily reflects continued demand weakness in consumer electronics, coupled with inventory destocking across the channel and some softness, including destocking in North American construction-related market. Lower volume in consumer driven end-market was partially mitigated by continued strength in water, automotive, aerospace, and healthcare markets.

Volume within electronics and construction end-markets during the quarter was down mid-teens versus a year-ago period, while our remaining industrial base businesses were up about 4%. From a regional perspective, Europe sales in the quarter were up 4% on an organic basis, while North America and Asia Pacific were down 3% and 8% respectively versus the year-ago period. China sales were down 14% on an organic basis, driven mainly by electronic demand weakness, but increased sequentially versus the first quarter revenue.

Second quarter operating EBITDA of $738 million decreased 11% versus the year-ago period, driven by lower volumes and the impact of reduced production rates in electronics, as we align inventory with demand. Operating EBITDA margin during the quarter of 23.9% was down 110 basis points versus the year-ago period, driven by volume pressure, reduced production rates and mixed headwinds in high margin semi business. On a sequential basis, operating EBITDA and operating EBITDA margin were up from the first quarter.

Decremental margins for the for the quarter was 40%, excluding the impact of the production headwind related to reduce production rates within electronics, decremental margin was below 20%, enabled by aggressive actions taken year-to-date to reduced discretionary spend. Adjusted EPS in the quarter at $0.85 per share, but down 3% versus last year, which I will detail shortly.

Looking at cash performance, I would first like to highlight that we have made a reporting change effective with today's second quarter results, and are now providing cash flow disclosure separated between continuing and discontinued operations. This change is being made to improve visibility into cash flow generation and cash flow comparison of the ongoing.

On a continuing operations basis, cash flow from operations during the quarter up $400 million, that's capex of $123 million resulted in adjusted free cash flow of $277 million and associated conversion of 73%. This reflects significant improvement versus last year on a comparable basis, driven by lower inventory. Adjusted free cash flow included a benefit of about $80 million in reduced inventory and headwind of about $200 million related interest payment. Optimizing cash flow continues to be a top priority for us. While adjusted free cash flow and conversion improved sequentially, we still have work to do to get to our target level and expect further improvement in working capital metrics by year end.

Turning to Slide 6. Adjusted EPS for the quarter at $0.85 decreased 3% compared to $0.88 in the year-ago period. Lower segment results more than offset below-the-line benefits, including a $0.19 [Phonetic] benefit-related to lower net interest expense and a lower share count. Higher tax rate and exchange losses during the quarter resulted in adjusted EPS headwinds at $0.08 per share. Our tax rate for the quarter was 23.7%, up from 22.6% in the year-ago period, driven primarily by geographic mix of earnings.

Turning to segment results, beginning with E&I on Slide 7. E&I second quarter net sales at $1.3 billion decreased 14% as organic sales declined 12% due to lower-volume along with currency headwinds and unfavorable portfolio impact of 1% each. At the line of business level, volumes for semiconductor technologies decreased 19%, while interconnect solutions volume decreased 18% versus the the year-ago period. The decline in semi tech resulted from a continuation of lower semiconductor fab utilization rate, to weakened market demand as well as inventory destocking across the channel.

Chip fab utilization rate in the second quarter averaged in the low 70s on a percentage basis. The decline in interconnect was driven by continued weak smartphone, PC and tablet demand, along with channel inventory stocking. Our PCB customers in China operate in the second quarter with utilization rates slightly improved from the mid-40s during the first-quarter, which was a cycle now. The PCB market has been in slow down for a year now, and we are beginning to see signs of improvement within our interconnect business, illustrated by first and second quarter sequential growth of about 7%, with further expected sequential growth in the third quarter.

Sales for industrial solutions were flat on an organic basis as pricing and ongoing strength and broad-based industrial markets were offset by lower demand in largely consumer-driven areas, such as advanced printing application and those tied to electronic market, including OLED display. Operating EBITDA for E&I at $349 million was down versus a year-ago period, primarily due to volume decline and lower operating rates, to better align inventory with demand, partially offset by reduced discretionary spend.

Turning to Slide 8. W&P second quarter net sales of $1.5 billion were flat versus last year as organic sales growth of 1% was offset by a 1% currency headwinds. Organic growth of 1% reflects a 5% increase in price resulting from the carryover impact of pricing actions taken last year, mostly offset by a 4% decrease in segment volumes, this declined in shelter solutions. At the line of of business level, organic sales growth was led by water solution, which was up mid-teens. Our continued demand growth for water filtration led by reverse osmosis and [Indecipherable] along with benefits from carryover pricing.

Safety solutions sales were up mid single-digits on an organic basis, driven by carryover pricing and volume strength in Kevlar and Nomex within aerospace and automotive markets, especially for EVs, coupled with Tyvek strength in healthcare. Shelter solutions were down 12% on an organic basis, driven by demand softness in construction market as well as destocking, although we do expect a reduced impact from destocking in the second half. Operating EBITDA for W&P during the quarter was $368 million, up 6%, for operating EBITDA margin of 24.6%, increase of 140 basis points versus the year-ago period. The improvement resulted primarily from net pricing gain and disciplined cost-control, which more than offset volume decline.

Turning to Slide 9, I will close with a few comments on our outlook and guidance for the third quarter and full-year 2023. Regarding the demand environment, we continue to expect fairly steady demand in most of our industrial end-markets within E&I and W&P, although we expect sales moderation in our water business due to lower demand in China.

Within electronics, we saw stabilization and some [Indecipherable] in our interconnect solutions business with 7% sequential improvement in sale0 during the second quarter and we expect mid-single digit sequential growth to follow in the third quarter. We semi markets slightly bottomed during the second quarter, and we assume that net sales in the second half will improve slightly on a sequential basis. And then ongoing consumer electronics demand has been notably in China. We had tempered the rate of second half growth from prior assumption.

We are adjusting our full-year 2023 guidance to account for the slower cadence of recovery in electronics, including our assets to continue to reduce production to align inventory with demand. In addition, our third quarter and full-year guidance now includes the estimated contribution for Spectrum beginning August 1. For the full-year, we now expect net sales to be between $12.45 billion and $12.55 billion, operating EBITDA to be between $2.75 billion and $3.025 billion, and adjusted EPS to be between $3.40 and $3.50 per share. For the third quarter 2023, we expect revenue of approximately $3.15 billion, operating EBITDA of approximately $755 million, and adjusted EPS of approximately $0.84 per share.

With that, we are pleased to take your questions. And let me turn it back to the operator to open the Q&A."
"5","Operator",NA,"[Operator Instructions] Our first question comes from the line of John McNulty from BMO Capital Markets. Your line is open."
"6","Bhavesh Lodaya","Analyst at BMO Capital Markets","Hi, good afternoon. This is Bhavesh Lodaya for John. Maybe on the water business -- the water business tends to be a bit less cyclical compared to your other businesses. Can you add some color on what is driving the softness in China? What changed there since maybe last quarter and what kind of recover do you expect maybe over the next couple of quarters?"
"7","Edward Breen","Executive Chairman and Chief Executive Officer at DuPont de Nemours","Yeah, we think on the next couple of quarters are just a little bit lighter because in China its really slowness in the industrial economy in China right now, which obviously should rebound here at some point, but we're expecting that to be a little softer in the second half of the year that I will -- that's growth we've had in our businesses of double-digit growth. So we're just saying it's going to moderate some, still will -- just slower growth on the second-half of the year. But the healthcare [Phonetic] business has done, quarter in-quarter out it growth at a pretty nice clip, and I expect as China improve, that growth rate will pick up also. Remember, 70% of that business is renewable business that's steady. So, I think a couple of quarters, maybe a little later on China is what we're seeing."
"8","Bhavesh Lodaya","Analyst at BMO Capital Markets","Got it. And then in electronics, great to see the inflection coming in the interconnect solutions. We have also seen some positive MSI data points. What are you hearing in semi's technologies? Like, when do you expect an inflection there? And maybe any color on your order books for electronics that you are seeing this quarter so far?"
"9","Edward Breen","Executive Chairman and Chief Executive Officer at DuPont de Nemours","Yeah. So just probably, just back to the ICS1, that started to decline and destocking started about the middle of 2022, so it's almost been kind of 10 months that been in a downturn in the first-quarter, it was [Technical Issues] and then we did see 7% sequential pickup and we're expecting mid-single-digit pickup by the forecast we had for the third quarter. So obviously that's starting to come up nicely off the bottom. The semi one is the one we tempered a little more in the second half. We look like we hit the bottom in the second quarter. We are not gauging much upturn in the third quarter, instead we were assuming we have a duller quarter kind of near the bottom or just very slightly up from that. And then we think somewhere the inflection point is more in the fourth quarter, but it's hard to tell what month we actually see it. So we didn't pick it up a little bit the forecast in the fourth quarter, but not significantly. So that's the thing we kind of tapped down when we gave you the guidance here today, but I think we've seen the bottom in semi and we're seeing that lift begin and ICF. Now remember, ICF is still negative, it has the ways to come back still, but it was down over 20% and we're starting to ride it back, but will still be negative in the third and fourth quarter on a year-over-year compare."
"10","Bhavesh Lodaya","Analyst at BMO Capital Markets","Appreciate the time. Thank you."
