"","speaker","title","msg"
"1","Operator",NA,"Ladies and gentlemen, thank you for standing by, and welcome to the Eaton Second Quarter 2023 Conference Call. [Operator Instructions]

I would now like to turn the conference over to your host, Yan Jin, Senior Vice President of Investor Relations. Please go ahead."
"2","Yan Jin","Senior Vice President of Investor Relations at Eaton","Hey, good morning, guys. Thank you all for joining us for today's Eaton's second quarter earnings call. With me today are Craig Arnold, our Chairman and CEO; and Tom Okray, Executive Vice President and Chief Financial Officer. Our agenda today includes the opening remarks by Craig, then he will turn it over to Tom, who will highlight the Company's performance in the second quarter. As we have done in our past calls, we'll be taking questions at the end of Craig's closing commentary.

The press release and the presentation we'll go through today have been posted on our website. This presentation, including adjusted earnings per share, adjusted free cash flow and other non-GAAP measures, they are reconciled in the appendix. A webcast of this call is accessible our website and will be available for replay. I would like to remind you that our comments today will including statements related to expected future results of the Company and are therefore forward-looking statements. Our actual results may differ materially from our forecasted projection due to a wide range of risks and uncertainties that are described in our earnings release and the presentation.

With that, I will turn it over to Craig."
"3","Craig Arnold","Chairman and Chief Executive Officer at Eaton","Thanks, Yan. Hey, today, we're pleased to mark the end of the first quarter, with one of our strongest performances ever and a performance that strengthens our conviction about our long-term growth prospects. Our teams continue to deliver on our commitments, propelled by both strong markets and good execution.

We'll begin with some of the highlights of the quarter on Page 3. Well understood at this point megatrends, reindustrialization, infrastructure spending are continued to expand our markets, driving our revenue orders and backlogs. We posted another quarter of record financial performance with strong revenue, margins and earnings growth. And we executed well. And our first-half performance, along with our growing backlog, is what allows us to once again raise our full-year guidance. We're raising our 2023 guidance for organic growth, margins and adjusted EPS. Our EPS growth at the midpoint of our guidance is now up 16%. Tom will walk you through the details shortly. But from my perspective, the highlights of the quarter really are our growing backlogs, up 22% on Electrical and 26% in Aerospace, with a book-to-bill ratio of 1.2 for both Electrical and Aerospace.

We've also generated strong operating and free cash flow, $1.2 billion and $900 million, up more than 200% at 600% respectively. The free cash flow in the first-half of the year is almost $800 million above prior year. So, we're on-track to deliver our full-year guidance, despite the higher growth and higher receivable balances. Overall, we're pleased with the results and well-positioned for the second-half.

Moving to Slide 4. We wanted to provide a simple framework that summarizes how we think about key growth drivers across our businesses. The important megatrends are listed here on the left and Eaton markets and our segments are listed across the top of the page. At the intersection is where we see these trends having a material impact on our growth rate of our end-markets. And without getting into a lot of the detail, the important message is that this long list of mega projects is impacting many of Eaton's end-markets. What we intend to do during the course of our quarterly earnings call today and really into the future is really talk about these trends and how they impact our end-markets. Today, we'll spend a few minutes on infrastructure spending and the Inflation Reduction Act, reindustrialization and an update on mega projects, as well as look at Eaton's position in the utility and aerospace markets.

We're highlighting the Inflation Reduction Act since it's considerable upside to the initial estimates of future government spending and on mega projects, because they continue to grow dramatically. We pick the Utility segment since it's quickly becoming one of our largest markets. It was approximately 15% of Electrical Americas sales last year and is running well ahead of that rate this year. We received also some extensive questions from investors about our position in this market. Lastly, we'll highlight our Aerospace business trough the double-digit growth outlook, ramping defense and commercial platforms, including a substantial new win on the Bell V-280 Valor platform.

Moving to Slide 5, we're showing an updated look at expected spending tied to the Inflation Reduction Act. Most of the spending is focused on improving U.S. infrastructure. And as you can see, the estimates have increased significantly. At the time of passage, estimates on the cost impact, including credits and incentives, was $271 billion. The legislation was recently re-scored and government spending is now expected to be $663 billion, up nearly 2.5 times due to really what is an uncapped program. Importantly, these tax credits, because they're uncapped, are expected to continue to grow. These dollars are naturally a strong catalyst for infrastructure spending, much of it targeted at industries where Eaton will be a significant benefactor. The implementation of the IRA is in the very early stages, and we think will provide significant tailwinds over the next 10 years. Very little of this impact is currently in our order book and none of it has impacted revenue yet.

On Page 6, we have an updated chart showing the continued growth of mega projects in North America. We introduced this chart last quarter. And you'll recall that we included announced projects that are greater than $1 billion in this category. The value of announced mega projects has increased by $116 billion or 20% between March and June. So, the momentum continues and we'd expect the category to continue to grow at well above historical trends. We've seen recent announcements for EV, semiconductor plants, and new battery plants, so really across the board. And a few examples of some of the other major projects include $174 billion of downstream oil and gas or chemical; $33 billion of LNG export terminals; and $64 billion of power generation in renewable energy projects. Just another confirming data point, the Dodge data for U.S. industrial projects continues to expand at a record pace, with 12 month manufacturing and construction starts, up 72% on a 12-month basis -- on a rolling 12-month basis and up 84% if you include LNG activity. Now, as a reminder, only 25% of these mega projects have started. So, we're just at the beginning of this reindustrialization megatrend. Lastly, I'd remind you that we expect each of these mega projects to have between 3% and 5% electrical content.

Moving to Page 7, we highlight the Utility segment of the Americas business. As we reported, in 2022, this market accounted for approximately 15% of Electrical Americas revenue and represents an even bigger percent to date. We've historically viewed the Utility segment as a stable but slow growth business, generally in the low-single-digits. Over the next decade, utility distribution capex will account for 60% of the total utility capex globally, growing at a CAGR of 9%; over the '22 to '25 period, we would expect at a 11% CAGR. The impact of sustainability initiatives across the globe have significantly boosted this number. This includes grid modernization, renewable energy, electrification of everything, enhanced reliability and safety needs and government incentives, are all contributing to this growth outlook. And while the electrical needs of the world continue to increase, our utility customers are finding it challenging to maintain an increasingly aging grid infrastructure. As a point of reference, over 70% of U.S. transmission and distribution lines are over 25 years old. We're naturally making capital investments to address the growth here and have already committed to new capacity in our three major product families, transformers, voltage regulators and line installation products. It's worth highlighting that in this quarter, our Americas utility business backlog has increased 45%, organic revenues grew 30% in the Americas and 20% in our Global segment.

The graphics on Page 8 highlight Eaton's unique position in the North America utility market, where we're primarily focused on distribution. And given the significant changes taking place in this market, including the need to integrate renewables, undergrounding for increased resiliency, the increased demand for grid services, we could not be more pleased with what we have to offer in this segment. You can see from this slide that we have a broad position in the market. In fact, we have the industry's broadest portfolio of utility solutions. This includes grid planning software, design and engineering services, a complete offering of critical utility products, automation software as well as extensive project management expertise. We also offer a broad range of digitally-enabled hardware, grid edge controllers for overhead, underground and for substations. Lastly, our Brightlayer solution for utility includes distribution planning software, distribution and substation automation, as well as smart grid communication, sensors and demand management. So, overall, we're well-positioned, given our substantial portfolio of hardware, digitally-enabled software and solutions. And in the quarter, we secured a broad range of wins in the market, including hardware solutions for voltage regulators, power distribution, digital solutions for grid planning in our software we call CYME, and smart metering and also in utility services.

Moving to Page 9, we'd like to highlight another well-known trend, the growth in Aerospace markets. As you can see, we expect double-digit growth in each of the years between now and 2025, driven by the rebound in commercial OEM, commercial aftermarket and increased defense spending. The commercial market is expected to be very strong as Airbus and Boeing are both significantly increasing production volumes and are expected to materially increase production on their most important platforms. For example, Airbus is expected to increase production on the A320 from 45 to 50 per month currently the 75 per month by 2026, and Boeing is expected to increase production on the 737 from 31 per month currently to 50 per month in the '25 to '26 timeframe. And global passenger air travel is expected to return to 2019 levels by the end of this year and grow at 11% CAGR between now and 2025. We also expect to see increased defense spending driven by various global conflicts and governments allocating more dollars to our type of equipment to improve fleet readiness. Our Aerospace business is especially well-positioned on key defense platforms, both those targeted for modernization and on new platforms that are being ramped-up.

On Slide 10, in addition to the high volume single aisle growth that you hear so much about, the next group of key platforms driving the growth today and into the future are listed here. These platforms are a good representation of important platforms ramping in the near-term over the next five years and critical growth platforms for future decades. In all cases, we have more content than ever on each of these aircraft. In the future category, we're showing the win with the Bell on the V-28 program. The V-28 is a replacement for the Black Hawk helicopter and we have five times more content and are still bidding for more opportunities. We put the KC-46A and the F-35 in the next category, aircraft that will be ramping in the near-term and will contribute materially to our revenue growth beginning next year. As you can see, our content per aircraft here is two times to three times the legacy platform. And lastly, we're starting to see once again growth in the wide-body market. The long-haul market has been especially weak during the COVID and post-COVID period, and is now beginning to pick-up. The important message here is that these programs -- as these programs ramp-up, we'd expect to grow faster than our end-markets, given the increased content on each of these programs. So, between market recovery and increased content per platform, our Aerospace business is expected to see significant growth over the next five years or even longer.

Now, I will turn it over to Tom, who will take us through the financial slides."
"4","Thomas B. Okray","Executive Vice President and Chief Financial Officer at Eaton","Thanks, Craig. I'll start by providing a summary of our record Q2 results. Organic growth continues to be strong, up 13% for the quarter, the sixth quarter in a row with double-digit organic growth. Operating profit, an all-time quarterly record, grew 21%, and segment margins expanded 150 basis points to 21.6%, also an all-time quarterly record. We posted solid incremental margins of 33%, up sequentially from 27% in Q1. Adjusted EPS increased by 18% over the prior year to $2.21, an all-time quarterly record and well above the high-end of our guidance range.

Looking at our first-half results. We've had a very strong start to the year, with organic growth of 14%; segment margins up 130 basis points; incremental margin of 30%; and adjusted EPS growth of 17%. Finally, last year, we explained that we were making a deliberate decision to invest in working capital to protect our customers and their orders. With supply chains improving, we are now able to better optimize working capital. The result, together with strong earnings, is a 600% increase in free cash flow in the first-half of the year to $900 million.

Moving on to the next chart. Our Electrical Americas business delivered another very strong quarter. The megatrends are having a favorable impact on our U.S. business. We set all-time quarterly records for sales, operating profit and segment margin. Beginning with the topline, organic sales growth of 19% remains very strong. Electrical Americas has generated double-digit organic growth for six consecutive quarters, with five of the quarters greater than 15%. On a two-year stack, organic growth is up 35%. In the quarter, there was broad-based growth in nearly all end-markets, with especially robust growth of 25% to 30% in datacenter, utility, industrial and commercial and institutional end-markets.

Operating margin of 26.4%, was up 320 basis points versus prior year, benefiting from higher volumes and effective management of price/cost. On a rolling 12-month basis, orders grew 7%, with particular strength in datacenter and distributed IT, industrial and commercial and institutional end-markets. Book-to-bill ratio remains above 1. We increased backlog by 30% year-over-year and sequentially 3%. It's worth noting that we secured orders for two large datacenters worth nearly $300 million, including content to support these customers' AI growth projections. Finally, our major project negotiations pipeline in Q2 was up more than 17% versus prior year and nearly 9% sequentially from especially strong growth in datacenter, institutional, government, healthcare and transportation markets. On a two-year stack, our negotiation pipeline was up 65%. Overall, Electrical Americas continues to have a very strong year.

On Page 13, you'll find the results of our Electrical Global segment, which posted all-time record sales of nearly $1.6 billion. Organic growth was up 6%, which was partially offset by a small divestiture. This represents a two-year stack of 18% organic growth. The growth was broad-based, driven by strength in utility, datacenter and distributed IT and industrial end-markets. Operating margin of 18.5% improved 20 basis points sequentially, but was down 40 basis points prior -- compared to prior year. The year-over-year decline was mostly driven by unfavorable product mix, partially offset by effective management of price/cost and higher volumes. Orders were up 1% on a rolling 12-month basis, with strength in utility and datacenter and IT end-markets. Importantly, book-to-bill remained greater than 1.

Before moving to our industrial businesses, I'd like to briefly recap the combined Electrical segment. For Q2, we posted organic growth of 14%, incremental margin of 38% and segment margin of 23.4%, which was up 200 basis points over prior year. On a rolling 12-month basis, our book-to-bill for our Electrical sector remains very strong at 1.2 and our record backlog grew 22%. We remain very confident in our positioning for continued growth with strong margins in our overall Electrical business.

The next slide highlights our Aerospace segment. We posted an all-time quarterly sales record and a Q2 operating profit record. Organic growth was 14% for the quarter. We posted double-digit growth in five of the last six quarters in this segment. Growth was driven by broad strength across all markets, with particularly strong growth in commercial OEM and commercial aftermarket, which were up 21% and 30% respectively. Operating margin was 22.5%, up 60 basis points over last year, primarily driven by higher volumes. Growth in orders and backlog continued to be very strong. On a rolling 12-month basis, orders organically accelerated from up 21% in Q1 to up 26% in Q2, with especially strong growth in defense OEM and aftermarket for both commercial and defense. Year-over-year backlog growth increased 26% in Q2, in line with growth in Q1. On a rolling 12-month basis, our book-to-bill for Aerospace remained very strong at 1.2 times.

Moving on to our Vehicle segment on Page 15. In Q2, organic growth was up 6%. We saw particularly strong growth in North America light-vehicle, APAC, and our EMEA markets, all up double-digits. Operating margins came in at 15.3%. During the quarter, we delivered improvements in our manufacturing facilities, which contributed to sequential margin improvement of 80 basis points. We continue to win new business tied to clean technology solutions, including multiple clean commercial valve actuation programs. Additionally, we've won over $60 million per year in program length extension and volume increases with multiple OEMs.

On Page 16, we show results for our eMobility business. We generated another quarter of strong growth. Organic revenue was up 18%. Margin improved 100 basis points versus prior year, mostly driven by higher volume. Overall, we remain very encouraged by the growth prospects of the eMobility segment. So far in 2023, we have won new programs with more than $450 million of mature year revenues, positioning us very well to exceed our 2025 target of $1.2 billion of revenue. Through these wins, we continue to find opportunities to leverage expertise across all segments. For example, we reached an agreement with a major OEM to supply power electronics control unit for an electrically heated catalyst to meet emissions regulations. This win demonstrates Eaton's ability to leverage capabilities across our entire portfolio, including core technology in both electrical and industrial businesses, such as brake tour, power protection and Bussmann fuses. We've also capitalized on our extensive vehicle expertise and added content in connectors from our Royal Power acquisition.

Moving to Page 17, we show our Electrical and Aerospace backlog updated through Q2. As you can see, we continue to build backlog, with Electrical stepping up to $9.1 billion, a sequential increase of 2%. Electrical backlog is up about a 110% since Q2 of 2021 and over 200% higher than Q2 2020. Aerospace backlog is holding steady at $3 billion. This is a 30% increase since Q2 2021 and over 100% higher than Q2 2020. On a rolling 12-month basis, book-to-bill was 1.2 for both Electrical and Aerospace. With absolute orders remaining at high levels and record backlogs, our book-to-bill over 1 times is yet again a key metric that gives us confidence in our outlook into the quarters to come. With all the tailwinds in our end-markets, we think it is likely that we will have high levels of backlog going forward, which enhances our visibility over the planning horizon.

On the next page, we show our fiscal year organic growth and operating margin guidance. We are raising our organic growth guidance for 2023 in both Electrical Americas and for the total Company. We now expect organic growth in Electrical Americas of 14% to 16%, up 300 basis points from our prior 11% to 13% guidance. This represents a 600 basis point improvement from our starting 2023 guidance for the business. In total, we're raising our 2023 organic growth outlook to a midpoint of 11%, up from a 10% midpoint in our prior guidance. Our strong end-market growth forecast, expanding negotiations pipeline and building backlog provide tremendous visibility and confidence in this 2023 outlook.

For segment margins, we are increasing our total Eaton margin guidance range by 40 basis points from a prior range of 20.7% to 21.1% to a new range of 21.1% to 21.5%. This is a result of an improved outlook in Electrical Americas, where we increased the range by 80 basis points and strong demand and continued strong operational execution. The increased outlook now represents a 110 basis point increase from the midpoint of our 2022 all-time record margins. In summary, at the halfway mark, we remain well-positioned to deliver another very strong year of financial performance.

On the next page, we have additional guidance metrics for 2023 and Q3. Following our strong first-half performance and improved organic growth expectations for the year, we're raising our full-year EPS range to $8.65 to $8.85. At the midpoint, the $8.75, we have raised guidance by $0.35. This represents 16% growth in adjusted EPS in 2023 over prior year. We now expect the currency translation to be roughly neutral and the remainder of our full-year guidance remains unchanged. For Q3, we are guiding organic growth of 9% to 11%; segment margins of between 22.0% and 22.4%, representing a 100 basis point improvement at the midpoint versus prior year; and adjusted EPS in the range of $2.27 to $2.35, a 15% increase versus prior year at the midpoint.

Now, I'll hand it back to Craig to wrap-up the presentation."
"5","Craig Arnold","Chairman and Chief Executive Officer at Eaton","Thanks, Tom. Now turning to Page 20. As a reminder, last quarter, we raised our growth assumption for the utility market to strong double-digit growth and we increased our residential market outlook to flat from declining. We're now increasing our growth assumption for the commercial and institutional and for data center markets to strong double-digit growth. In addition to stronger-than-anticipated demand for new projects, existing buildings are being retrofitted with more electrical infrastructure as EVs continue to increase their penetration in the market. And datacenter demand continues to remain at very high levels, and we now expect to see double-digit growth in this market as well. The balance of our end-markets continue to perform well and are tracking along our prior projections. So, while the macroeconomic outlook remains choppy, we continue to expect growth in almost all of our markets.

I'll close with a summary on Page 21. As you can tell, we're feeling good about how our markets are performing this year and we think they will be strong for many more years to come. In fact, the megatrends that we've discussed for some time now are expected to be even more impactful than we originally anticipated. Our markets are strong, but we also had solid execution in the quarter and delivered another strong set of results that included a number of financial records. And as we look to the back-half of the year and into 2024, our increasing backlog provides great visibility on our growth outlook. As noted, we raised our guidance for growth and EPS for the second time and our largest business Electrical Americas continues to post new records.

With that, we'll open it up for questions you may have."
"6","Yan Jin","Senior Vice President of Investor Relations at Eaton","Hey, thanks, Craig. For the Q&A today, please limit your opportunity to just one question and one follow-up. Thanks in advance for your cooperation. With that, I will turn it over to the operator to give you guys the instructions."
"7","Operator",NA,"Thank you. [Operator Instructions]

Our first question will come from the line of Joe Ritchie from Goldman Sachs. Please go ahead."
"8","Joe Ritchie","Analyst at The Goldman Sachs Group","Thanks. Good morning, and congrats, everyone."
"9","Thomas B. Okray","Executive Vice President and Chief Financial Officer at Eaton","Good morning, Joe."
"10","Craig Arnold","Chairman and Chief Executive Officer at Eaton","Thanks, Joe. I appreciate it."
