"","speaker","title","msg"
"1","Operator",NA,"Good afternoon and welcome to the Host Hotels and Resorts Second Quarter 2023 Earnings Conference Call. Today's conference is being recorded, and at this time I would like to turn the call over to Jaime Marcus, Senior Vice President of Investor Relations. You may go ahead."
"2","Jaime Marcus","Senior Vice President, Investor Relations at Host Hotels & Resorts","Thank you, and good afternoon, everyone. Before we begin, please note that many of the comments made today are considered to be forward-looking statements under Federal Securities laws. As described in our filings with the SEC, these statements are subject to numerous risks and uncertainties that could cause future results to differ from those expressed, and we are not obligated to publicly update or revise these forward-looking statements.

In addition, on today's call, we will discuss certain non-GAAP financial information such as FFO, adjusted EBITDAre and comparable hotel level results. You can find this information together with reconciliations to the most directly comparable GAAP information in yesterday's earnings press release, in our 8-K filed with the SEC, and in the supplemental financial information on our website at hosthotels.com.

With me on today's call are Jim Risoleo, President and Chief Executive Officer, and Sourav Ghosh, Executive Vice President and Chief Financial Officer.

With that, I would like to turn the call over to Jim."
"3","Jim Risoleo","President and Chief Executive Officer at Host Hotels & Resorts","Thank you, Jaime, and thanks to everyone for joining us this afternoon. During the second quarter, we delivered a comparable hotel RevPAR improvement of 2.7% compared to the second quarter of 2022. Our RevPAR performance for the quarter came in below our quarterly guidance, primarily as a result of moderating transient demand in San Francisco and Seattle and at our resorts to a lesser extent. Comparable hotel TRevPAR growth was 3.8% during the quarter, underscoring the continued strength of out of room spend.

During the quarter, we delivered adjusted EBITDAre of $446 million and adjusted FFO per share of $0.53. While our second quarter comparable hotel EBITDA of $449 million was 9% below 2022, it was 9% above 2019. Second quarter comparable hotel EBITDA margin of 32.7% exceeded 2019. This marks the fifth consecutive quarter since the onset of the pandemic that we have achieved TRevPAR, RevPAR and comparable hotel EBITDA and margins ahead of 2019 levels.

Comparable hotel RevPAR for July is expected to be approximately $209, which is 2.5% above July of 2022. Our performance in the first half of the year, coupled with the macroeconomic backdrop in the second half led us to tighten our full year RevPAR growth guidance range to 7% to 9%, bringing the midpoint of our full year expected RevPAR growth to 8%.

At the midpoint of our guidance for full year 2023, comparable hotel EBITDA is forecasted to be approximately 9% above 2019. As we look at the current macroeconomic picture, it is important to consider how our outlook has shifted over the past six months. As the second quarter progressed, we started to see a moderation in volume at our hotels in San Francisco and Seattle, which were already affected by softer demand. At the same time, many high-end leisure travelers took the opportunity to travel internationally, and we did not see a corresponding level of international inbound demand, which impacted volume at our resorts. Against this backdrop, we were pleased to deliver positive RevPAR and TRevPAR growth for the quarter, especially given the high watermark of the second quarter of 2022.

We remain optimistic about the state of travel for several reasons. First, group business continues to improve. During the quarter, we booked over 310,000 group rooms for 2023, and total group revenue pace is now 4.2% ahead of the same time 2019, up from 2.5% as of March and 3.2% as of April. The group booking window is continuing to extend, and groups continue to spend more than contracted.

Second, business transient demand continued its gradual improvement during the second quarter. Rates were up 10% to both 2022 and 2019, and demand improved nearly 6% compared to the second quarter of 2022. While demand is still down 19% compared to 2019, it improved 190 basis points from the first quarter.

Third, leisure rates at our resorts remained well above 2019 levels, despite some expected moderation in the second quarter. For context, transient rates at our resorts were 61% above 2019 in the second quarter, an increase from 54% in the first quarter.

Fourth, as evidenced by the airline and TSA data, we expect international demand to be a tailwind going forward. In June, U.S. international outbound air travel grew to 110% of pre-pandemic levels, while international inbound was only 80%. This aligns with U.S. outbound summer flight bookings, which are up 27% year-over-year, while corresponding inbound bookings were up only 3% according to rate gain. It is the first summer since 2019 that U.S. travelers had enough lead time to plan an unrestricted international vacation, and we expect these trends will revert over time.

Finally, and most importantly, we are not seeing evidence of a weakened consumer at our hotels. Comparable hotel food and beverage spend was up 6% to last year, driven fairly evenly by banquets and outlets, indicating the strength of both group and transient customers. This is particularly encouraging as outlet revenue grew 5% despite flat portfolio wide occupancy. In fact, our resort outlet revenue per occupied room grew 5% in the second quarter compared to 2022, and it was also the highest in host history at $196.

Other revenue also continued to grow, with all line items up over last year except for attrition and cancellation fees, which are moderating as expected. Golf and fall revenues remain robust with growth over the record highs of 2022, which we believe is further evidence of the leisure travelers desire and ability to spend on experiences. In fact, we still had five resorts with transient rates of $1,000 or more. Notably, the top three resorts were recent acquisitions underscoring the strength of our opportunistic capital allocation strategy.

Leading the pack was Alila Ventana Big Sur at nearly $1,800, and the Four Seasons Resort Orlando at Walt Disney World Resort and Four Seasons Resort and Residences Jackson Hole both at over $1,600.

Moving to our reconstruction efforts following Hurricane Ian. In June, we completed the final phase of the restoration work at the Hyatt Regency Coconut Point with the reopening of its water park and outdoor dining complex. And last month, we reopened the completely transformed Ritz Carlton Naples, which combined a comprehensive renovation of the existing resort with the addition of a new 74 key tower. As part of the renovation, we expanded the guest room bathrooms to increase fixture counts, elevated the design and functionality of the rooms, and combined standard guest rooms to create multi-bay suites. We also enhanced the arrival experience with a Reimagined lobby and lobby bar.

The ROI development of the Vanderbilt Tower added a net 24 additional keys, increased the suite count to 92 from 35, and added new pools, cabanas, bungalows, a poolside FMB outlet with the bar, and an expanded club lounge that eliminates the capacity constraint on upsells.

In addition to the renovation and expansion, our reconstruction efforts allowed us to opportunistically enhance the resiliency of the property by elevating critical equipment, improving dry floodproofing measures, accelerating future building envelope waterproofing, and replacing major equipment with more efficient machinery. The transformation of the Ritz Carlton Naples has been extremely well received since the reopening, and we are optimistic that the resort is set up to exceed our underwriting expectations.

As an example, pace for the 2023 festive season is well above historical levels with the expanded suite inventory and new club level facilities in high demand. The new lobby champagne bar has quickly become the place to see and be seen in Naples for both guests and locals. We are extremely pleased with the transformation of this iconic resort, and we are excited to see the results it delivers over the years to come.

In terms of insurance proceeds related to Hurricane Ian, to date, we have received $113 million of the expected potential insurance recovery of approximately $310 million for covered costs. The proceeds have all been allocated to property damage thus far.

Turning to group, revenue exceeded 2022 by 4%, marking the fourth consecutive quarter, group revenue exceeded 2019. Definite group room nights on the books for 2023 increased to $3.7 million in the second quarter, which represents approximately 103% of comparable full year 2022 actual group room nights, up from 94% as of the first quarter. For full year 2023, group rate on the books is up 7% to the same time last year, a 30-basis point increase since the first quarter. In addition, total group revenue pace is up approximately 19% to the same time last year and up 4.2% to the same time 2019.

Looking ahead to 2024, we have 2.2 million definite group room nights on the books. Total group revenue pace is up 13.5% to the same time last year and up 1.5% to the same time 2019. We are encouraged by the ongoing strength of group as evidenced by accelerating booking activity, lengthening booking windows and tentative room nights ahead of both last year and 2019.

Moving to portfolio reinvestment, we completed comprehensive renovations at the final asset in the Marriott Transformational Capital Program, the Washington Marriott and Metro Center during the second quarter. The program, which began in 2018, included extensive guest room and public area renovations at 16 assets and finished under budget.

During the pandemic, we expanded our reinvestment strategy to include eight additional assets which required near term capex where we believe significant upside could be realized with transformational renovations. To date, we have completed seven of those eight assets. We believe these comprehensive renovations will enable us to continue to capture incremental market share above our targeted range of 3 points to 5 points of RevPAR index share gains, and that is shaping up to be the case so far.

Looking at results to date, of the seven hotels that have stabilized post renovation operations, the average RevPAR index share gain is 8.8 points. For the full year, our 2023 capital expenditure guidance range is $625 million to $725 million, which reflects approximately $240 million of investment for redevelopment, repositioning and ROI projects, as well as $125 million to $175 million for hurricane restoration work.

Remaining projects include the completion of a transformational renovation of the Fairmont Kea Lani, a repositioning renovation of the Hilton Singer Island and breaking ground on Phoenician Canyon Suites Villas and the luxury condominium development at Four Seasons Resort, Orlando at Walt Disney World Resort. More broadly, we will continue to be strategic and opportunistic in our approach to driving EBITDA growth. We have an investment grade balance sheet, independent analytic capabilities, a diversified portfolio, and the size scale and team to continue executing across economic cycles.

We have created meaningful shareholder value over the past six years by improving the quality of our cash flow, and we believe Host is ideally positioned to outperform in the current macroeconomic environment.

With that, I will turn the call over to Sourav."
"4","Sourav Ghosh","Executive Vice President and Chief Financial Officer at Host Hotels & Resorts","Thank you, Jim, and good afternoon, everyone. Building on Jim's comments, I will go into detail on our second quarter operations, our updated 2023 guidance, and our balance sheet and dividend. Starting with business mix, overall, transient revenue was up 80 basis points to the second quarter of 2022, driven by rate growth, which offset a slight decrease in demand. Softening transient demand drove the miss to RevPAR guidance, driven primarily by underperformance in San Francisco and Seattle and at our resorts to a lesser extent.

Resorts in the second quarter saw transient revenue down 8% over the all-time high of the second quarter of 2022. While transient rate at resorts was down year-over-year, it was still 61% above 2019 after being up 54% compared to 2019. In fact, transient revenue at our resorts increased in the second quarter compared to the first quarter, despite the slight decrease in demand.

Business transient revenue was 16% above the second quarter of 2022, driven by a 10% rate increase. Demand also increased by nearly 6% above last year, driven by our hotels in New York, Boston and Washington, DC. Our downtown properties accounted for 65% of the business transient demand, which is in line with pre-pandemic trends. Small and medium sized businesses continue to drive the recovery, representing the majority of our business transient demand today.

Turning to group, group room revenues were 4% above the second quarter of 2022 full, driven by rate growth. The 1.1 million group room nights sold in the quarter was slightly ahead of both last year and the first quarter, which aligns with 2019 seasonal trends. Washington, DC., Chicago and Boston drove the group room revenue growth, compared to 2022. With respect to group picks, corporate group room revenue was up 9% in the second quarter, driven by nearly 6% rate growth.

As anticipated, Association Group revenue was down almost 3% in the second quarter compared to last year, as the second quarter of 2022 had elevated Association Group volume, driven by rebookings for events that were canceled during the pandemic.

Social, Military, Educational, Religious and Fraternal or Smurf Group revenue was up 3% in the second quarter, driven by 2.5% rate growth. Our 2024 total group revenue pace is above both 2022 and 2019, and we are encouraged by the citywide booking pace in New Orleans, San Diego, Seattle and Washington DC, all of which have citywide group room nights meaningfully ahead of the same time last year.

Shifting gears to margin performance, our second quarter comparable hotel EBITDA margin came in at 32.7%, which is 40 basis points better than the second quarter of 2019, but below the high watermark of the second quarter of 2022 when staffing at hotels lag demand. Total comparable expenses grew just 7.5% over 2019, while total comparable revenues were up 7.8%. As expected, attrition and cancellation revenue moderated from 2022 levels during the second quarter. We are encouraged that comparable hotel EBITDA margin remains above 2019 despite elevated inflation over the past four years, and occupancy still 8 points below 2019. As Jim noted, we tightened our full year comparable hotel RevPAR growth range to 7% to 9%. The RevPAR midpoint of 8% is 100 basis points less than our prior midpoint, but at the high end of the original guidance range we provided in February. We estimate that approximately 60 basis points of the midpoint decline is attributable to second quarter results, and the remaining 40 basis points is attributable to our updated outlook for the second half of the year.

While we have not yet seen signs of a macroeconomic driven slowdown, our guidance range continues to contemplate varying degrees of moderating growth in the second half of the year. As a result, we would expect year-over-year comparable hotel RevPAR percentage changes in the second half of the year to be flat to up low single digits, primarily driven by occupancy. At the midpoint of our guidance, we would expect a comparable hotel EBITDA margin of 29.9%, which is 40 basis points ahead of 2019, and full year adjusted EBITDAre of $1.560 billion. Keep in mind that the midpoint of our revised full year 2023 adjusted EBITDAre guidance is still $100 million above the original guidance we provided in February and down only $25 million from the guidance we provided in May.

We expect our operational results to roughly follow 2019 quarterly seasonal trends as provided on page 17 of our Supplemental Financial Information. As a reminder, the third quarter of the year is historically the weakest of the four quarters in terms of both nominal dollars and margins due to seasonal market and business mix shifts. Our 2023 full year adjusted EBITDAre guidance includes an expected $17 million contribution from Hyatt Regency Coconut Point and the Ritz Carlton Naples, both of which are excluded from our comparable hotel results due to impacts from Hurricane Ian. As we have discussed previously, the pre-hurricane estimated contribution from these two hotels, including the new tower at Ritz Carlton Naples, was expected to be an additional $71 million in 2023.

It is also important to note that we have not included any expected business interruption proceeds from Hurricane Ian in our 2023 guidance. As we have discussed over the past few quarters, year over year, we expect comparable hotel EBITDA margins to be down 210 basis points at the low end of our guidance to down 170 basis points at the high end due to stable staffing levels at our hotels, higher utility and insurance expenses, and lower attrition and cancellation fees. We expect the biggest margin differential year over year to be in the second quarter, with a narrowing margin spread in the second half of the year. For these reasons, we do not believe 2022 represents a stabilized comparison for margins.

Relative to 2019, which is more representative year for margin comparison, we expect margins this year to be up 20 basis points at the low end of our guidance to up 60 basis points at the high end, despite lagging occupancy and elevated inflationary pressures over the past four years. Our efforts to transform the portfolio and evolve the hotel operating model are enabling this margin expansion.

As we have discussed in the past, it is particularly impressive when you consider that our forecasted total hotel expense CAGR from 2019 to 2023 is only 1.6% versus the forecasted core CPI CAGR of 4% over the same period.

Turning to our balance sheet and liquidity position, our weighted average maturity is 4.7 years at a weighted average interest rate of 4.5%, and we have no significant maturities until April 2024. We ended the second quarter at 2.2 times leverage, and we have $2.5 billion of total available liquidity, which includes $213 million of FF&E reserves and full availability of our $1.5 billion credit facility.

In addition, during the second quarter, we achieved a milestone in our progress towards our renewable energy goal, resulting in a two and a half basis point reduction in the interest rate on the outstanding term loans under our sustainability linked credit facility. We paid a quarterly cash dividend of $0.16 per share, an increase of $0.03, or 25% over the prior quarter in July. Though, we expect to maintain our quarterly dividend at a sustainable level, taking into consideration potential macroeconomic factors, all future dividends are subject to approval by the company's board of directors.

We remain optimistic on the future of our business and travel overall. In any scenario, we believe our portfolio, our balance sheet and our team are well positioned to continue outperforming, and we will continue to be strategic in the current macroeconomic environment.

With that, we would be happy to take your questions. To ensure we have time to address as many questions as possible, please limit yourself to one question."
"5","Operator",NA,"Thank you. At this time, we will be conducting a question-and-answer session. [Operator Instructions] Thank you. Our first question is coming from Duane Pfennigwerth with Evercore ISI. Your line is live."
"6","Duane Pfennigwerth","Analyst at Evercore ISI","Hey. Thank you. Appreciate the macro stats that you shared, but do you have any way to track international inbound as a percent of your own portfolio? Where does that stand now versus pre-pandemic levels as a percentage of the mix?"
"7","Jim Risoleo","President and Chief Executive Officer at Host Hotels & Resorts","Yeah, Dwayne, pre-pandemic international inbound accounted for roughly 10% of our room nights. In quarter two of 2022, it was 7.8%. And that is compared to 7.4% in 2022 in the second quarter. So, we feel that international inbound is a tailwind to our portfolio performance going forward. In particular, if you saw in the month of June, international inbound was only 80% of where it was in June of 2019. Outbound, as we've talked about, was 110% of where it was in June of 2019. So, as the world starts to normalize and hopefully as we can sort out the visa wait times in the U.S., which are 400 days now on average, and it's a real drag on international inbound. As an example, Canada, you can get a visa from a country that they require a visa for travel to Canada in 55 days. So, that's a big issue that we as an industry are dealing with through U.S. travel and through AHLA as well.

The other impediment at this point in time with respect to international inbound in our West Coast markets in particular is travel from China. Pre-pandemic, we had 350 direct flights a week between the U.S. and China. As it sits today, we have 24. So, we're optimistic that over time things are going to normalize and that we're going to see the return of the international travel, which will further bolster our performance."
"8","Duane Pfennigwerth","Analyst at Evercore ISI","Thanks. And then just for my follow up on BI, on the business interruption, as you think about growth into 2024, you'll have a natural recovery in Naples from the Ritz being back online, my guess is that would begin to contribute year on year in the fourth quarter. But from a growth perspective, what would be the ideal timing for BI reimbursement to hit?"
"9","Jim Risoleo","President and Chief Executive Officer at Host Hotels & Resorts","Well, I'll let Sourav jump in on this, but let me just kind of set the table with respect to how our insurance program works. We've collected $113 million all related to restoration and physical damage repair. We have a $130 million receivable outstanding, and we won't start recognizing business interruption proceeds until we collect the $130 million at a minimum."
"10","Sourav Ghosh","Executive Vice President and Chief Financial Officer at Host Hotels & Resorts","Yeah Duane, and the timing, honestly, that's why we don't have it in our forecast. It's very difficult to say. We're working with the insurance carriers right now in terms of determining how much that BI amount is. So, the collection of it could be certainly some amount in Q3 bleed into Q4 as well as into the following year. We actually got from Hurricane Ida, if you recall, which impacted New Orleans last year. We just got a $2.7 million BI payment this quarter. So, the timing is very difficult to gauge. We fully expect, as we said, that we would be paid out, and it's certainly going to be a meaningful amount. The exact timing is very difficult to predict at this point in time."
