"","speaker","title","msg"
"1","Operator",NA,"Greetings, and welcome to the Hershey Company's Second Quarter 2023 Question-and-answer session. [Operator Instructions]

I'd now like to turn the call over to your host, Ms. Melissa Poole, Vice President of Investor Relations for the Hershey Company. Thank you. You may begin."
"2","Melissa Poole","Vice President, Investor Relations at Hershey","Good morning, everyone. Thank you for joining us today for the Hershey Company's Second Quarter 2023 Earnings Q&A session. I hope everyone has had the chance to read our press release and listen to our prerecorded management remarks, both of which are available on our website. In addition, we have posted a transcript of the prerecorded remarks. At the conclusion of today's live Q&A session, we will also post a transcript and audio replay of this call.

Please note that during today's Q&A session, we may make forward-looking statements that are subject to various risks and uncertainties. These statements include expectations and assumptions regarding the company's future operations and financial performance. Actual results could differ materially from those projected. The company undertakes no obligation to update these statements based on subsequent events.

A detailed listing of such risks and uncertainties can be found in today's press release and the company's SEC filings. Finally, please note we may refer to certain non-GAAP financial measures that we believe will provide useful information for investors. The presentation of this information is not intended to be considered in isolation or as a substitute for the financial information presented in accordance with GAAP. Reconciliations to the GAAP results are included in this morning's press release.

Joining me today are Hershey's Chairman and CEO, Michele Buck; and Hershey's Senior Vice President and CFO, Steve Voskuil.

With that, I will turn it over to the operator for the first question."
"3","Operator",NA,"Thank you. We will now be conducting a question-and-answer session. [Operator Instructions] Our first questions come from the line of Andrew Lazar with Barclays. Please proceed with your questions."
"4","Andrew Lazar","Analyst at Barclays","Great. Thanks so much and good morning, everybody."
"5","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Good morning, Andrew."
"6","Andrew Lazar","Analyst at Barclays","Good morning. I wanted to ask a bit about the pricing-versus-volume commentary regarding the full year sales growth outlook. And the comments sounds like you expect price to be a bit better in the second half and maybe volume is a bit worse than originally planned. So just two questions on this. First, how do we think about the balance between the two in the second half, and could volume be down year-over-year in 2H? And then more specifically on volume. Is the weaker-than-anticipated volume fully due to just the new pricing actions? Or are you reflecting a tougher consumer or a competitive environment in that outlook? Or both?"
"7","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Yes, I'm happy to take that one, Andrew. Your math is right. That's the way we're looking at it. And the price piece, it really is driven -- or the volume impact really is driven by the extra price impact as we look at the back half. And as we look at volume in the back half, yes, year-over-year, we expect it to be down, but it really is price driven. There's probably a very small portion attributable to the Salty misstep in Q2, but the vast majority is just the reaction to price."
"8","Andrew Lazar","Analyst at Barclays","Great, great. Thanks so much, I'll pass it on."
"9","Operator",NA,"Thank you. Our next questions come from the line of Bryan Spillane with Bank of America. Please proceed with your questions. Bryan, could you check, if you are self-muted please."
"10","Melissa Poole","Vice President, Investor Relations at Hershey","All right. Let's come back to Bryan."
"11","Operator",NA,"Okay. Our next questions come from the line of Ken Goldman with JPMorgan. Please proceed with your questions."
"12","Ken Goldman","Analyst at JPMorgan Chase & Co.","Hi. Thanks so much. You've done a great job obviously implementing pricing to offset inflation, but cocoa and sugar are up a lot more. I know you can't talk about pricing that hasn't been announced to the trade yet, but is it reasonable to think that you're maybe considering another list price increase? And at what point do you start to ask how high is too high? How do you think about elasticity in the consumer in that environment? I just wanted to get a sense for kind of the puts and takes as you think about how to deal with and manage maybe what continues to be an inflationary environment for you."
"13","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Sure. I mean, you're right. Cocoa and sugar are historically high. I think I saw a news article this morning talking about cocoa being at a 12-year high on the New York Exchange. The good news is we've got experience managing through commodity rushes up and down. And so as we talked about in the past, as we look at dealing with that, price is a lever, but it's not the only lever. And so we look at driving more productivity, driving efficiency through other parts of the P&L.

And in general, driving revenue management is part of our ongoing strategy. And so all the usual levers will be applied. And as I said, it's not the first time we've had to deal with something like this. So we're pretty good at being able to navigate. And you're right, we're not going to get more specific than that at this stage."
"14","Ken Goldman","Analyst at JPMorgan Chase & Co.","And then just on the comment about increased competitive, I guess, innovation in confectionery in North America. How incremental is the innovation that you're seeing? Any real surprises in there versus your prior expectations? It's been such a -- I don't want to say a benign competitive environment, because obviously, you have some tough players in the market. But is it getting more intense than what you would have expected, I guess, is what I'm going for there."
"15","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Yes. So I would say the innovation is up off of a relatively low base. So it's having an impact based on that. I think many folks have been focused, certainly we've been focused, a lot on execution and meeting demand for the past few years and focused on the core with innovation not playing as big of a role. And I think now we're just seeing competitors in the marketplace start to dial up the innovation more back to historic levels. And as we go forward, that's certainly an area that we're going to be focused on as we are continuing to increase capacity at the same time."
"16","Ken Goldman","Analyst at JPMorgan Chase & Co.","Thank you."
"17","Operator",NA,"Thank you. Our next questions come from the line of Max Gumport with BNP Paribas. Please proceed with your questions."
"18","Max Gumport","Analyst at BNP Paribas","Hey. Thanks for the question. With regard to the increased chocolate capacity this year and the additional co-manufacturing capacity secured in sweets for next year, is there any way you can help us dimensionalize how sizable those capacity increases are just as we try to get a sense for how impactful these additions could be for volumes in the second half and also in 2024?"
"19","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Yes. We -- I think we've said in the past that if you took a look at the capacity that we have coming online this year that's already gone into place and then what's coming in the back half and look kind of year-over-year, you're somewhere in the 5% range of the incremental capacity across chocolate and sweets."
"20","Max Gumport","Analyst at BNP Paribas","Great. Thanks very much."
"21","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","You bet."
"22","Operator",NA,"Thank you. Our next questions come from the line of Michael Lavery with Piper Sandler. Please proceed with your questions."
"23","Michael Lavery","Analyst at Piper Sandler","Thank you. Good morning."
"24","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Good morning."
"25","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Good morning."
"26","Michael Lavery","Analyst at Piper Sandler","You've got the integration in Salty Snacks and the transition to SAP that you've been talking about. And those never seem to be totally smooth or easy. You mentioned there's some hiccups that you've seen. But can you just maybe give a little sense of what those look like in a little more detail? And specifically with an eye on just having a sense of what's to come, what have you learned and how confident are you that the rest of the year can avoid some of those hiccups, or just be even smoother still?"
"27","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Yes. I mean, I would say overall, certainly, one of our key focuses as we planned for this year, was that at the enterprise level, really focusing on the stellar execution. We planned the business in a way to assume that we would be trying to front load performance knowing that there are always hiccups in the execution. And so in Q4, we do expect to see volumes be down, and we put that in our plans. The teams are all over it. It is a focused effort, not just within IT, but across every functional area of the Salty business.

And so far, we've been doing pretty well on Salty with household penetration growing, repeat frequency, strong sales. We did have the promotional shift into Q3 and we feel good about being able to execute that. But we feel like we're well geared up to be able to execute that. That said, we certainly do believe that there will be volatility in the back half of the year with the ups and downs, and thus forward."
"28","Michael Lavery","Analyst at Piper Sandler","Okay. That's helpful. And just back to pricing. You've got delays in some of the timing between the announcement and implementation and then the seasons, of course, have a staggered effect. And with just some of the maybe layers to it, can you give a sense of just what you've announced already or put in place already has as an impact on 2024? It looks like at least a low single digit, maybe my math guess is or estimates close to it, three points that you might already have in hand. Is that about right? Or what are some of the moving parts? Just so we have kind of a little bit further look ahead of what's already put in place?"
"29","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","So we have high single digits in the second half of this year. And as we look to '24, low single-digit pricing."
"30","Michael Lavery","Analyst at Piper Sandler","And just to clarify, that's without any other -- that would be before there's anything else that might still be -- to come, right?"
"31","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","That's what we've announced."
"32","Michael Lavery","Analyst at Piper Sandler","Perfect. Thank so much."
"33","Operator",NA,"Thank you. Our next questions come from the line of Pamela Kaufman with Morgan Stanley. Please proceed with your questions."
"34","Pamela Kaufman","Analyst at Morgan Stanley","Good morning."
"35","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Good morning."
"36","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Good morning."
"37","Pamela Kaufman","Analyst at Morgan Stanley","Your advertising spend was up 15% this quarter, which is an acceleration from Q1. Given the better-than-expected performance in gross margins for the year and what you're seeing in the competitive and demand environment, are there any changes to your plans for marketing spend for this year relative to before?"
"38","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","No fundamental changes. We had expected this year to be a year to invest in brands. And again, as we have capacity coming online and leaning into seasons, especially if we get to the back half, a significant increase in brand investment was planned, and we're executing to that plan."
"39","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","And also, as mentioned, we were working to really front-load more of our Salty planning because of S/4. So our plans accounted for that as well."
"40","Pamela Kaufman","Analyst at Morgan Stanley","And then just in the prepared remarks, there are comments about some private-label launches in your Salty Snacks categories. You're generally in categories that face very little private-label competition, but considering the launches that you alluded to, just curious to hear how you're thinking about managing private-label competition in your categories and how you're addressing it."
"41","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Yes. So certainly, there is a bit more private label in Salty than in CMG. But we have considered -- we've continued to see that, while private label has ticked up a bit, our brands have continued to remain quite strong and do incredibly well. And as we look at private label, even within the confection category, while there has been increased activity there, it's remained a very small part of the category, less than 3%. And the entries we've seen in the marketplace this year are still relatively small. So we don't take our leadership for granted. We certainly continue to invest in our brands to make sure that our propositions are strong. But we feel very well about how we're competing right now in the marketplace on that."
"42","Pamela Kaufman","Analyst at Morgan Stanley","Thank you."
"43","Operator",NA,"Thank you. Our next questions come from the line of Nik Modi with RBC Capital Markets. Please proceed with your questions."
"44","Nik Modi","Analyst at RBC Capital Markets","Yeah. Thank you. Good morning, everyone. I was hoping you could just kind of address the Halloween season as it relates to some of your competitors still struggling with supply chain and have cut back their orders. And I'm just curious, can you -- how can you take advantage of this? Do you have visibility at this point in terms of maybe securing some of that missed opportunity by some of your competitors? Just wanted to get some clarity on how you think about that as it relates to the third quarter."
"45","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Yes. So we are expecting a very strong Halloween. We know that customers are planning big displays, and we are certainly participating in that and as well, have strong marketing support to consumers planned as well. So we have certainly taken an approach of leaning into Halloween, we feel good that there will be plenty of candy out there. So feeling good about that. As we look at overall in the back half as it relates to market share, we think that there'll be a stable approach overall, but some pressure on everyday despite some of our strengths around the seasons."
"46","Nik Modi","Analyst at RBC Capital Markets","Great. And then if I could just clarify in terms of the execution issues in Salty Snacks, what exactly happened? So you talked about systems changeover, but can you just provide just the details on exactly like what the problem was?"
"47","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Yes. I mean, I'd say two key things. One is we had some promotions that we had planned to occur in Q2 that shifted to Q3. And then we have had some just basic issues as we've been bringing together all of those businesses that you would expect during a transition like that around sales and commercial and supply chain execution. So things just weren't as connected as they needed to be.

We feel very good that the team is on it and focused on it, and execution is something that we tend to do very well, so we have a lot of confidence in our ability to focus and get that back around. That said, of course, the back half of the year, as we've mentioned, is going to be -- have a lot of volatility that's really tied to S/4 as we build inventory and then work through the implementation, and anticipate that we'll have lighter sales in the fourth quarter as a result of that. But we have confidence in our ability to fix the execution."
"48","Nik Modi","Analyst at RBC Capital Markets","Great. Thanks so much. I'll pass it on."
"49","Operator",NA,"Thank you. Our next questions come from the line of Alexia Howard with Bernstein. Please proceed with your question."
"50","Alexia Howard","Analyst at Sanford C. Bernstein","Good morning, everyone. Can I ask, first of all, about market share trends in U.S. chocolate? It sounds as though capacity constraints and other issues have caused some of those declines. Do you have a view as to when those market share trends should start to improve and turn positive again?"
"51","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","So we expect to continue to see pressure in the back half of the year. We believe that we'll start to see some improvement, but there are a couple of things that are really impacting share. So one certainly is around category mix, with refreshment and sweets being stronger than we had anticipated. Chocolate should improve, and we are focused on increasing our level of innovation to be even more competitive, and we'll be in a better position to do that as we continue to have more capacity come online..."
"52","Alexia Howard","Analyst at Sanford C. Bernstein","Great -- go ahead -- I'm sorry, no, I was going to say, moving on to Salty Snacks. You talked about a double-digit decline, I think, in the fourth quarter because of the transformation. Is that choppiness expected to persist into 2024?"
"53","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","No, not at this stage. Really, it's just Q3, we'll be getting ready and building inventory for the switch over. Q4 will be the switchover and the recovery. And so by the time we get to the first quarter, we'd expect to be back on -- back or very close to a regular glide path. Yes."
"54","Alexia Howard","Analyst at Sanford C. Bernstein","Great. Thank you very much. I'll pass it on."
"55","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","You bet."
"56","Operator",NA,"Thank you. Our next questions come from the line of Matt Smith with Stifel. Please proceed with your questions."
"57","Matt Smith","Analyst at Stifel Nicolaus","Hi. Good morning. Steve, I wanted to dig in a little bit on gross margin. You had a really solid first half with margin expansion up near 100 basis points. And you again increased the margin expectations for the year. So could you talk about the drivers of margin expansion relative to your initial expectations? And what's weighing on the expansion in the second half relative to the performance in the first half? Is that tougher comparisons in relation to the balance of pricing and inflation? Or are there other factors at play, like increased promotion?"
"58","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Sure. Yes. We're pleased with the gross margin performance through the first half. And we've had a few things, I think, that have broken our way. We've seen less inflation in things like packaging and logistics and even some material costs. Our productivity progress has been strong. I think -- feel really good about where we're at the midyear mark on productivity. And then of course we've had pricing drop through. So all of those have worked in our favor and will continue to some degree as we go to the back half. If you look at the back half, taking the volume impact, we're going to have some more fixed cost absorption impact that will be a little bit of a weight.

And again, we've got hedging against commodities, but still from a year-over-year and beginning of the year, end of year perspective, we still have a bit more cost for some of the inflationary commodities, cocoa and sugar, smaller weights. And again, smoothed out by hedging, but still some impact. Those would probably be the two biggest drags as we look to the back half. But again, overall, I still feel confident in taking our guidance up and the team is doing a nice job managing the cost side."
"59","Matt Smith","Analyst at Stifel Nicolaus","Thank you for that. And just as a follow-up, if I understood what you were saying about the second half. There should be a nice gross margin benefit in the third quarter as you build inventory with retailers ahead of the cutover in Salty Snacks. Is that right?"
"60","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Yes. Yes, we'll get some benefit. Again, Salty is not the biggest business, but we will get some absorption benefit as we build inventory in Salty, yes."
"61","Matt Smith","Analyst at Stifel Nicolaus","Okay. Thank you for that. I'll pass it on."
"62","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","Thank you."
"63","Operator",NA,"Thank you. Our next questions come from Cody Ross with UBS. Please proceed with your questions."
"64","Cody Ross","Analyst at UBS Group","Good morning. Thank you for taking our questions. A couple of housekeeping ones and then a longer-term one in nature. First one, I think you spoke about inventory headwinds in the quarter. I think they were lapping the inventory replenishment last year and the pull forward of sales into 1Q from 2Q. Is that correct? And if so, can you quantify each one for us?"
"65","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","It is correct. In terms of breaking out the pieces. There's about 300 basis points we attribute to the last and about a 150 basis point shift relative to Q1 order of magnitude."
"66","Cody Ross","Analyst at UBS Group","Other housekeeping question. Just as far as the 4Q, I think you guys said that sales should be down double digits in the Salty business due to the ERP implementation. Can you just quantify that for us or give us an expectation for magnitude? And then just one last one."
"67","Steve Voskuil","Senior Vice President, Chief Financial Officer at Hershey","In terms of dollars? Or..."
"68","Cody Ross","Analyst at UBS Group","Yes, the dollars that you're expecting from the implementation."
"69","Melissa Poole","Vice President, Investor Relations at Hershey","Yes, we get that..."
"70","Michele Buck","Chairman of the Board, President and Chief Executive Officer at Hershey","Yes. It's a double-digit decline Cody, we're not going to go any more specific than that."
"71","Cody Ross","Analyst at UBS Group","Understood. And then last question, just on the competitive environment. There's been a lot of news in the headlines lately about private label and other branded competitors becoming more competitive. What are you seeing in a competitive -- in the competitive environment? I know you said you'd seen branded players pick up more innovation. Besides that, are you seeing any step-up in promotions? And what's kind of your expectation going forward?"
