"","speaker","title","msg"
"1","Operator",NA,"Good morning. Thank you for attending today's IFF Second Quarter Conference Call. My name is Megan, and I'll be your moderator for today's call. All lines will be muted during the presentation portion of the call with an opportunity for questions and answers at the end.

I would now like to pass the conference over to Michael DeVeau. Michael, please go ahead."
"2","Michael DeVeau","Senior Vice President, Corporate Finance and Investor Relations at International Flavors & Fragrances","Thank you. Good morning, good afternoon and good evening, everyone. Welcome to IFF's second quarter conference call. Yesterday afternoon, we issued a press release announcing our financial results. A copy of the release can be found on our IR website at ir.iff.com.

Please note that this call is being recorded live and will be available for replay.

Please take a minute to review our forward-looking statements. During the call, we'll be making forward-looking statements about the company's performance and business outlook. These statements are based on how we see things today and contain elements of uncertainty. For additional information concerning the factors that can cause actual results to differ materially, please refer to our cautionary statement and risk factors contained in our 10-K and press release.

Today's presentation will include non-GAAP financial measures, which exclude those items that we believe affect comparability. A reconciliation of these non-GAAP financial measures to their respective GAAP measures is set forth in the press release.

With me on the call today is our CEO, Frank Clyburn, and our Executive Vice President and Chief Financial and Business Transformation Officer, Glenn Richter. We will begin with prepared remarks and then take any questions that you have.

With that, I would now like to turn the call over to Frank."
"3","Frank Clyburn","Chief Executive Officer at International Flavors & Fragrances","Thanks, Mike. And thanks, everyone for joining today for an important discussion on our business performance and the critical actions underway to create an even stronger IFF.

As you are aware, recent results from across our industry in many of our largest customers has clearly demonstrated that macroeconomic headwinds continue largely unabated. This environment has challenged financial performance of IFF and our peers in the first half of 2023 and has resulted in a more cautious outlook for the remainder of the year.

However, despite this tough environment, it is also important that we highlight the significant progress we are making on transforming and strengthening IFF's business.

Consequently, today we will share promising early results from the strategic transformation initiatives we have been discussing with you as well as some additional actions we're taking, summarize our performance for the second quarter 2023 and outline the additional steps we are taking to drive shareholder value creation at IFF. Then we will be happy to take any questions you have at the end.

With that in mind, on slide 6, I'll begin with a quick summary of the key takeaways for the second quarter, which I will unpack further here in the next few slides, including the actions we're taking to progress our strategic transformation.

First, amid the current operating environment facing the industry, including temporary destocking, IFF is performing broadly in line with peers, excluding functional ingredients.

Second, consistent with our invest, maximize and optimize framework that we introduced in our 2022 Investor Day, we continue to broaden our portfolio optimization efforts, including through strategic non-core divestitures.

Third, we've outlined as clear operational improvement plan to drive improvement within our functional ingredients business. And lastly, our work behind the scenes to strengthen our organization is paying off as we're making strong progress in terms of our strategic initiatives to ensure IFF is well positioned for long term success as market conditions begin to improve.

Let me now unpack each of these a bit further. Turning to slide 7. Amid the current operating environment, Q2 results were mixed as comparable currency neutral sales growth for the second quarter was down 4%. Strong results in Scent and Pharma Solutions were more than offset by softness in H&B and Nourish, particularly functional ingredients.

From a profitability perspective, our adjusted operating EBITDA was in line with our guidance range, excluding a one-time inventory write-down due to unprecedented cost fluctuations for one ingredient, locust bean kernel.

Our focus on cash flow generation has yielded solid results, improving sequentially and versus the prior-year period, as we successfully executed on our inventory reduction same program.

Now as we look to the bounce of the year, the pace of industry recovery that we expected is not materializing according to our original expectation. Consumer demand remains soft and temporary customer destocking trends are continuing. As a result, we have adjusted our expectation for the full year 2023, lowering sales to $11.3 billion to $11.6 billion, entirely driven by lower volumes. For the full year, we expect volumes to now be down mid to high-single digits versus roughly flat previously.

Our adjusted operating EBITDA range is now $1.85 billion to $2 billion as favorable net price to inflation and enhanced productivity are more than offset by lower volume, higher manufacturing absorption costs related to our inventory reduction program, and the impact of the write-down of LBK inventory.

Approximately 75% of IFF's business including Scent, Pharma Solutions, H&B, flavors and food design are performing broadly in line with industry peers. The one area where we have significant opportunity to accelerate is the functional ingredients business where we are aggressively implementing an operational improvement plan. I will share more in a moment.

On slide 8, looking at our business more broadly, we're continuing to accelerate our portfolio optimization initiatives to maximize returns and deleverage our balance sheet according to plan. We're investing behind to maximize our high return businesses, while optimizing other businesses, including through additional divestitures across all three categories -- invest, maximize and optimize -- within our strategic framework.

We've made significant progress on this front, with the recently completed sales of our microbial control, savory solutions and flavor specialty ingredients businesses. We're continuing that momentum as we launch the sale process for Lucas Meyer Cosmetics, aligned with our best owner mindset. This is consistent with our mindset of ensuring each of our businesses has the resources and ownership most conducive to long term success and maximum returns.

For LMC, specifically, it is a fantastic business and I have no doubt that it will continue to prosper under new ownership. And for IFF, it would allow us to reduce outstanding debt while continuing to invest in our most core and accretive businesses.

We have also hired J.P. Morgan to explore additional divestiture actions within the portfolio as a pathway to accelerate, deleverage and unlock further value creation for our shareholders. We are reviewing all options, consistent with our strategic framework, and we will only pursue opportunities that are value accretive for our shareholders.

A key part of our approach is that we will not look to divest assets at depressed multiples, especially those that are impacted by temporary destocking trends. Instead, we believe there's more value creation from improving these businesses before divesting.

On slide 9, I wanted to put this in today's presentation to show the dynamics we are seeing across the portfolio. As you can see from the slide, the vast majority of our portfolio from 2021 through the first half of 2023 has performed near or at expectations volumetrically. On a quarterly average basis, even amongst this unprecedented macroenvironment over the past two years.

Also, when comparing with our peers, we believe that these businesses are largely performing in line with them based on our business mix. The main business has been functional ingredients with quarterly average volumes down approximately 6% during that same timeframe.

The message is similar. If we analyze our volume performance on a first half 2023 basis, the volumes for functional ingredients is down approximately 20% versus a mid-single digit decline for the rest of the business. Based on this, and as I mentioned on the first quarter call, we have been taking immediate action to improve functional ingredients performance, while continuing to invest in our high return businesses that make up the bulk of IFF by revenue -- Scent, H&B, Pharma and the other categories within our Nourish division.

On slide 10, I would like to focus on functional ingredients in particular. Digging deeper into functional ingredients and what has happened. Overall market declines and alternative protein consumption, including demand decline for plant based products, persistent supply chain challenges, given the macro backdrop since the pandemic, and more aggressive inventory management by customers have collectively contributed to pressure on functional ingredients.

Looking forward, while food demand volumes are beginning to stabilize and service challenges across the entire supply chain have improved, we do expect customer destocking to persist through the second half of the year based on what we're hearing from our customers. This destocking, while temporary in nature, will continue to pressure our functional ingredients volume as we move through the second half.

Now moving to slide 11. Our plan includes several near term actions to improve performance in functional ingredients. First and foremost, there are clear opportunities to enhance our go-to-market approach with several key customers and accelerate our pipeline to win more opportunities.

Since the early part of the year, we have hired over 50 new commercial professionals entirely focused on functional ingredients to pursue incremental market opportunities. We are already seeing early signs of improvement with a strong and growing pipeline.

The second opportunity is strengthening our operating model. We will be disciplined in our approach from a productivity and operational excellence perspective, delivering 2% to 4% of annual productivity and also as we think strategically about how to allocate capital to this business to deliver strong ROIC growth.

We have also made the decision to report functional ingredients to provide increased transparency on performance and ensure increased management accountability with well-defined KPIs.

Lastly, we are working to significantly reshape the functional ingredients portfolio for success. This means increasing the competitive edge of our successful core product lines, while modifying or discontinuing those that have proven not to be additive to the portfolio.

The net result of this operational improvement plan, supported by our new leader in Nourish and functional ingredients, will allow us to grow sales in line with the market and deliver a mid-teen adjusted operated EBITDA margin over the next three years. We expect that, through this plan, plus the elimination of more transitory challenges, such as the LBK inventory write-down and negative absorption, we will see a meaningful improvement in 2024.

Moving to slide 12, I would like to now focus on the significant progress we are making against our strategic plan as we seek to be the premier partner, build our future and become one IFF. Despite the current macroenvironment we see our industry in, our teams around the world are putting in the work to ensure we are setting ourselves up to capitalize as economic conditions begin to normalize.

Our commercial excellence initiatives are yielding strong results. We have greatly improved customer service performance, identified more than $250 million in new growth opportunities in 2024 and beyond, and are expanding the sales pipeline up more than 50% year-over-year across all divisions.

We are building our future and extending our leadership in R&D, with 15 new technology launches year-to-date and an expected revenue contribution exceeding $100 million. At the same time, our focused productivity initiatives yielded approximately $140 million in savings through the first half of the year.

We're optimizing our portfolio to focus on our highest growth, highest margin businesses through selective divestitures, which will complement our efficiency objectives as we meet our deleveraging targets.

Lastly, we're making exciting progress in building a more unified IFF. We're finalizing our transition to our new customer aligned operating model, which will be completed in the first quarter of 2024.

We've also continued to enhance our culture and deepen our bench of world class talent. In June, we appointed Yuvraj Arora, an experienced CPG executive who previously led US categories for Kellogg as president of our Nourish division. With our leadership team and incentive structure now in place, the organization is poised for sustainable profitable growth and expansion.

Now on slide 13, I would like to highlight the strong improvements we have made in terms of our pipeline opportunity. Our scientific and technological expertise remains a key differentiator in the competitive market. We win by introducing new and unique capabilities to meet our customers' evolving needs. We're seeing the benefits of our refocused R&D and commercial excellence initiatives, including a more than 50% increase in opportunities so far in 2023 versus the same 2022 period. This increase is giving us continued optimism in the future potential of IFF.

In Nourish, increased opportunities across regions and categories has led to a greater than 60% pipeline inflow versus last year. Our recent notable wins included Xylitol, which is a sweetener used in bars, cereals and other confectionery goods.

In Scent, our compounds pipeline opportunity continues to be healthy and strong. Included in this was a significant win for our Boost Powder Detergent, a 100% active powder laundry detergent that is effective and safe to use on washable fabrics.

In Health & Biosciences. greater capacity is driving a robust pipeline in our cultures and food enzymes and our health and grain processing units. Included within this is a notable win in North America Probiotics, a dietary supplement that supports gut health.

And in Pharma Solutions, the pipeline has doubled while the team has delivered key wins in METHOCEL, a plant-based, water soluble functional ingredient that supports dietary supplement manufacturing in a high growth category.

Collectively, our team's creativity and efficiency in bringing innovative solutions to market provides confidence in our ability to strengthen our long term leadership as the preferred partner for CPGs worldwide.

Moving to slide 14, our management team is aligned on key objectives essential to IFF's success as market conditions normalize, turning IFF into a leader in high value innovative solutions.

Through the second half of this year and beyond, we are focused on accelerating growth and maximizing shareholder value, expanding our margin, enhancing our return on capital and improving our leverage ratios.

We believe we have a strong, achievable plan in place to ensure we are well positioned to rebound growth and profitability and continuing executing on our broader strategic transformation in 2024 and beyond.

I will now turn it over to Glenn to discuss our second quarter performance and financial position entering the second half of 2023."
"4","Glenn Richter","Chief Financial and Business Transformation Officer at International Flavors & Fragrances","Thanks, Frank. Turning to slide 15. In Q2, IFF generated $2.9 billion in sales, with comparable currency neutral sales declining 4%. A strong performance in Scent and Pharma was offset by softness in Nourish and Health & Biosciences.

Our pricing continues remain strong in the second quarter, as it was up high-single digits. However, volume in the quarter declined low-double digits, about twice the decline anticipated in the quarter.

To provide some more color on volumes, Scent and Pharma were largely in line with expectations, while H&B underperformed in large part due to soccer volume performance in health. The majority of our underperformance of our overall volume decline in the quarter, approximately 60%, was attributable to functional ingredients. Excluding the impact of functional ingredients, IFF volume would have only been down mid-single digits.

Adjusted operating EBITDA was $510 million, down 18% year-over-year on a comparable currency neutral basis, largely driven by unfavorable manufacturing cost absorption of approximately $55 million and a $44 million write-down of inventory related to unprecedented cost fluctuations for locust bean kernel. As Frank mentioned earlier, excluding this one-time LBK write-down, our adjusted operating EBITDA would have been $554 million, within our previously communicated guidance range of $540 million to $590 million.

Adjusted EPS excluding amortization was $0.86 in the quarter, impacted by lower profitability.

Taking a closer look at our profitability performance on slide 16. Excluding the unfavorable manufacturing absorption rate related to our inventory reduction program and the inventory write-down of LBK, comparable adjusted operating EBITDA would have declined 3% on a currency neutral basis versus the previous year. We continue to benefit from strong pricing and productivity gains.

However, as you can see from the slide, the biggest driver impacting profitability in the quarter was the decline in volumes. This volume decline is most pronounced in our Nourish business, driven by functional ingredients. As noted, volumes across our Scent and Pharma Solutions businesses, met expectations and H&B was modestly behind.

Turning now to slide 17. I'll provide a look at our second quarter performance by business segment. As we've noted, continued weakness in functional ingredients impacted Nourish performance overall, with strong results in flavors and food design and in line with peers.

Pricing and productivity gains were more than offset by lower volumes, unfavorable manufacturing absorption and the LBK inventory write-down.

Turning to Health & Biosciences, strong results from certain segments, including cultures and food enzymes, grain processing and home and personal care, were offset by volume decline in health, driven primarily by the continued soft market conditions across the probiotics and broader dietary supplements markets. From a profitability perspective, pricing and productivity gains were more than offset by lower volumes and unfavorable manufacturing absorption.

Scent continued to remain resilient, performing strongly this quarter, led by double-digit growth in consumer fragrance and high-single digit growth in fine fragrance, with solid contributions from both volume and price. This, coupled with strong productivity, led to growth and margin expansion across the division.

These initiatives also drove strong growth in Pharma Solutions, which saw a 16% increase in adjusted operating EBITDA on a comparable currency neutral basis, led by solid performance in our core pharma business and ongoing pricing and productivity gains.

Turning to slide 18. Cash flow from operations totaled $375 million this quarter as a result of our very focused efforts to drive strong working capital improvements and right-size our inventories. We are ahead of target, having achieved approximately $320 million inventory reduction year-to-date after normalizing for LBK write-down.

I would like to reiterate that while this inventory reduction program is adversely impacting the P&L through negative manufacturing absorption, it is a short term impact that we will be covering over time.

CapEx for the first half was $290 million or approximately 4.9% of sales. Given this, our free cash flow position for the quarter has improved sequentially from last quarter and was $85 million in Q2. Included in our free cash flow is about $160 million of costs, primarily related to integration and transaction-related costs.

We also distributed $413 million of dividends to our shareholders.

In Q2, our cash and cash equivalents totaled $641 million. Additionally, net debt for the quarter totaled approximately $10.6 billion, with net debt to credit adjusted EBITDA of 4.5 times. Our trailing 12-month credit adjusted EBITDA totaled approximately $2.2 billion.

Improving our leverage profile and ensuring IFF continues to meet its deleverage commitments remains a top priority. And I am pleased with the strong working capital improvements made to date. With the initiatives in flight, including our portfolio optimization efforts, IFF is on a path to delever according to our plan through the rest of 2023 and into 2024. As we mentioned, we remain laser focused on achieving our target leverage profile through improved cash flow and the portfolio actions and other strategic initiatives we've discussed today.

Moving to slide 19. Like many in our sector, we continue to navigate this unprecedented market environment. Consequently, we now expect many of the challenges that we faced through the first half of the year to continue through the second half of the year, including customer destocking and related consumer demand visibility constraints.

And as a result, we have revised our second half outlook. Importantly, we remain intently focused on the levers that we can control, including accelerating sales growth, delivering positive price inflation margin, delivering on our identified productivity initiatives, while also seeking additional efficiency opportunities, and driving continuous improvement in cash flow. Ultimately, these actions will strengthen the platform and better position IFF for when the environment improves.

On slide 20 is our updated financial guidance. We are now expecting net sales to be in a range of $11.3 billion to $11.6 billion. While our new guidance reflects softer revenue expectations across all businesses, our lower expectations in functional ingredients accounts for the majority of the revenue change.

For the full-year 2023, we are expecting functional ingredients volumes to be down double digits. However, the rest of the business to be down low-single digits amid continued and temporary customer destocking.

For the second half of 2023, we expect sales to be between $5.3 billion and $5.6 billion, with comparable volumes flat to down by single digits. At the midpoint of our volume guidance range, our two-year average volume is down 4%, which is consistent with what we delivered in the first half.

Also, please remember that included in our first half 2023 results are approximately $300 million in sales, and approximately $30 million EBITDA related to our savory solutions and FSI divestitures. With these transactions closed at the beginning of June and August, respectively, our second half of 2023 financials will be lower by these amounts.

For full-year 2023 adjusted operating EBITDA, we now expect to be between $1.85 billion and $2 billion, which is lower than our previous guidance. This is driven by three factors -- our reduced volume expectations, $80 million more of higher absorption costs and the $44 million LBK inventory write-down.

We are now expecting our full-year inventory reduction to be approximately $425 million. And as a result, the absorption related to our inventory reduction will be approximately $180 million impact to profitability for the full year. To reiterate, this is a one-time transitory impact to the P&L in order to maximize cash flow moving forward. We remain committed to driving working capital improvements through our inventory reduction program as we navigate this near-term complexity.

And finally, and very importantly, in light of this environment, we are maintaining strong cost discipline to drive enhanced productivity across the organization in order to protect profitability.

For our full-year expectations for interest expense, we now expect it to be around $425 million, mainly due to higher interest forecasts on short term debt and factory programs and a higher balance of short term debt due to lower earnings. And we also expect our effective tax rate for the year to be 21% or no change.

Foreign exchange headwinds are expected to continue to pressure sales and comparable currency neutral adjusted operating EBITDA growth, which we now expect to adversely impact us by 2% and 6%, respectively. This incremental pressure is due to a handful of hyperinflationary currencies that have moved against us in the first half of 2023 where FX was a 3 point headwind to sales and a 7 point headwind to adjusted operating EBITDA. And we expect that many of these currencies will continue to significantly devalue in the second half of 2023.

Now, I'll turn it back to Frank for closing remarks."
"5","Frank Clyburn","Chief Executive Officer at International Flavors & Fragrances","Thanks, Glenn. Our incredible teams around the world continued to deliver pioneering discoveries and strengthened our customer relationships, ensuring that IFF is the innovative engine behind the most critical and beloved consumer products.

These efforts are reflected in the solid results across the majority of our businesses despite the current environment, which gives me great confidence in our ability to deliver industry leading growth and profitability in the years ahead.

Our strategic plan is showing very encouraging early results. We are investing in opportunities for growth, innovation and enhanced productivity, and we're taking decisive action to manage through the volatile market conditions, refocusing functional ingredients with an operational improvement plan to strengthen operations and execution and progressing our deleveraging efforts through ongoing portfolio optimization efforts, including the launch of our cosmetic ingredients process.

Amid even this challenging market environment, we are making great progress transforming IFF into the leader in high value innovative solutions and the partner for our customers. The actions we're taking today and through the remainder of 2023 will create a stronger IFF capable of delivering significant value for shareholders and all of our stakeholders.

With that, I will open the call up for questions."
"6","Operator",NA,"[Operator Instructions]. Our first question comes from the line of Adam Samuelson with Goldman Sachs. Your line is open."
"7","Adam Samuelson","Analyst at The Goldman Sachs Group","Yes, thank you. Good morning, everyone. I guess just a question that we're getting a lot from investors is, as we look at the updated EBITDA guidance for the year, it does appear that you're going to be moving above your covenant threshold in the back half. And so, Glenn, you talked about being the -- kind of continuing to commit to deleveraging. Can you just comment on what that path looks like over the balance of the year? And in that context, how should we think about the dividends? And then what is the updated expectation for free cash flow for 2023? I don't think I heard an updated guidance number there."
"8","Glenn Richter","Chief Financial and Business Transformation Officer at International Flavors & Fragrances","Adam, thanks very much. Good morning. Great questions for start off here. Let me start off by reassuring everybody, I am quite confident that we will not trip our covenants. And the reason I am is because there are multiple levers that we can pull. And I'll get to your question about cash flow, but we've made very strong progress on working capital and other improvements in cash flow this year. In addition, we are well downstream on divestitures from a portfolio standpoint, as well.

And I would also remind you that there's a credit adjusted definition of EBITDA, which is different than the adjusted EBITDA number. So, obviously, there are a number of add backs relative to that calculation.

So, point one, very confident we will not have an issue with our covenant. Point number two is currently a change in our dividend is not on the table. And then point number three, relative to our cash flow forecast for this year, on a free cash flow basis reported, we're expecting to be about $100 million lower than our original guide. As reminder, we had a $600 million free cash flow for this year. We're forecasting for $475 million. As a reminder, within that $475 million, there are $450 million Reg G charges. So on an adjusted basis, we expect to be over $900 million. That compares to the $1 billion we started off. That $450 million, by the way, includes $250 million of transaction related. So, it's taxes, it's M&A, separation fees for the program control, FSI and savory solutions. Of the residual $75 million is related to the final integration activities with DuPont this year. And there's another $100 million plus that are largely related to the restructure that we've performed this year.

So, again, on an adjusted basis, we expect our free cash flow to be around $900 million versus the original $1 billion. Thank you."
"9","Operator",NA,"Thank you. Our next question comes from the line of Ghansham Panjabi with Baird. Your line is open."
"10","Ghansham Panjabi","Analyst at Robert W. Baird","Thank you. Good morning, everybody. I guess how does the operating backdrop in 2023 change how you're thinking about the financial commitments? Through 2026, I think you outlined at the Investor Day back in December. Maybe you can touch on the internal offsets you're pulling to account for the lowered volume baseline. I'm just asking because, at this point, your dividend outlay is unsustainable relative to rebased EBITDA starting point, as Adam pointed out?"
