"","speaker","title","msg"
"1","Operator",NA,"Good day, and welcome to the Lamb Weston Fourth Quarter Earnings Call. Today's conference is being recorded. At this time, I would like to turn the conference over to Dexter Congbalay, please go ahead, sir."
"2","Dexter P. Congbalay","Vice President, Investor Relations at Lamb Weston","Good morning and thank you for joining us for Lamb Weston's fourth quarter and fiscal 2023 earnings call. This morning, we issued our earnings press release which is available on our website, lambweston.com.

Please note that during our remarks, we'll make some forward-looking statements about the Company's expected performance that are based on how we see things today. Actual results may differ materially due to risks and uncertainties. Please refer to the cautionary statements and risk factors contained in our SEC filings for more details on our forward-looking statements.

Some of today's remarks include non-GAAP financial measures. These non-GAAP financial measures should not be considered a replacement for and should be read together with our GAAP results. You can find the GAAP to non-GAAP reconciliations in our earnings release.

With me today are Tom Werner, our President and Chief Executive Officer and Bernadette Madarieta, our Chief Financial Officer. Tom will provide some highlights from the past year as well as an overview of the current operating environment. Bernadette will then provide details on our fourth quarter results as well as our outlook for fiscal 2024.

With that, let me now turn the call over to Tom."
"3","Tom Werner","Chief Executive Officer at Lamb Weston","Thank you, Dexter. Good morning, and thank you for joining our call today. We delivered strong financial results in the fourth quarter and fiscal 2023. I want to start by thanking the entire Lamb Weston team for driving these results and their incredible commitment to supporting our customers. I'm proud of the work we did and continue to do, to grow our business and build momentum as we enter a new year.

Specifically in fiscal 2023, we delivered record sales of nearly $5.4 billion and drove strong profit growth in each of our core business segments through a combination of pricing actions, mix improvement and supply chain productivity. We acquired the remaining interest in our European joint-venture which added 1,500 new colleagues, six processing facilities and nearly 2 billion pounds of capacity. The business integration is well underway and we believe this strategic transaction strengthens our capabilities to serve customers as a unified global Lamb Weston.

We acquired a controlling interest in our joint venture in Argentina, and we broke ground on a 250 million pound capacity expansion, which will improve our ability to serve the growing South American market. We also made progress on major capital expansion projects in China, Idaho, and the Netherlands, all of which are on track to be completed within the next 18 months.

We opened an innovation center in Bergen op Zoom, the Netherlands, where in close partnership with our innovation center in Richland, Washington will develop and test new product and processing ideas for customers in Europe and around the world.

We launched new groundbreaking products with proprietary technologies that address customer and consumer needs in non-traditional frozen potato channels such as pizza outlets, expanding our total addressable market. We further stabilized our supply chain by targeting staffing levels and managing through the second consecutive challenging crop cycle, all while executing productivity initiatives and upgrading capabilities at our processing facilities.

We continued to strengthen our operational infrastructure by completing the design work for the next phase of our new enterprise resource planning system. We'll begin implementing this new system across a portion of our supply chain in North America later this year.

And finally, we returned more than $190 million to shareholders, including increasing our dividend for the sixth straight year and continuing to execute against our share repurchase plan. I'm especially proud that we delivered this performance in a highly challenging operating environment, and I'm excited to see what our Lamb Weston team can deliver in fiscal 2024 and beyond.

Let me now turn to the current operating environment. The overall global frozen potato category remains healthy. The fry attachment rate in the U.S., which is the rate at which consumers order fries when visiting a restaurant or other food service outlets, was largely steady throughout fiscal 2023 and remain well-above pre-pandemic levels. Servings in Europe and our other key international markets also held up well. However, the cumulative effect of inflation and other macro pressures on the consumer over the past few years have continued to temper traffic in certain restaurant channels.

In the quarter, total restaurant traffic in the U.S. grew versus the prior year quarter as QSR traffic growth more than offset declines in casual dining and full-service restaurants. However, total traffic growth decelerated sequentially each month during the fourth quarter as QSR traffic growth slowed and as traffic declines in casual dining and full service restaurants softened further. Overall restaurant traffic picked up in June behind strength in QSRs; however, traffic at casual dining and full service remained soft.

We expect the near-term demand may be somewhat choppy because of the variabilities of restaurant traffic trends and continued macro pressures on the consumer, which makes forecasting global demand for frozen potatoes very difficult. As a result, we incorporated a cautious view of demand and volume when developing our physical 2024 financial targets. Despite this added volatility, we remain confident in the long-term growth prospects of the global category and will continue to invest behind the capabilities to support that growth across our key markets.

With respect to cost and pricing, while we expect input cost inflation to moderate relative to the double-digit rates that we experienced in each of the last two fiscal years, we believe it will continue to have a meaningful impact on our cost structure. We expect most of our input cost inflation will be driven by higher contract prices for potatoes. In North America, we have agreed to a 20% increase for this crop -- this year's crop, while in Europe, we have agreed to an increase of 35% to 40%.

We believe the overall environment for inflation-driven pricing actions remains generally favorable. However, it's important to note that any price actions that we may take this year will likely be more modest than what we implemented in fiscal 2023, given that, first our pricing actions last year were intended to catch up to the effect of multiple years of high inflation; and second, we expect total input cost inflation to grow at a lower rate.

Although we expect pricing actions will continue to be the primary lever to offset inflation over the long-term, we'll continue to drive improvements in product and customer mix, resulting from our revenue growth management initiatives as well as supply chain productivity to benefit sales growth and profitability.

With respect to the upcoming potato crop, we're harvesting and processing the early potato varieties and initial indications are that this portion of the crop, which represents about 10% of our potato needs in North America this year is broadly consistent with historical averages. At this time, the crops in the Columbia Basin, Idaho, Alberta and the Midwest that will be harvested in the fall, appear to be largely in-line with historical averages as growing conditions in these regions have been generally favorable.

In Europe, a wet and cold spring impacted planning which may delay the timing of the harvest in some of our growing regions. We'll provide more detail on the crop when we report our first quarter results in early October, in line with our past practice.

Before Bernadette shares details on our fourth quarter financial performance and fiscal 2024 outlook, I'd like to update you on a change we're making to our reportable segments. Effective at the start of fiscal 2024, in connection with our recent acquisition and to align with our expanded global footprint, we began managing our business in two reportable segments, North America and International.

The North America segment includes products sold in restaurant, foodservice and retail channels in the U.S., Canada and Mexico, including our large multinational chain customers. The International segment includes products sold in restaurant, foodservice and retail channels outside of North America.

These two segments, as well as our global supply chain will report to Mike Smith, our Chief Operating Officer. Mike's role is focused on execution and is designed to help us drive growth and unlock efficiencies by providing a truly end-to-end view of our global business. I'll continue to maintain responsibility for driving our long-term strategies and priorities, including allocating capital and resources to support sustainable profitable growth and create value for our stakeholders. We'll begin to provide our financial results under the new reportable segments with our first quarter results.

So, in summary, we delivered a record year of sales and earnings growth and continue to build operating momentum across each of our core segments. While near-term demand may be difficult to predict, the category remains healthy and we remain confident about its long-term growth prospects.

And finally, at this time, the potato crop in North America is largely in-line with historical averages, while late planning may delay the harvest in Europe.

Let me now turn the call over to Bernadette."
"4","Bernadette Madarieta","Chief Financial Officer at Lamb Weston","Thanks, Tom, and good morning, everyone. I want to also thank the Lamb Weston team for finishing the year strong and setting us up well for fiscal 2024. Let's begin with our fourth quarter results. Sales were up more than $540 million versus the prior year quarter or 47% to a quarterly record of just under $1.7 billion. That's at the high-end of our targeted range for the quarter.

About $380 million of the increase was attributable to the consolidation of our EMEA and Argentina operations. The EMEA amount is above the high end of the targeted $300 million to $325 million range for the quarter, reflecting a strong benefit from pricing actions. Excluding incremental sales from these acquisitions, net sales grew 14%. Price-mix was up 24% as we continued to benefit from pricing actions taken in fiscal 2023 across each of our business segments to counter input and manufacturing cost inflation.

As expected, price-mix in the quarter decelerated sequentially from the 30% or more increase that we delivered in our second and third quarters as we largely lapped all the pricing actions taken in fiscal 2022. In addition, we received no year-over-year benefits from freight rates charged to customers as we reduced these rates further to match the decline in our transportation costs. While we expect lower customer freight rates will soon become a year-over-year headwinds for price-mix, our goal is to match these to our transportation costs so that their effect on our profits is neutral overtime.

Our overall sales volumes in the quarter declined 10% due to four factors. The first and primary driver was our continued effort to strategically improve our product and customer mix by exiting certain lower-priced and lower-margin business across our domestic and international portfolio.

Second, demand was tempered by softer casual dining and full-service restaurant traffic in the U.S. This had a more pronounced effect on our Foodservice segment and drove much of the decline in that segment's volume in the quarter. Third, certain customers in international markets began to right-size inventories after carrying unusually high levels of inventory to de-risk their supply chains during the pandemic.

And fourth, certain large retail customers temporarily lowered prices to right-size inventories of private-label products, delaying shipments of products that we produced on their behalf. In addition, we realized some acceptable levels of branded product volume elasticity in response to the inflation-driven pricing actions that we implemented over the past year.

Moving on from sales, our gross profit in the quarter, excluding comparability items, increased more than $170 million to nearly $425 million. About 40% of the increase was attributable to the incremental earnings from consolidating EMEA. The remainder was driven by the cumulative benefit of pricing actions, mix improvement and supply-chain productivity in our legacy Lamb Weston business, which more than offset higher input and manufacturing cost per pound and the impact of lower volumes.

Gross margin was up more than 300 basis points to 25.1%, despite absorbing the dilutive impact on margin of the EMEA acquisition. Input costs increased high-single-digits on a per pound basis, easing somewhat from the double-digit inflation rate earlier in the year. The increase in costs per pound were, again, largely driven by a 20% increase in the contracted price for potatoes in North America, significantly higher prices for open-market potatoes due to poor yields from the 2022 crop, and continued increases in the cost of labor, energy, edible oils and ingredients for batter coatings.

Our higher per pound costs also reflected reduced fixed-cost coverage due to lower throughput as we did take some extended downtime for planned maintenance in some of our production facilities, and increased write-downs of inventories, primarily consisting of bulk and obsolete finished goods.

Our SG&A expenses, excluding comparability items, increased $65 million to $183 million. About half of the increase was from incremental SG&A with the consolidation of EMEA, while the other half was primarily driven by three factors. First, higher compensation and benefit expenses due to improved operating performance; second an $8 million increase in advertising and promotion expenses as we restore support behind our branded products in our Retail segment to historical levels; and third, higher expenses related to improving our IT and ERP infrastructure.

Adjusted EBITDA including joint-ventures increased $117 million or 59% to $318 million, with higher sales and gross profit driving the growth.

Moving to our segments. Sales in our Global segment were up 85% in the quarter and included the $380 million of incremental sales from the EMEA and Argentina acquisitions. Net sales excluding the acquisitions grew 17%. Price-mix was up 28%, which is largely comparable to the increases in the previous two quarters. The increase in price-mix reflects the carryover benefit of the domestic and international pricing actions that took effect in our fiscal second and third quarters.

Volume declined 11%, primarily reflecting the impact of exiting certain lower-priced and lower-margin business in international and domestic markets and the inventory destocking by certain customers in international markets that I mentioned earlier. Global's product contribution margin, excluding comparability items, increased about $145 million. More than half of the increase was from the cumulative benefit of pricing actions, mix improvement and supply chain productivity, more than offsetting higher costs per pound and lower volumes. Incremental earnings from EMEA, which was above our target for the quarter drove the remainder of the increase.

Sales in our Foodservice segment grew 4%, a notable deceleration versus the 17% that we delivered through the first three quarters of the year. Price-mix was up a healthy 13%, but lower than the 26% that we posted through the first three quarters as we fully lapped our pricing actions taken in fiscal 2022 and realized no tailwind from transportation rates. As expected, the price increase that we began to implement in May only had a modest impact in the quarter. So, we'll see more benefit come through in early fiscal 2024.

Sales volumes were down 9%, which is consistent with the prior three quarters. We attribute most of the decline to the impact of softer casual dining and full-service restaurant traffic, although we also continue to realize the impact of exiting some lower-priced and lower-margin business. Foodservice's product contribution margin fell about $3 million. Lower volumes drove the decline as higher price-mix more than offset the impact of higher cost per pound.

Sales in our Retail segment increased 25%. Price-mix increased 35%, driven by pricing actions across our branded and private-label portfolios that we began to implement in February to counter input cost inflation. Trade support during the quarter remained below historical levels, given category demand. Volume fell 10%, largely reflecting the challenges that I described earlier for private-label products.

Retail's product contribution margin increased more than $40 million and its margin percentage expanded 140 basis points to nearly 38% as the cumulative benefit from pricing and mix improvement actions over the past couple of fiscal years more than offset higher cost per pound.

Moving to our liquidity position and cash flow, we continue to maintain a solid balance sheet with ample liquidity and a low leverage ratio. We ended the quarter with about $305 million of cash and no borrowings under our $1 billion U.S. revolver. Our net debt was nearly $3.2 billion at the end-of-the fourth quarter. Using EBITDA on a trailing 12-month basis, which only includes a single quarter of EMEA's earnings, our leverage ratio is 2.6 times.

We remain focused on creating value for our shareholders. Our capital allocation priorities remain the same and we continue to prioritize investing in our business to drive long-term growth as well as returning capital to our shareholders through dividends and share repurchases to offset management dilution.

In fiscal '23, we generated more than $760 million of cash from operations or $340 million above last year, largely due to higher earnings. Capital expenditures were about $735 million, which is up $430 million from the prior year. This increase is largely related to construction costs as we continue to expand processing capacity. For the year, we returned more than $190 million of cash to shareholders including $146 million in dividends and $45 million in share repurchases.

Now, let's turn to our fiscal 2024 outlook. We're taking a prudent approach to our financial targets for the year. Overall, we anticipate that the operating environment will continue to be challenging with inflation and other macro factors affecting our cost structure. Restaurant traffic and consumer demand. In addition, we expect our capacity to produce coated fries, specialty cuts and chopped and formed varieties such as puffs and hash browns, will remain constrained until our new production facilities in China and Idaho become available late in fiscal 2024.

For the year, we are targeting sales of $6.7 billion to $6.9 billion. This includes $1 billion to $1.1 billion of incremental sales attributable to the EMEA transaction during the first three quarters of the year, and net sales growth, excluding acquisitions, of 6.5% to 8.5%, which is above our long-term sales growth algorithm of low-to-mid single-digits. Note that since we began to consolidate EMEA sales beginning in the fourth quarter of fiscal 2023, those results are included in our last year's sales baseline when calculating our sales growth.

We expect sales growth excluding acquisitions to be largely driven by pricing actions, including both the carryover impact of actions taken in fiscal 2023 as well as any actions that we may take this year to counter input cost inflation. We also expect to deliver favorable customer and product mix as we continue to benefit from our revenue growth management initiatives.

As Tom noted, while we expect a solid contribution from price, we do not expect pricing actions to be at the same level as fiscal 2023. Outside of those customer contracts in our Global segment that have yet to be fully priced, we expect any future pricing actions will be largely in-line with the more modest rate of input cost inflation than what we've experienced in the past two fiscal years.

In addition, transportation rates that we charge the customers will likely serve as the price headwind as we continue to adjust rates to reflect lower freight costs. In fiscal 2024, we expect volume, excluding acquisitions, will continue to be pressured by our ongoing efforts to strategically manage product mix by exiting certain lower-price and lower-margin business. This strategy has proven to be beneficial to earnings and we continue to see opportunities across our domestic and international channels.

In addition, we're taking a cautious approach to consumer demand for two primary reasons. First, while QSR traffic has held up relatively well, casual dining and full-service restaurant traffic trends have softened in the U.S. over the past few months. Second, forecasting demand has become increasingly difficult due to conflicting data about the health of the consumer in the U.S., Europe and our key markets as a consequence of inflation, especially for food away-from-home; the expiration of temporary government assistance and other consumer support programs put in-place during the pandemic; employment trends and other macroeconomic headwinds.

Despite these near-term factors, we remain confident in the health and long-term growth prospects of the global category and we remain committed to investing in our people, production capacity and operations to support that growth. For earnings in fiscal 2024, we expect adjusted EBITDA, including unconsolidated joint-ventures of $1.45 billion to $1.525 billion, assuming potato crops in our primary growing regions are in-line with historical averages. Using the midpoint of this EBITDA range implies growth of more than 20% or about $260 million versus the prior year.

Looking at it another way, it's up $200 million more than our annualized second-half of fiscal 2023 run rate of $1.325 billion. In addition to incremental earnings from the Lamb Weston EMEA acquisition, we expect our earnings growth will be largely driven by higher sales and gross profit as we benefit from pricing actions, mix improvement, and supply-chain productivity. We're projecting that the increase in sales and gross profit will be partially offset by higher SG&A expenses. We're targeting total SG&A of $765 million to $775 million, which is up about $200 million.

In addition to inflation, the increase largely reflects incremental expenses attributable to the consolidation of our EMEA operations, increased investments to upgrade our information systems and ERP infrastructure, non-cash amortization of intangible assets associated with the EMEA acquisition as well as ERP investments we expect to place in-service during the year, and higher compensation and benefit costs due to increased headcount to support our growing business.

In addition to our operating targets, we expect equity earnings, which includes our Lamb Weston RDO joint venture in Minnesota to be $30 million to $35 million. We expect capital expenditures of $800 million to $900 million, as we continue construction of our previously-announced capacity expansion efforts as well as capital associated with our new ERP system and other IT upgrades.

So, to summarize our fiscal 2024 outlook. We're targeting sales of $6.7 billion to $6.9 billion, including $1 billion to $1.1 billion of incremental sales attributable to the consolidation of our EMEA operations. We expect our sales growth, excluding acquisitions, will be largely driven by price mix, with volume pressure due to our ongoing efforts to strategically manage customer and product mix and a cautious view of demand. And finally we're targeting adjusted EBITDA, including unconsolidated joint ventures of nearly $1.5 billion, using the midpoint of our guidance, which is an increase of 20%, and largely driven by sales and gross profit growth.

Lastly, as Tom mentioned, effective the beginning of fiscal 2024, we began managing our operations as two business segments, North America and International. In the coming weeks, we'll provide recast financial information for fiscal years 2021, 2022 and 2023 that is consistent with our new reporting segment structure, including quarterly results for the last two years.

And with that, let me now turn it back over to Tom for some closing comments."
"5","Tom Werner","Chief Executive Officer at Lamb Weston","Thanks, Bernadette. Let me sum it up by saying we are super proud of the team's strong performance in fiscal 2023 and believe that we're well-positioned to execute our strategies to deliver our financial targets for fiscal 2024.

We also remain committed to investing in our business to support customers around the world and drive people, new production capacity and operations to support sustainable, profitable growth over the long-term.

Thank you for joining us today, and now we're ready to take your questions."
"6","Operator",NA,"[Operator Instructions] And our first question is going to come from Andrew Lazar from Barclays. Please go ahead."
"7","Andrew Lazar","Analyst at Barclays","Thanks very much. Good morning, everybody."
"8","Tom Werner","Chief Executive Officer at Lamb Weston","Good morning, Andrew."
"9","Bernadette Madarieta","Chief Financial Officer at Lamb Weston","Hey, Andrew."
"10","Andrew Lazar","Analyst at Barclays","I guess as a starting point, as you talked about volume declines accelerated pretty significantly in fiscal 4Q versus 3Q and are expected to be pressured again in '24. I know a lot of that or even the majority is, is some of the actions that you're taking sort of purposely around product mix. But how much of this sequential change in volumes was due to the inventory destocking you mentioned. You know what I'm trying to get a sense of is, like, how does that square with the fact that -- my sense was, most customers are still clamoring for really more supply rather than less. And I guess, do you see this destocking behind you at this point? And then I've just got a follow up."
