"","speaker","title","msg"
"1","Operator",NA,"Good afternoon. My name is John, and I will be your conference operator today. At this time, I would like to welcome everyone to Live Nation's Second Quarter 2023 Earnings Call. Joining us today from Live Nation are President and CEO, Michael Rapino; President and CFO, Joe Berchtold; and Head of Investor Relations, Amy Yong.

And I would now like to turn the call over to Mr. Berchtold. Thank you, Mr. Berchtold. You may begin your conference."
"2","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Thanks, everyone, for joining us. As I think you noticed from our earnings release this time, based on some feedback that we've gotten on our release, and the materials, in general, we've switched it up this time to get a little more comprehensive and data-driven in terms of numbers and the facts. So you see in earnings release that we reduced the narrative and increased -- tried to give you more structured basis, all the key numbers, and then also put a trending schedule that, I think, there is a link too. You can get as a PDF or an Excel file, so you can track this quarter's numbers relative to history, to make some of it easier.

So I'll turn it over to Amy to give you a quick reminders, and then Michael and I will go straight into taking questions that folks have. Amy?"
"3","Amy Yong","Head - Investor Relations at Live Nation Entertainment","Thanks, Joe. We would like to remind you that this afternoon's call will contain certain forward-looking statements that are subject to risks and uncertainties that could cause actual results to differ, including statements related to the Company's anticipated financial performance, business prospects, new developments and similar matters. Please refer to our SEC filings, including the risk factors and cautionary statements included in our most recent filings on forms 10-K, 10-Q and 8-K for a description of risks and uncertainties that could impact the actual results.

We will also refer to some non-GAAP measures on this call. In accordance with the SEC Regulation G, we have provided definitions of these measures and a full reconciliation to the most comparable GAAP measures in our earnings release issued earlier today. The released reconciliation can be found under the Financial Information section on our website.

And with that, we're now ready to take questions. Operator?"
"4","Operator",NA,"Thank you. [Operator Instructions] And the first question comes from the line of Brandon Ross with LightShed Partners. Please proceed with your question."
"5","Brandon Ross","Analyst at LightShed Partners","Hey, thanks for taking the question. I think, investor concern now, if you were to pull the buy-side is that with the past few years coming out of COVID being so strong, you're going to have trouble growing next year. And I think the Street's only at mid to-high single-digit growth. I guess, this is a good problem to have, but you said, there are positive indications for '24, and wanted to see if you can break that down into domestic and international. So on the domestic side, what are the positive indications that you're seeing besides this very early pipeline? Will supply match what we've seen in the past couple of years? And then on international, obviously, LatAm has been a huge tailwind post-acquisition. You've seen some other green shoots in Asia and parts of Europe. Should we expect continued growth in those markets, or just more M&A on top?"
"6","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","So, Brandon, thanks. This is Joe. For starters, as I think you probably noticed, we put in the release that at this point, our confirmed shows and shows that we have offers in on our arenas, amphitheaters, stadium shows is up relative to where we are this point last year, coming into 2003. So we're seeing continued growth in the show count, which should lead to continued growth in attendance. As you know, our formulae is to drive that growth in attendance and from there, accelerate the AOI levels even higher with increasing per fan profitability on-site, increasing sponsorship, increasing our ticketing business.

So I think we're set-up for a very strong continued growth into 2024 across the board. A lot of that activity, these are the -- these are going to be shows you get the longest lead time on. So a lot of these are going to be global in nature cutting across both North America and international. As you noted, and as I think much of the release lays out, this has been a tremendous quarter for growth in international markets, up, I think, it was 46% fan growth so far this year, which, given that we were closed part of last year, we expected to see very strong growth, but we still think we're in the early innings.

If you take Latin America, we're up about 35% this year so far year-to-date, with roughly 10 million fans. But we think we're still in the earlier earnings in South America. We launched the Town Festival, already sold 400,000 tickets on our way to probably 500,000 tickets, which is unheard of for a festival in its first year. So as we continue to layer on our promoting business, bringing in our sponsorship business, bringing in our ticketing business throughout Latin America, that just continues to drive it forward.

In North America, again, a very good year this year and we're seeing this sort of growth that we think is possible ongoing. Year-to-date, up 8% in North America with the fan count, expect that to be double-digit fan growth in Q3, probably verging on double-digit fan growth for the full-year in North America as we are seeing top-to-bottom. We're seeing strong growth in theaters and clubs. Our amphitheaters are doing great, substantially up in number of fans attending per show and the high-end stadiums are doing very well. There is no -- I've seen some things talking about is the middle, how is the low-end, demand across all of those continues to be very strong."
"7","Michael Rapino","President and Chief Executive Officer at Live Nation Entertainment","And I'll just jump in just -- and Brandon, just on the -- just to reiterate the pipe, right, the most important thing for us is just how does the pipe look for next year. As you know, a year ago we sat here and I think everyone thought '22 was the record year and we were headed into an air pocket, and we've blown the doors off in '23. I would just step back, we believe for the next multiple years with this industry in general is going to have a growth surge on a global basis. We've talked all these factors before international, global artists, consumers, there are whole bunch of great articles written on why there's a boom happening in the live business on a long-term basis. So we don't think this is just any COVID catch-up. We think that this is going to be the time when live on a global basis is going to have an incredible growth run for years to come. We obviously benefit from that anytime the market gets this level of growth, because we'll capture that growth also. So we're looking at next year, we are seeing top-to-bottom, as Joe said, incredible pipe of artists that will be filling all of the different venue types and markets across the world. We're -- so we think we're headed to a very, very strong '24, '25 onwards. A combination of the market is going to grow, the consumer demand is growing and our ongoing bolt-on acquisitions, venues, new market entries, compounded on top of our organic growth is going to give us this continual one-two punch of growth for the next multiple years."
"8","Brandon Ross","Analyst at LightShed Partners","Thank you."
"9","Operator",NA,"And the next question comes from the line of Stephen Laszczyk with Goldman Sachs. Please proceed with your question."
"10","Stephen Laszczyk","Analyst at The Goldman Sachs Group","Hey. Great. Good afternoon. Just maybe on the outlook for consumer spending, there's been a lot made over the last couple of months about the impact of student loan payments starting up in the fall. Maybe for Joe, if you could just remind us what percentage of the concert-going base you think might be skewed toward this cohort? And then, maybe more broadly discuss how you're thinking about the risk that consumer spending pulls back maybe into the back half of the year and next year? Are there any parts of your business that you think are more or less exposed to perhaps festivals and just would be curious if you could dive a little bit deeper more -- more deeply into the demand side of the equation."
"11","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Sure, Stephen. Thanks. I think, first, just for context, I think, it's important to remember relative scale. So if you look at consumer spend, discretionary spend on goods versus experiences. As we know, it was in the high-60s in experiences, I think, this is a Goldman report that talks about this pre-pandemic, and then how that strapped and it hasn't yet caught up. So our analysis shows that the tailwind impact from getting experiences back as a portion of discretionary spend is about 10 times the impact of any potential headwind coming from the student loan payments needing to get made.

So we think that the tailwinds on that specific macro factor is far outweighs any headwinds. As Michael talked on a global basis, we continue to see this as a tremendous tailwind business as you cap further and further globalization of demand as we look at all the different pockets, as I mentioned earlier that the amphitheaters is an example of a mid level act. We're seeing high-single digit increases in attendance per show, which is really driven by a 10 -- more dwan [Phonetic] tickets being sold. So the people that you might say are going to be the most price-conscious are continuing to expand -- or continuing to spend strongly per-caps growing even as we're continuing to increase our number of fans per show, which again means that even the marginal fan just continuing to spend a lot when they show up. So we're not seeing any indicators that would give us any concern on any slowdowns."
"12","Stephen Laszczyk","Analyst at The Goldman Sachs Group","Great. Thanks for that. And maybe just one on Concerts segment margins. It looks like AOI margins were up year-over-year in the second quarter. I think there might have been some assumptions that margins would be pressured year-over-year, just given the mix of the slate towards stadium and arenas this year. So I'm curious what drove margin expansion in the quarter, and if you think this is a trend that will be sustainable for the rest of the year. Thank you."
"13","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Yeah. As we said in the last quarter, our expectation for the full-year on concerts is that you will see margin expansion relative to last year. You're correct that any fan in third-party buildings is generally going to be a lower margin than fans in our building. But the countervailing factor is that we continue to increase the per-fan profitability across all of the different venue types. So, as we increase that per-fan profitability through all the different ways that we have to monetize, then we're going to see some margin expansion. That comes from increased per-caps on our own building, it also comes from continuing to focus on the costs. I think, in particular, in North America, we've been very effective. If we look at our amphitheaters, if we look at our theaters and clubs globally, we've been able to actually drive down our average operating cost per fan this year relative to last year, which certainly helps with our margins."
"14","Stephen Laszczyk","Analyst at The Goldman Sachs Group","Great. Thanks, Joe."
"15","Operator",NA,"And the next question comes from the line of David Karnovsky with J.P. Morgan. Please proceed with your question."
"16","David Karnovsky","Analyst at J.P. Morgan","Hi. Thank you. I'm curious, with your voluntary all-in pricing initiative, I know you haven't implemented this yet, but curious what the reception has been so far from fans, clients, lawmakers. And then, can you discuss have you thought about any potential demand impact as for the shows at your venues, as I think now optically at least you're raising prices relative to maybe your competing locations, and then maybe for third-party venues that would opt-in, how you would think about the demand impact there? Thanks."
"17","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Sure. I think the general reaction has been overwhelmingly positive. People understand that getting the all-in price upfront is absolutely the best consumer experience. I think there is a lot of concern. There will be still confusion in the marketplace, because there will be a mix of all-in pricing at -- for shows on our sites and on the primary tickets on our sites and you go to secondary sites, you will see a different approach. So that's why we continue to support legislation that drives a consistent fan experience. Because we are the primary ticketing provider in these events, I think, it's our expectation, in general, that even that all-in primary price is generally going to still be lower than any secondary price even without service fees. So our experience thus far in New York or Louisiana that's recently implemented, we haven't seen any impact on our primary ticket sales."
"18","David Karnovsky","Analyst at J.P. Morgan","Okay. And then, Joe, for the $300 million of growth capex, want to see if you could provide any additional color around that, how would you bucket that between concerts and ticketing, and then within concerts new-builds or other growth initiatives. And then your release noted international locations, specifically for the Venue Nation pipeline. I'm interested do you now kind of see international as the key area where you're going to be adding venues."
"19","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Sure. I think if you look at the overall $300 million of spend, vast majority of it would be concert-driven; 75%, 80% of it would be on the concert side. If you look down on the concert side, I would put it in three buckets.

One is, where we're doing a lot of tactical improvements across a broad set of our amphitheaters or theaters and clubs around revenue-generating opportunities, putting in new bar designs, putting in additional points of sale, things that are going to tactically helped drive our APF levels. Second is, when we renew our amphitheaters or theaters and clubs, we often go through a capex refresh cycle, that because if we're going to have a long-term lease, we're going to able to get a strong return off of that investment. And then third would be the new-builds, whatever level generally coming in and building out the shell and taking on that building would be the third bucket. And it's going to move around year-to-year within those three, but those would be three large buckets.

And then in terms of the priority, it's absolutely international, Latin America, Asia and more in Europe is highest priority for the Venue Nation strategy. In the US, you benefit from having a strong arena infrastructure, because NBA, NHL, their teams and their affiliate teams provide you with some of that infrastructure that you don't tend to have in the rest of the world. So this lets us both benefit from strongly attractive returns on those venues, also let's us put on more shows for more fans, because we're putting that infrastructure in place that didn't previously exist."
"20","Operator",NA,"And our next question comes from the line of Stephen Glagola with TD Cowen. Please proceed with your question."
"21","Stephen Glagola","Analyst at TD Cowen","Thanks for the question. Joe, you're on track for selling 300 million fee-bearing tickets this year, which is, I think, 7% growth over '22. And the first-half ticket growth on fee-bearing was 22% year-over-year. So just maybe help us understand what's the slowdown in the second-half in ticketing, or is that just some conservatism in the numbers? And I had one more follow-up. Thanks."
"22","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Yeah. I think it's just you don't yet know what Q4 looks like in terms of timing with on-sales for shows next year. So I think we're confident in the 300 million number at this point with the visibility we have. When we're sitting here talking next, I think, we'll will have better visibility into what Q4 is and we'll guide from there."
"23","Stephen Glagola","Analyst at TD Cowen","Okay. Thank you. And then similarly on the ticketing margin side, you came in north of 40% again in Q2, you're reiterating high-30s in the back-half -- for the full-year, excuse me, implies sort of like a mid-30 margin in the back-half. So just similar to the revenue line, what's going on there sequentially, and puts and takes? Thanks."
"24","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Yeah. I think, it's a long talk. There's a lot of timing that happens with us in a given quarter. I think, you saw last year a lot of the same questions. We had lower margins in the second-half is we had a lot of costs associated with the contract renewal cycles and other factors. So, I think at this point, we're comfortable continuing to reiterate the high-30s for the margin, but not yet ready to get more specific than that."
"25","Stephen Glagola","Analyst at TD Cowen","Okay. And should we expect contract renewals again for Q3 similar to last year?"
"26","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","I don't think we're looking to guide a specific margin for a specific quarter as much as just give the overall year guidance."
"27","Stephen Glagola","Analyst at TD Cowen","Okay. Thank you. Thank you, Joe."
"28","Operator",NA,"And our next question comes from the line of Peter Supino with Wolfe Research. Please proceed with your question."
"29","Peter Supino","Analyst at Wolfe Research","Hi. Thank you. Question on international with it growing so strongly, more major tourists -- artists touring globally. Has your strategy changed at all? Does this back invite you to spend more money perhaps on international M&A or are there other things that you can do now with higher visibility to international demand that you might not have done in the past?

And a second shorter question just is on technology. There's all the controversy around bots and scalpers over the last year indicate that the Company could productively spend materially more on technology and solve some of those problems. Thanks."
"30","Michael Rapino","President and Chief Executive Officer at Live Nation Entertainment","Over the global part, Joe can -- I don't think the strategy has changed. I think if you've listened to us for the last five years or longer, we've been talking about that Live as a global business, the artist has been unlocked globally, consumers, thanks to social media and others are driving global consumption with no gatekeepers. So we are -- we're at 40 -- we have 100 offices in over 40 countries. We have been on this march for a long time. And we think there's still lots of opportunity, obviously, as we've talked about in Latin America, Pacific Rim, Eastern Europe, but kind of fan is following as we kind of predicted the artist would continue to go global, more global artists and international markets would want to be just like New York. And Boston would want to be hosting U2 and Beyonces of the world. So we had an opportunity to build-out those markets. So pedal down we see lots of great growth opportunity for years to come on that front."
"31","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","And on the bots, certainly, new technologies allow us to continue to get more sophisticated in trying to stop the bots. We're regularly working on both the technologies, as well as just new processes to try to weed out humans versus bots. Problem is, some of the same technologies is also being deployed by the bad actors trying to jump the line and get those tickets. And they have a $5 billion a year incentive to cheat, to get those tickets, which is why we've been continuing to advocate, and I think, we've seen a lot more visibility on some of the behavior that we need -- or we'd like, at least, more legislative support in terms of real punishments for the bad actors, for the platforms that enable the bad actors ending practices like speculative ticketing that is clearly price manipulative and anti-consumer. So we're continuing to do our part to fight it. And we hope that we'll be able to get some help with some rules and with some real penalties for people that are trying to cheat."
"32","Operator",NA,"And the next question comes from the line of David Katz with Jefferies. Please proceed with your question."
"33","David Katz","Analyst at Jefferies Financial Group","Hi. Afternoon everyone. Thanks for taking my questions. I wanted to just get an update, if you don't mind, on the digital process, all right, digital ticketing, etc, and then the second derivative of being able to harvest and to drive better returns off of the information gathered from it. Where is that today and where can it go and how do you see that opportunity?"
"34","Joe Berchtold","President and Chief Financial Officer at Live Nation Entertainment","Yeah, at this point, digital ticketing is largely ubiquitous globally coming out of COVID. I haven't seen the latest numbers, but I expect them going to be in the 90s that are now digital ticket. It's a varying form, shifting from barcodes to what we call safe, SafeTix, which is rotating barcodes or NFC keep tickets from being counterfeited and sold over and over. So we're -- we have a number of initiatives that have launched then to use that data. We've talked extensively about some of the things we've done in marketing, bringing all of our data together to better understand the fan, how we market to that fan with the digital connection, we're able to market to them on behalf of our Ticketmaster clients, how we're able to market to them. We have a sponsors, how we're able to send them. Messages for upsells, when they go to shows in our buildings. So that all continues. And then in the background, we have Ticketmaster using the data that it gets for a range of, I'll call it, machine learning purposes and tools in terms of helping clients figure out how do they price their shows, how do they market their shows, what are the tools that they should use can help our concert focus in terms of understanding, likely demand for tours and shows in specific markets. So certainly, now it's the point where that data and now is used permeated business."
"35","David Katz","Analyst at Jefferies Financial Group","Got it. And if I can follow-up please, with respect to platinum, right, we do have discussions about inflation and the cost of things etc, etc, which doesn't seem to be at play here, but where is that we're going to grow and any pressure points with respect, other than the artist themselves authorizing it, right, any pressure points toward sort of growth in platinum and how that mixes you hire?"
