"","speaker","title","msg"
"1","Operator",NA,"Good day, and welcome to the Mondelez International Second Quarter 2023 Earnings Conference Call. Today's call is scheduled to last about one hour, including remarks by Mondelez management and the question-and-answer session. [Operator Instructions]

I'd now like to turn the call over to Mr. Shep Dunlap, Vice President, Investor Relations for Mondelez. Please go ahead, sir."
"2","Shep Dunlap","Vice President, Investor Relations at Mondelez International","Good afternoon, and thank you for joining us. With me today are Dirk Van De Put, our Chairman and CEO; and Luca Zaramella, our CFO.

Earlier today, we sent out our press release and presentation slides, which are available on our website. During this call, we'll make forward-looking statements about the company's performance. These statements are based on how we see things today. Actual results may differ materially due to risks and uncertainties. Please refer to the cautionary statements and risk factors contained in our 10-K, 10-Q and 8-K filings for more details our forward-looking statements.

As we discuss our results today, unless noted as reported, we'll be referencing our non-GAAP financial measures, which adjust for certain items included in our GAAP results. In addition, we provide our year-over-year growth on a constant currency basis, unless otherwise noted. You can find the comparable GAAP measures and GAAP to non-GAAP reconciliations within our earnings release and at the back of the slide presentation.

Today, Dirk will provide a business and strategy update, followed by a review of our financial results and outlook by Luca. We will close with Q&A.

I'll now turn the call over to Dirk."
"3","Dirk Van De Put","Chairman & Chief Executive Officer at Mondelez International","Thanks, Shep, and thanks to everyone for joining the call today. I will start on Slide 4. I'm pleased to share that we delivered strong broad-based top-line growth during the first half of the year. Our strong performance was driven by effective pricing combined with healthy volume growth in three of our four regions. Europe was the lone exception due to expected disruption, driven by retailer negotiations. We continue to execute on our long-term strategy, and we see robust momentum and solid consumer confidence across geographies and categories. We successfully implemented our planned price increases in Europe, closing our customer negotiations in line with expectations. With this behind us, we feel good about the remainder of the year in Europe.

We also feel good about continued consumer confidence. We continue to drive robust demand in our core categories across the vast majority of our businesses, resulting in both value and volume growth. Our strong profit dollar growth was driven by cost discipline and pricing to offset cost inflation. We continue to invest in our brands, capabilities, and portfolio-reshaping initiatives to accelerate and compound growth, and we remain confident that our proven strategy delivered by our world-class team positions us well to deliver another strong year. Based on the strength of our first-half performance and our latest view across businesses, we are raising our full-year organic net revenue and adjusted EPS growth outlook to 12%-plus.

Turning to Slide 5, you can see that the first half of 2023 showed continued momentum across our entire business. We delivered first half organic net revenue growth of $2.7 billion, up nearly 18% versus prior year and significantly ahead of our already strong 12% in full year 2022. This includes a 15.8% growth for the quarter. We also delivered adjusted gross profit dollar growth of more than $1 billion. Again, we're well ahead of last year's pace with 18.9% growth. We're proud of our team's continued focus and agility, which enable us to continue investing to drive further growth acceleration. Our A&C investment is increasing 18% in the first half of the year. These results translated into strong adjusted OI growth of close to $600 million, up 23% and, again, well ahead of last year's pace.

On Slide 6, you can see a few examples of our brand acceleration strategy in action. Our continued investments in creative asset, personalization at scale, and innovation, combined with strong in-store execution, are resulting in continued sales growth and brand loyalty increases in our core categories of chocolate, biscuits and baked snacks. For example, in China, we launched Oreo Airy Cake in March. Driven by the strength of the Oreo name as the world's favorite cookie, this new packaged cake already has achieved a 3.5% market share and 80% of the velocity of its leading competitor in large stores, and China is one of our most important emerging markets. This is just one example of numerous innovations to expand our key brands into adjacent spaces and formats.

We're also continuing to renovate our recipes to stay a step ahead of changing consumer and customer tastes. For instance, we recently launched our first under 100 calories Cadbury treat for adults. This is a great example of our commitment to help consumers snack mindfully. We are offering a broader range of portion-controlled packs and products, but also our Portion Control Education campaigns both digitally and on pack.

In the baked snacks segment, we continue to accelerate both top- and bottom-line performance in Clif Bar. We remain focused on improving service levels and supply chain efficiencies, while further advancing productivity and effectiveness in our media spend and continuing to strengthen brand equity. We're also continuing to introduce new culturally-relevant flavors to strengthen consumer loyalty for our local jewel brands. For example, Lacta has been a leader in Brazilian chocolate for over 110 years.

Following the successful launch of Lacta tablets filled with Oreo, we recently rolled out two new line extensions filled with additional Lacta products that Brazilians already know and love. There's Sonho de Valsa bonbons, made with chocolate and cashew nut filling, as well as Ouro Branco candies made with wafers filled with chocolate cream and covered in white chocolate. These are just a few examples of the innovative ways our teams are driving growth in our iconic chocolate, biscuit and baked snack franchises, continuously investing in new formats, pack sizes and flavor combinations that drive incrementality and encourage consumers to experience our brands in new ways.

Within the baked snack segment, we're especially excited about our strong performance in the rapidly-growing cakes and pastry space. Let's take a closer look on Slide 7. Earlier, I mentioned the Oreo Airy Cake in China as a great example of our brand acceleration efforts in emerging markets. Similarly, in developed markets, we're making solid progress in expanding our successful cookie and chocolate franchises into choco bakery, cakes and pastries. For instance, in the United States, Oreo Cakesters are continuing to perform well. Since the recent launch of this fan favorite, it already has earned a 3.7 share of packaged snacks. Cakes.

Give & Go is another solid success story in our North America baked snacks lineup, where we're continuing to drive distribution and innovation. Share is up half a point year to date, driven by solid pricing, execution, expansion into adjacencies, such as mini donuts and strong category demand. Meantime, in Europe, 7Days continues to advance its position as the number one packaged croissant, and we have exciting plans to continue to grow its footprint beyond Europe, including recent test and learn trials in a number of emerging markets.

Turning to Slide 8. We continue to invest in digital commerce and revenue growth management tools and capabilities to support our brands, while strengthening our partnerships with leading customers. I'm pleased to share that we have achieved the number one market share position in digital commerce in our top five markets of the United States, China, United Kingdom, France and Brazil, while over delivering in up-and-coming emerging markets such as India, Philippines, Brazil, Mexico and Poland, which are up 40% year to date. We continue accelerating eB2B capabilities to expand distribution and strengthen our partnerships with key customers.

Additionally, our increased investments in elevating RGM strategies and actions are driving strong value realization, helping to offset inflationary pressures. We have appointed dedicated RGM leadership and teams in all key markets, supported with new proprietary data and analytics assessments, digital tools, and a comprehensive training program. We are confident that these ongoing investments will deliver sustainable improvements in growth, efficiency and ultimately margin.

Along with our financial performance, I'm pleased to share that we continue to make significant progress in advancing our environmental, social and governance strategy. In May, we published our annual Snacking Made Right report, reinforcing our 2025 goals and documenting our latest performance in priority areas. These include sourcing key ingredients, more sustainably, reducing carbon emissions, and increasing recyclable packaging.

We are also improving performance in social impact and diversity, equity and inclusion both internally and in partnership with our suppliers, as well as helping consumers snack more mindfully through improved portion education and increased focus on single portion packs. We continue to believe that helping to drive positive change at scale across these important areas is an integral part of value creation, with positive returns for all our stakeholders. We encourage you to read our Snacking Made Right report for more details and context on our progress.

With that, I'll turn it over to Luca to share additional insights on our financials."
"4","Luca Zaramella","Executive Vice President, Chief Financial Officer at Mondelez International","Thank you, Dirk, and good afternoon. Q2 marked another strong quarter for our business. Double-digit organic net revenue growth across each region, sound pricing execution, strong profit dollar growth, and significant brand reinvestment enabled us to continue driving sustainable value creation.

Revenue grew plus 15.8%, with strong volume mix growth in North America, Latin America and AMEA. Overall, volume mix was flat for the quarter, despite the expected customer disruption in Europe. Recall, last year's Q2 total company volume mix was plus 5%, making this performance even more impressive. Emerging markets grew more than 23%, with strong performance across significant numbers of markets, while developed markets grew 11% with balanced strength from both North America and Europe and despite customer disruption.

Turning to portfolio performance on Slide 12. Chocolate, biscuits, gum and candy businesses all posted another quarter of double-digit increases in Q2. Biscuits increased plus 13.9%. Oreo, Ritz, Chips Ahoy!, Give & Go, TUC and Club Social, all delivered double-digit growth. Clif, though not inorganic, also posted strong growth. Chocolate grew plus 13.7%, with strength in both developed and emerging markets. Cadbury Dairy Milk, Milka, Lacta, Toblerone, all delivered double-digit increases. We are very pleased with the performance of our core categories of chocolate and biscuits, which, albeit impacted in the quarter by customer disruption, are on a solid trajectory. For both, we expect good volume momentum as we move forward in the year now that negotiations in Europe are behind us. Gum and candy grew more than 30%, with strength across our business units, especially in emerging markets.

Now, let's review market and share performance on Slide 13. We held or gained share in 70% of our revenue base. The U.S. continues to make service-level improvements and ended Q2 with good on-shelf availability and inventory levels.

Moving to Page 14. We delivered more than $540 million in gross profit growth or 20% in Q2, driven by top line productivity and cost discipline. This also resulted in year-over-year gross margin expansion in all regions, except Europe, which was impacted by expected customer disruption. Now that pricing is implemented, we expect improvements in Europe, too. This growth provides significant fuel to invest behind our brands as well as significant earnings flow through.

Moving to regional performance on Slide 15. We delivered double-digit revenue growth in all regions, while also delivering volume mix increases in all regions, but Europe that got impacted by pricing-related disruption. This growth translated into operating leverage and OI dollar growth across the board. Europe grew plus 13.1% with double-digit OI growth. Importantly, pricing has now been landing, and we expect this -- that this will lead to a better second half volume and margin performance. Overall, the consumer remains resilient with elasticities holding up relatively well in chocolate and biscuit, while we saw some incremental elasticity in part of our cheese and grocery business.

North America grew plus 12.4% with OI dollar growth of more than 29%, driven by higher pricing, volume mix of 2%, and strength from both our base biscuits business and our ventures, such as Give & Go, Perfect Snacks and Tate's. Clif also posted robust growth and delivered another operating margin increase of double digit in percentage points in Q2 versus last year. Now profitability is approaching the level of total North America, but we still had to generate material synergies both on revenue and cost line. So Clif is a business that is growing, has now some margins and still with meaningful synergy potential.

AMEA grew 13.2% with solid volume mix growth of more than 3%. OI dollars increased plus 4.2%. India, China, Southeast Asia, all posted strong top-line growth for the quarter.

Latin America grew more than 37% with OI dollar growth of nearly 65%. Mexico, Western India countries, and Brazil all turned in robust quarters. Ricolino remains on track in terms of integration, and we expect to begin capturing more benefits toward the end of the year.

Next to EPS on Slide 16. In the quarter, EPS grew plus 21.5% in constant currency or nearly 17% at reported dollars.

Turning to Slide 17, free cash flow was $1.5 billion in the first half, with $1.7 billion in return of capital to shareholders. We also announced today an increase in our dividends of plus 10%, marking a double-digit increase in eight of the last nine years of the history of Mondelez.

Turning to our outlook on Page 19. Given the strength of our Q2 and first half performance, the successful conclusion of our negotiations in Europe, the strong volume momentum of our brands, we are raising our full year outlook for both revenue growth and adjusted EPS. We now expect top-line growth of 12%-plus versus our original outlook of 5% to 7% and most recent outlook of 10%-plus. EPS growth is also expected to be 12%-plus versus our prior outlook of 10%-plus and original outlook of high-single digit. Note, our free cash flow outlook remains unchanged at $3.3 billion, given $400 million in cash taxes related to the sell down and exit of our KDP position. In terms of key assumptions, we continue to expect a double-digit inflation increase for '23 driven by elevated cost in packaging, ingredients, labor, and lapping favorable commodity hedges in 2022.

With respect to interest expense, we now expect $380 million for the year, given recent coffee asset monetization and term loan reductions. We also expect to end the year around mid-2s in terms of leverage based on current conditions. As a reminder, given the liquidation of our KDP position in mid-July, there will be no dividend income recorded in half two. We now expect $0.11 of EPS of headwinds related to forex impact for the year versus $0.09 in our prior outlook. The outlook revision reflects our increased confidence in the year, ongoing resilience of consumer consumptions in our categories, relatively benign elasticities, continued brand reinvestment, and completion of pricing in Europe, as well as health of our emerging markets. This current outlook does not consider a material deterioration of geopolitical environment surrounding some areas of our business.

With that, let's open the line for questions."
"5","Operator",NA,"[Operator Instructions] And we'll take our first question from Andrew Lazar with Barclays. Your line is open."
"6","Andrew Lazar","Analyst at Barclays","Great. Thanks so much. Appreciate it. First off, Dirk, we've heard so far from a bunch of food companies that have reported earnings of some maybe very recent changes in things like consumer behavior, retailer inventory destocking, competitiveness, and maybe generally greater sluggishness in category volumes as pricing has lapped. I was hoping you could talk a bit about the landscape as it relates to Mondelez specifically and any changes sort of one way or the other that are notable for you."
"7","Dirk Van De Put","Chairman & Chief Executive Officer at Mondelez International","Okay. Thanks, Andrew. Well, based on H1, we obviously feel quite good about how our portfolio is performing. We have brought growth in the different regions, in the different categories, across most of our brands. The pricing went through quite well, strong pricing, I would say, compared to others. We have very good volume mix growth in three out of four regions. And the only region that was disrupted was Europe, but that was due to customer disruption. And we foresee for the second half that we will see solid volume growth in Europe.

Our share is increasing. North America is finally recovered. We're gaining share in AMEA. Europe, of course, still a bit of a drag on share, but that's, again, because of this client disruption. You see that our emerging markets are doing quite well broadly in the top and the bottom line. So we are generating good gross profit, so we can continue to invest strongly in our brands and in our capabilities. The acquisitions are doing well. I would point to Clif. And yeah, we have double-digit growth in adjusted and real EPS. So the whole picture for us looks pretty good.

If I look a little bit further on the environment, at least in our categories, we see strong consumer confidence. We would say that it's improving in the developed and in the emerging markets, and the price sensitivity seems to be plateauing. Particularly, the emerging market consumer, I would say, is very solid. If I think about the competition, I think the big difference between us and the competition will be that we have a very strong top line combined with some good volume growth. Promo levels, we see some increase in promo levels in biscuit, but it's largely flat and down somewhere else. We even see promo prices going up faster than non-promo prices in percentage. From a pricing perspective, we have done what was needed. So most of our '23 pricing is taken. North America was already done in December of last year, Europe was closed in line with expectations in Q2, and emerging markets are exactly on plan.

And then the elasticity, we don't see a change in the elasticity, which has been low as you know. We do see consumers shopping around more, hoping to find deals. The quantity bought per shopping trip is the same, but they tend to shop a little bit less frequently, but nothing really that preoccupies us. And so to close, I would say, the volume is strong. Europe will recover in the second half, and this will be the strongest H1 and we believe year that we have delivered as Mondelez. So we think we are quite -- doing quite well there.

Maybe a few words on Europe, which is probably the most important thing for us. It, obviously, has been for us a very dynamic environment. Top-line demand has been quite good, 13.1% growth, but the volume mix was down 4.5 points, but that was due primarily through that client disruption. I want to reemphasize that all 2023 client negotiations have closed successfully and all the pricing was landed in line with plan. We will see some inflationary costs continuing in cocoa and sugar going into 2024 and we are planning to do some strong investments in the second half in Europe. So if you think that through and you say, okay, these pricing negotiations are behind us, we are positive on H2. And so what you could expect for H2 in Europe is that our volumes will grow. We are ready to execute in store. We have planned key promotions, because now with this negotiation behind us, we can go full force again. I think as a consequence of that, you will see our share improve. We also start lapping prior-year headwinds and our margins will start to recover as the pricing is now fully implemented. So I think three levels of good news volumes, share and margins.

Our categories continue to do well. Consumers seem to prioritize them. Also, in Europe, elasticities remain low, despite some strong price inflation. If you talk about our cheese, our grocery categories, there, we see a little bit of an uptick in elasticity, but that's a smaller percentage of our business. HFSS in the U.K. looks pretty manageable at this stage. The consumer is adjusting to the changes that they see in store. We see a bigger impact on seasonals and gifting, but the impact on standard chocolate seems to be minor. So I would say the main news that we have is that we are expecting a good second half for Europe on top of all the other things. Hope that gives you a picture, Andrew."
"8","Andrew Lazar","Analyst at Barclays","Yeah. No, really complete. So I appreciate that one. One very quick one for Luca. The company raised constant currency EPS growth expectations to 12%-plus from 10%-plus. I guess consensus is already relatively close to the 12% mark. So I guess, I'm just curious how investors should think about the plus in the guide. Thanks so much."
"9","Luca Zaramella","Executive Vice President, Chief Financial Officer at Mondelez International","Thank you, Andrew. Yeah. Before I go to the plus part, maybe briefly to provide some color on what underpins the new outlook, I think there are three important drivers to point to in terms of our new outlook. One, it is clearly the strong first half and, importantly, the quality of the results we are posting. I'm particularly happy with the operating part of the EPS growth. Second, I think it is really the underlying broad-based strength of our business, the resilience of our brands. I'm happy with volume and value growth and the continued investment. And third, as we mentioned a few times, Europe with price fully landing and in line with expectations.

So maybe a word briefly by geography. Emerging markets are on a roll. We are quite happy. Some -- pricing is causing some areas of concern in terms of elasticity, but those are the minority of the market and not really important in the big scheme of things. The U.S. and North America are posting a terrific P&L and we are very pleased with Clif. And Europe has improved profitability already in Q2. But as we said last quarter, at that time, we had 80% of the price implemented. Now that pricing is 100% secured, we expect volume and revenue growth as well as margin improvement for Europe.

So quite frankly, there is a good chance that we exceed the 12%-plus guidance, but I prefer having another quarter under the belt and then narrow guidance for Q4. If all things play out as we have in mind, as I said, there are good chances we will exceed the guidance. Bear in mind that we want to start 2024 strong. And so if there is upside in terms of profitability and EPS, we might decide to reinvest selectively some of the upside to get really a fast start into 2024, too."
"10","Andrew Lazar","Analyst at Barclays","Thanks so much."
