"","speaker","title","msg"
"1","Operator",NA,"Ladies and gentlemen, thank you for standing by. Welcome to the MetLife Second Quarter 2023 Earnings Conference Call.

[Operator Instructions]

As a reminder, this conference is being recorded. Before we get started, I refer you to the cautionary note about forward-looking statements in yesterday's earnings release and to risk factors discussed in MetLife's SEC filings. With that, I will now turn the call over to John Hall, Global Head of Investor Relations."
"2","John Arthur Hall","Senior Vice President & Head of Investor Relations at MetLife","Thank you, operator. Good morning, everyone. We appreciate you joining us for MetLife's Second Quarter 2023 Earnings Call. Before we begin, I'd point you to the information on non-GAAP measures on the Investor Relations portion of Metlife.com in our earnings release and in our quarterly financial supplements, which you should review. On the call this morning are Michel Khalaf, President and Chief Executive Officer; and John McCallion, Chief Financial Officer. Also participating in the discussion are other members of senior management.

Last night, we released a set of supplemental slides, which address the quarter. The slides are available on our website. John McCallion will speak to them in his prepared remarks if you wish to follow along. An appendix to the slides features disclosures, GAAP reconciliations and other information, which you should similarly review. As usual, after prepared remarks, we will host a Q&A session, which will end promptly just prior to the top of the hour. [Operator Instructions] With that, over to Michel."
"3","Michel Abbas Khalaf","Chief Executive Officer, President & Director at MetLife","Thank you, John, and good morning, everyone. As market conditions continue to fluctuate, what has been a constant is the underlying performance of MetLife's diversified set of market-leading businesses. What has also been constant is the relentless execution of our strategy, which includes delivering in the second quarter on our commitment to accelerate the runoff of our legacy business through a financially attractive deal that also reduces enterprise risk. Our strong risk management capabilities are the bedrock of MetLife.

This foundation enables us to successfully navigate shifting currents. We are confident in the prudence of our investment portfolio. We are secure in the effectiveness of our asset liability matching. We are certain of the safety and soundness of our capital and liquidity, and we are convinced of our balance sheet strength. Shifting to second quarter results. Last night, we reported adjusted earnings of $1.5 billion or $1.94 per share, which compares to $1.7 billion or $2.13 per share a year ago. We continue to be pleased with the underlying momentum of our core businesses, which was evident in the quarter. Our sales were strong across the board with impressive results in Group Retirement and Income

Solutions, Asia and Latin America. Our underwriting results were well within targeted levels, our direct expense ratio totaled 12.2%, illustrating our capacity to generate further operating leverage. Our recurring investment income continues to climb with new money rates pushing past 6% and our adjusted return on equity of 14.6%, excluding AOCI other than FCTA met our target range of 13% to 15%. For the quarter, Variable investment income of $221 million came in below our outlook expectation. In the aggregate, private equity returns were about 1.5% inclusive of a positive 40 basis point return on our venture capital portfolio.

We generated a minus 1.9% return on real estate equity funds, an asset class that remains under some cyclical pressure. Nonetheless, we believe we've reached the trough relative to VII's contribution to our quarterly adjusted earnings. In total, net income for the second quarter was $370 million, which reflects certain required accounting adjustments following the announcement of our pending reinsurance transaction with Global Atlantic. We did not incur material credit losses in our real estate portfolio or elsewhere during the second quarter. Shifting to MetLife's business performance in the quarter. I will start with our U.S. Group Benefits results. Adjusted earnings totaled $372 million with underwriting results in line with our expectations after reflecting certain unfavorable items.

In total, year-to-date sales are up 13%, while year-to-date adjusted PFOs are up 5%, reflecting the impact of par firmly within our 4% to 6% outlook range, which we expect to achieve for the full year 2023. Looking ahead, we are confident in our ability to sustain our growth trajectory in this attractive capital-light business for many reasons. The strength of our relationships with our largest national accounts, where our average customer has been with us for more than 20 years is well known. The power behind this strength is apparent when you consider that 75% of new sales are made to existing customers through product additions and enrollment growth.

Our efforts to accelerate growth in regional business is evident in our market share gains. A key element of this success is driven by our expansive product portfolio, the broadest across the benefits universe. As a proof point, more than half of our new regional business customers purchased multiple products. And again, this can also be seen in our success with voluntary products, which we've been able to grow at a mid- to high teens rate for many years now. For Retirement and Income Solutions, or RIS, adjusted earnings totaled $417 million, up 11% from the prior year, driven by higher recurring investment margins and higher asset balances.

Sales in the quarter were very strong across a range of products, including pension risk transfer with more than $2 billion booked, structured settlements, longevity reinsurance and post-retirement benefits. We see good runways for growth in all these areas. In Asia, adjusted earnings of $431 million were below a year ago on lower variable investment income. Our ability to bring new products quickly to market was on full display in the quarter. Sales on a constant currency basis were up 34% in the region, led by Japan, where sales jumped 42% year-over-year, led by the introduction of a foreign currency life insurance product. Turning to Latin America, which put up another strong quarter, adjusted earnings totaled $219 million. Further, Latin America posted gains in both sales and adjusted PFOs of 13% and 14%, respectively, on a constant currency basis.

Taking a wider lens on the momentum in our business, we managed through the pandemic expecting to emerge from the turmoil stronger than we entered. With the fullness of time, we can now see that is true. Some numbers can help. In full year 2019, our group benefits business generated premiums, fees and other revenues of roughly $19 billion. We are on track to generate Group Benefits PFOs of roughly $24 billion in 2023, representing $5 billion of growth at a CAGR of more than 5%. In 2019, our Retirement and Income Solutions business generated average quarterly adjusted earnings of $310 million, with variable investment income matching outlook expectations. So far in 2023 RIS has averaged about $410 million of adjusted earnings per quarter without the benefit of normal VII.

Similarly, our Latin America business averaged roughly $150 million of adjusted earnings per quarter in 2019, which has grown to an average of more than $200 million per quarter in 2023. To me, the message is clear, the fundamentals associated with our market-leading businesses continue to gather steam. Moving to capital and cash. MetLife remained active with capital management during the second quarter. Following the increase to our common stock dividend, we paid roughly $400 million of common stock dividends to shareholders and we repurchased $672 million of our common stock. The pace of repurchases in the second quarter slowed due to the impending announcement of our reinsurance deal.

In addition to our activity in the second quarter, we repurchased roughly another $300 million of our common stock during the month of July. Year-to-date through July, we have repurchased about $1.8 billion of our common shares, which leaves approximately $3.5 billion remaining on our expanded repurchase authorization. As we have done consistently over time, we carefully assess every use of capital with the goal of achieving the right balance between investing in responsible growth for the future and returning capital to generate sustainable long-term value for our shareholders. At the end of the quarter, we held $4.2 billion of cash at our holding companies, which is above the top end of the $3 billion to $4 billion liquidity buffer we maintain.

In the beginning of July, we issued senior debt on attractive terms, which will be included in our cash balance in the third quarter. Beyond this, the dynamics of our reinsurance transaction will further add to cash as we move through the remainder of this year. During the quarter, we announced that Steve Goulart will retire at the end of August. Today will be his last earnings call with us. So feel free to pepper him with questions, you will not get another chance.

I would like to take this moment to thank Steve for his 17 years of distinguished service to MetLife. In that time span, he led our corporate development and mergers and acquisitions team and served as Treasurer before taking on his roles as MetLife's Chief Investment Officer, and the President of MetLife Investment Management. From a standing start in 2012, Steve established MetLife Investment Management and fostered its growth to its present status as $167 billion institutional fixed income and real estate manager. I believe the talent at MetLife truly sets us apart and serves as a clear differentiator for our company.

Steve's retirement provides the opportunity to broaden the roles and responsibilities of some of our top leaders. In addition to her role as Chief Risk Officer, Marlene Debel will lead MetLife's insurance investments with Chief Investment Officer, Chuck Scully, reporting directly to Marlene. John McCallion, MetLife's Chief Financial Officer, will take on additional responsibility as the Head of MetLife Investment Management. And Ramy Tadros, Regional President U.S. business will add Head of MetLife Holdings to his portfolio.

These moves draw up on MetLife's deep bench and illustrate our ability to deploy top talent to the areas of greatest impact for our customers and shareholders. In closing, MetLife's all-weather strategy positions us to perform across a range of economic cycles. By focusing on what we can control, how we execute, how we invest and how we deploy capital, we will continue to create long-term value for our shareholders and other stakeholders. Now I'll turn it over to John to cover our performance in greater detail."
"4","John Dennis McCallion","Executive Vice President & Chief Financial Officer at MetLife","I will start with the 2Q 23 supplemental slides, which provide highlights of our financial performance and an update on our liquidity and capital positions. In addition, I'll provide an update on our commercial mortgage loan portfolio. Starting on Page 3, we provide a comparison of net income to adjusted earnings in the second quarter.

Net investment losses were primarily the result of securities that were associated with the pending reinsurance transaction with Global Atlantic that we announced at the end of May. For GAAP purposes, gross unrealized losses as of June 30 on securities expected to be transferred to Global Atlantic at closing, are required to be realized through net income this quarter. In addition, we had net derivative losses due to the favorable equity markets, strengthening of the U.S. dollar versus the yen and higher interest rates. That said, derivative losses were mostly offset this quarter by market risk benefit or MRB remeasurement gains due to higher equity markets and interest rates.

Overall, the portfolio remains well positioned. Credit losses continued to be modest and the hedging program performed as expected. On Page 4, you can see the second quarter year-over-year comparison of adjusted earnings by segment excluding a favorable notable item of $77 million in 2Q of '22, primarily related to a reinsurance settlement, which was accounted for in MetLife Holdings. There were no notable items in the current quarter. Adjusted earnings were $1.5 billion, down 10% and down 11% on a constant currency basis. The primary driver was lower variable investment income. Underwriting margins were also less favorable than the prior year, but within our targeted ranges. Higher recurring interest margins and solid volume growth were partial offsets.

Adjusted earnings per share were $1.94, down 5% year-over-year on a reported and constant currency basis. Moving to the businesses, starting with the U.S. Group Benefits adjusted earnings were $372 million, down 8% versus the prior year period. Results were below run rate expectations for the quarter due to certain unfavorable expense, reinsurance and reserve-related items, which reduced Group Benefits adjusted earnings by approximately $40 million and were specific to this quarter.

The Group Life mortality ratio was 85.3%, essentially in line with the prior year quarter and at the bottom end of our annual target range of 85% to 90%. Regarding non-medical health, the interest adjusted benefit ratio was 73.3% in the quarter above the midpoint of its annual target range of 70% to 75%. We had a disability reserve refinement of approximately $15 million after tax, which increased the ratio up by 0.8 percentage points and was included in the items totaling $40 million that I just referenced.

Turning to the top line, Group Benefits adjusted PFOs were up 4% year-over-year taking participating contracts into account, which dampened growth by roughly 1%. The underlying PFOs were up approximately 5% year-over-year, primarily due to solid growth across most products including continued strong momentum in voluntary and was within our 2023 target growth range of 4% to 6%. In addition, group benefit sales were up 13% year-to-date, driven by strong growth across most products and markets.

Retirement and Income Solutions, or RIS, adjusted earnings were $417 million, up 11% year-over-year. The primary drivers were higher recurring interest margins and solid volume growth. This was partially offset by lower variable investment income year-over-year. RIS investment spreads were 132 basis points. Spreads, excluding VII, were 142 basis points, up 29 basis points versus Q2 of '22 and primarily due to higher interest rates as well as income from in-the-money interest rate caps.

RIS liability exposures were up 5% year-over-year driven by general account liabilities, which grew 7% due to strong net flows. RIS adjusted PFOs, excluding pension risk transfers were up 73% primarily driven by strong sales of structured settlement products and growth in U.K. longevity reinsurance. With regards to PRT, we completed two transactions worth approximately $2 billion in the quarter, and continue to see an active market.

Moving to Asia. Adjusted earnings were $431 million, down 11% and 9% on a constant currency basis primarily due to lower variable investment income. Adjusted earnings ran approximately $25 million above expectation due to certain reserve refinements and tax-related true-ups. Asia's key growth metrics were strong as general account assets under management on an amortized cost basis grew 5% on a constant currency basis, and sales were up 34% year-over-year on a constant currency basis, driven by strong growth across the region.

In Japan, sales were up 42% year-over-year, driven by continued strong momentum in FX annuities through our face-to-face channels as well as life sales due to a relaunch of a single premium FX Life product on April 1. We continue to see Japanese consumer interest for our FX products given the attractive higher U.S. interest rates. Latin America adjusted earnings were $219 million, down 13% and 21% on a constant currency basis due to less favorable underwriting margins versus 2Q of '22.

The prior year quarter had a roughly $40 million benefit to adjusted earnings from a release of a COVID-related IBNR reserve. In addition, investment margins were down year-over-year, partially offset by solid volume growth. Latin America's top line continues to perform well as adjusted PFOs were up 23% and 14% on a constant currency basis and sales were up 13% on a constant currency basis, driven by growth across the region.

EMEA adjusted earnings were $70 million, up 6% and up 15% on a constant currency basis, primarily driven by higher recurring interest margins. EMEA adjusted PFOs were up 4% on a constant currency basis, and sales were up 13% on a constant currency basis, reflecting strong growth across the region. MetLife Holdings adjusted earnings were $211 million, down 31%. This decline was primarily driven by lower variable investment income. Corporate and other adjusted loss was $228 million, essentially flat versus an adjusted loss of $227 million in the prior year. The company's effective tax rate on adjusted earnings in the quarter was approximately 22% and at the low end of our 2023 guidance of 22% to 24%.

On Page 5, this chart reflects our pretax variable investment income for the prior five quarters, including $221 million in Q2 of '23. Private equity portfolio of $14.6 billion had a plus 1.5% return in the quarter. Real estate equity funds of $2.2 billion had a minus 1.9% return. While both PE and real estate equity funds are reported on a 1-quarter lag, as of now, we anticipate that VII in the third quarter will generally be in line with the second quarter results. On Page 6, we provide VII post-tax by segment for the prior five quarters. As you have noted previously, each of the businesses hold its own discrete investment portfolios, which have been built to match its liabilities. As reflected in the chart, Asia, RIS and MetLife Holdings continue to hold the largest portion of VII assets given their long-dated liability profile.

For 2Q of '23, Asia's VII portfolio generated the highest returns at 2.2%, outperforming MetLife Holdings at 1.5% and RIS at 0.9%. Now turning to Page 7. The chart on the left of the page shows the split of our net investment income between recurring and VII for the past three years in Q2 of '22 versus Q2 of '23. While VII has had the lower-than-trend returns over the last few quarters, recurring income, which accounts for approximately 96% of net investment income was up $700 million year-over-year reflecting higher interest rates and growth in asset balances.

Shifting your attention to the chart on the right of the page, which shows our new money yield versus roll-off yield over the past three years, new money yields continue to outpace roll-off yields in the recent quarters. In this quarter, our global new money yield reached its highest level in more than a decade of 6.06%, 157 basis points higher than the roll-off yield. We expect this favorable trend to continue, assuming interest rates remain near current levels.

Turning to Page 8. I'll provide a few updates on our commercial mortgage loans, which you can find further details in our quarterly financial supplement. As of June 30, our commercial mortgage loan or CML portfolio, carrying value of approximately $53 billion is well diversified by geography and property type. The CML portfolio is concentrated in high-quality properties and in larger primary markets. These loans are typically to the larger and stronger institutional sponsors who are better positioned to effectively manage assets through periods of stress.

Given the focus on the office sector, our real estate team updated all U.S. office valuation through June 30, assuming a 25% peak-to-trough valuation decline. We believe it was prudent to focus our efforts here in the quarter given the heightened attention this has received. As expected, LTVs increased slightly as a result with our CML portfolio now in an average LTV of 62%, up from 58% in the first quarter of '23 and an average debt service coverage ratio of 2.3 times, down slightly from 2.4 times in 1Q '23. The modest increase in LTVs coupled with the resiliency and robustness of the debt service coverage ratio is another indicator of the disciplined approach we take to investing in this asset class. The quality of our CML portfolio remains strong with only 2% of the loans having LTVs more than 80% and DSCRs less than 1 times.

With regards to CML loan maturities, we now have successfully resolved 69% of the portfolio scheduled to mature in 2023, and our expectation is for minimal losses on the portfolio. Now let's switch gears to discuss expenses on Page 9. This chart shows the comparison of our direct expense ratio for full year 2022 as well as Q1 of '23 and Q2 of '23, which had a ratio of 12.2%. As we have highlighted previously, we believe our full year direct expense ratio is the best way to measure performance due to fluctuations in quarterly results.

Our Q2 direct expense ratio benefited from solid top line growth and ongoing expense discipline. We remain committed to achieving a full year direct expense ratio of 12.6% or below in 2023, demonstrating our consistent execution and focus on an efficiency mindset. I will now discuss our cash and capital position on Page 10. Cash and liquid assets at the holding companies were approximately $4.2 billion at June 30, which is above our target cash buffer of $3 billion to $4 billion and consistent with March 31. The cash at the holding companies reflects the net effects of subsidiary dividends, payment of our common stock dividend and share repurchases of roughly $700 million in the second quarter as well as holding company expenses and other cash flows.

The buybacks in 2Q of '23 were lower than our recent trend as we were in a blackout period for most of May in advance of our pending reinsurance transaction with Global Atlantic. That said, we have repurchased shares totaling approximately $300 million in July. For our U.S. company's preliminary second quarter year-to-date 2023 statutory operating earnings were approximately $2 billion while net income was approximately $1.3 billion. Statutory operating earnings increased by approximately $1.3 billion year-over-year, primarily driven by favorable underwriting, partially offset by higher expenses.

We estimate that our total U.S. statutory adjusted capital was approximately $17.4 billion as of June 30, 2023, down 2% from March 31, 2023, primarily due to the temporary impact of roughly $300 million associated with the investments expected to be transferred to Global Atlantic. We expect these impacts to reverse at close, which remains on target by year-end. In addition, as previously disclosed, we expect the transaction to add approximately 60 combined RBC points.

Finally, we expect the Japan solvency margin ratio to be approximately 700% as of June 30, which will be based on statutory statements that will be filed in the next few weeks. Let me conclude with a few points. First, while VII remains below historical returns, we believe we reached a trough. In addition, core spreads remain robust and continue to benefit from a higher-yielding environment.

Second, the underlying strength of our business fundamentals continues to be displayed with strong top line growth, coupled with disciplined underwriting and expense management. Lastly, MetLife remains in a position of strength given our balance sheet, investment portfolio, free cash flow generation and the diversification of our market-leading businesses and we are committed to deploying capital to achieve responsible growth and building sustainable value for our customers and our shareholders. And with that, I will turn the call back to the operator for your questions."
"5","Operator",NA,"[Operator Instructions]

One moment please for the first question. We first go to the line of Ryan Krueger with KBW. Please go ahead."
"6","Ryan Joel Krueger","MD of Equity Research at MetLife","Hi, thanks. Good morning. My first question was following the recent risk transfer deal. Do you see further opportunities for additional risk transfer in MetLife Holdings over time?"
"7","John Dennis McCallion","Executive Vice President & Chief Financial Officer at MetLife","Good morning Ryan, it's John. I think we would probably follow the same commentary we've given before. We are continuing to look for ways to optimize. We look internally for ways to optimize, and we continue to have external communications around different opportunities.

I think at the end of the day, similar to what we did with this transaction, it needs to fit the right profile for us. It needs to be value creative. It needs to be risk reducing, and -- but at the end of the day, we don't have to. We're very comfortable managing these blocks of businesses ourselves.

We have the expertise. And I think there are different ways to find ways to optimize that book. So -- but nonetheless, it's a healthy process for us continuing to have these conversations."
"8","Ryan Joel Krueger","MD of Equity Research at MetLife","Thank you. Then I had to ask one for Steve on his last call. Could you provide some additional details on the office loans that have been resolved year-to-date, the mix of pay downs versus extensions? And any more color on what the terms of the extensions are."
"9","Steven Jeffrey Goulart","Executive Vice President & Chief Information Officer at MetLife","Hi Ryan, thanks for the question. I would hate to go through my last earnings call without a question, but on your question, let me talk about sort of the total portfolio. Again, John mentioned 69% of the loans scheduled to mature this year have already been resolved. Of that, 31% of them were actually paid off, so very positive.

And 57% of them were resolved through the borrower extension of contractual loan extensions. And we've talked about that a little bit in the past. But again, those are not financially distressed loans and the average LTV on those loans is 51%. And again, they have contractual extensions that allow the borrower to choose to extend. And that's what has happened with those.

And again, when they do, they have to meet financial performance tests related to debt yield related to LTV, sometimes both. We also get fees paid on those extensions and so it's not a surprise just given where interest rates are, that this is what the borrowers would choose to do. The office portfolio is very similar in those statistics that I just gave. So we're very comfortable looking out the rest of the year, we would expect similar resolutions and are very pleased with how it's moving forward."
"10","Ryan Joel Krueger","MD of Equity Research at MetLife","Okay, great. Thank you."
