"","speaker","title","msg"
"1","Operator",NA,"Good morning, everyone, and welcome to the ONEOK Second Quarter 2023 Earnings Conference Call and Webcast. [Operator Instructions]

After today's presentation, there will be an opportunity to ask questions. [Operator Instructions] Please note, this event is being recorded today.

I would now like to turn the conference over to Andrew Ziola, Vice President of Investor Relations. Please go ahead."
"2","Andrew Ziola","Vice President of Investor Relations and Corporate Affairs at ONEOK","Thank you, MJ. And welcome to ONEOK's second quarter 2023 earnings call. We issued our earnings release and presentation after the markets closed yesterday and those materials are on our website. After our prepared remarks, management will be available to take your questions. Statements made during this call that might include ONEOK's expectations or predictions should be considered forward-looking statements and are covered by the Safe Harbor provision of the Securities Acts of 1933 and 1934.

Actual results could differ materially from those projected in forward-looking statements. For a discussion of factors that could cause actual results to differ, please refer to our SEC filings. Just a reminder for Q&A, we ask that you limit yourself to one question and a follow-up in order to fit in as many of you as we can.

With that, I will turn the call over to Pierce Norton, President and Chief Executive Officer. Pierce?"
"3","Pierce H. Norton","President and Chief Executive Officer at ONEOK","Thanks, Andrew. Good morning, everyone, and thank you for joining us. On today's call is Walt Hulse, Chief Financial Officer and Executive Vice President, Investor Relations and Corporate Development; and Kevin Burdick, the Executive Vice President and Chief Commercial Officer. Also available to answer your questions are Sheridan Swords, our Senior Vice President, Natural Gas Liquids and Natural Gas Gathering and Processing; and Chuck Kelly, Senior Vice President, Natural Gas Pipelines.

Yesterday, we announced second quarter 2023 earnings and increased our full year 2023 financial guidance. Strength in volumes across our operations, particularly in the Rocky Mountain region and Permian Basin resulted in higher second quarter results and positive momentum entering the second half of 2023. We continue working toward a successful closing of our pending merger transaction with Magellan, while remaining focused on the growth of our legacy assets. Initial activities have begun on two NGL pipeline expansion projects. The growth we're seeing across our existing operations is driving the need for these economically attractive projects. Walt and Kevin will talk more about the early work that we're doing on the Elk Creek and West Texas natural gas liquids' pipelines.

Regarding our pending acquisition of Magellan Midstream, we've recently accomplished two critical milestones toward completing the transaction, including the expiration of the HSR Waiting Period in June and the filing of the definitive proxy materials with the SEC in July. Proxy mailings are already hitting investors mailboxes.

As we look ahead to the shareholder and unitholder votes on September 21st, we're confident that the investors of both companies will see the compelling long-term value proposition this transaction brings, with immediate financial benefits and incremental growth through the combination of these two companies. Today, we will walk you through both the macro and micro takeaways of our synergy assumptions. I will cover the macro and Kevin will go into more detail with the macro explanations.

On Slide 6, in our earnings presentation, which was provided yesterday with our news release, you will see a summary of how we've organized the synergy opportunities we've identified to date and have targeted to realize as a combined company. You can see we have slided these commercial opportunities into four categories and have provided a breakdown for both the assumed scenario in our proxy and for the incremental potential near-term commercial opportunities.

So, now, I'd like to cover the macro takeaways from Page 6 previously referenced. First, combined, these companies will have opportunities that were not possible as standalone companies. Second, batching and blending are done both -- by both companies today. Therefore, these operational techniques are well understood by both companies. They are not new, but the difference is, with these assets under one company's direction, batching and blending value can be realized on a larger scale.

Third, with the exception of bundling, the three remaining commercial categories are within 100% of our control. This means that we make the decision to pursue opportunities if they make commercial and economical sense, instead of relying on factors outside of our control. Fourth, as we integrate the two employee bases post-close, we can focus on widespread collaboration and believe that we will find even more opportunities not identified to date. And, finally, there is significant potential value in the near-term for the next one to four years above our assumed case in the proxy.

ONEOK has proven our commercial creativity over the course of our company's transformative history and together with Magellan's team, we believe our companies have as many opportunities to continue improving the services that we offer to our customers and returning value to our investors.

With that, I will turn the call over to Walter Hulse for the discussion of our recent financial performance and guidance increase."
"4","Walter S. Hulse","Chief Financial Officer, Treasurer and Executive Vice President, Investor Relations & Corporate Deve at ONEOK","Thank you, Pierce. With yesterday's earnings announcement, we increased our 2023 financial guidance expectations. We now expect a 2023 net income midpoint of $2.49 billion and an adjusted EBITDA midpoint of $4.675 billion, a $100 million increase from our original adjusted EBITDA midpoint provided in February. These midpoints are ONEOK specific and exclude the impact of the pending merger with Magellan and any future merger related costs in order to be an apples-to-apples comparison with our original guidance provided in February.

Higher guidance expectations were driven by volume growth -- volume strength across our operations, higher average fee rates and lower-than-expected third-party NGL fractionation costs. In the second quarter, we recorded $31 million of third-party fractionation costs compared with $46 million in the first quarter. We expect approximately $30 million of third-party fractionation costs per quarter to be a good run rate for the remainder of the year as MB-5 is fully operational.

Strong producer activity and a constructive volume outlook also drove the increase in our capital expenditure guidance. We now expect total capital expenditures, including growth and maintenance capital, of approximately $1.575 billion in 2023. Initial activities, including the purchase of long lead time components related to the expansion of the Elk Creek pipeline and the decision to complete the full looping of the West Texas NGL pipeline, are included in our updated guidance. Kevin will provide more detail on these projects shortly.

Now, a brief overview of our second quarter financial performance. ONEOK's second quarter 2023 net income totaled $468 million or $1.04 per share. Second quarter adjusted EBITDA totaled $971 million, a 10% increase year-over-year. If you exclude merger related and third-party fractionation costs, second quarter adjusted EBITDA increased nearly 15% and would exceed $1 billion. In June 2023, we've redeemed $500 million of our 7.5% senior notes due September 2023 with cash-on-hand. Our net debt-to-EBITDA remains well below our long-term target of 3.5 times, and we had more than $100 million of cash and equivalents as of June 30.

Early in the second quarter, Moody's upgraded ONEOK's credit rating to Baa2 from Baa3. As it relates to our pending acquisition of Magellan, I'd note all three rating agencies, Moody's, S&P and Fitch, reaffirmed our investment-grade credit ratings pro forma for the acquisition, showing a recognition of increased scale, earnings diversity and growth opportunities that this acquisition provides. As it relates to merger transaction financing, we expect to complete a notes offering prior to the close of this transaction. We are monitoring the markets and we'll be opportunistic in our timing of that offering.

I now turn the call over to Kevin for a commercial update."
"5","Kevin L. Burdick","Executive Vice President and Chief Commercial Officer at ONEOK","Thanks, Walt. Let's start with our natural gas liquids segment. Second quarter 2023 NGL volumes increased 11% year-over-year and compared with the first quarter 2023. Higher volumes were driven by increased producer activity, particularly in the Rocky Mountain region and Permian Basin. Both regions saw double-digit volume increases year-over-year and compared with the first quarter of 2023. Permian Basin volumes saw the largest increase, up 26% year-over-year, driven by continued growth from existing plants and volume from a new plant connection in the first quarter of 2023.

Volumes in the Rocky Mountain region increased 17% compared with the first quarter of 2023 and 14% compared with the same period last year, driven by increased propane plus volume and slightly higher incentivized ethane. MidContinent region volumes increased 8% compared with the first quarter of 2023, partially driven by increased ethane recovery. While we've seen ethane prices decreased recently from July highs, they remain at a level driving recovery in most basins. We think the recent volatility in ethane pricing is the market responding to some short-term dynamics along with the general tightening in the overall supply and demand balance. Given these market conditions, we remain confident in our ethane recovery assumptions included in our updated guidance. The Permian in near-full recovery, the MidContinent in partial recovery and opportunities to incent recovery in the Williston.

As Walt mentioned, we've begun initial work, including purchasing long-lead time components for two NGL pipeline expansion projects. Activities are underway to complete the looping of West Texas NGL pipeline, which will more than double ONEOK's NGL capacity out of the Permian Basin. The full loop is expected to be in service in the first quarter of 2025, which aligns with our customers' needs. We also are taking steps towards expanding the Elk Creek pipeline to 400,000 barrels per day to provide capacity for growing volumes in the Williston.

In the natural gas gathering and processing segments, second quarter processed volumes averaged nearly 2.2 billion cubic feet per day, a 16% increase year-over-year. In the Rocky Mountain region, processed volumes averaged nearly 1.5 billion cubic feet per day during the second quarter and have averaged more than 1.5 BCF per day in the month of July. We've connected more than 280 wells in the region through the first half of the year compared with approximately 160 connections in the first half of 2022, a 75% increase.

As we sit today, we're on pace to reach the high-end of our 475 to 525 well connect guidance range for the year. Currently, there are approximately 35 rigs and 20 completion crews operating in the basin with 19 rigs in approximately half of the completion crews on our dedicated acreage, which remains more than enough activity to grow production on our acreage.

In the MidContinent region, second quarter processed volumes increased 12% year-over-year and decreased slightly compared with the first quarter of 2023, primarily due to the timing of new pads coming online. We've seen some recent decreases in STACK and SCOOP activity in the past few months, but continue to see increased activity in Western Oklahoma as producers are focusing on higher crude producing areas. We currently have nine rigs on our dedicated acreage in the MidContinent and have connected 23 wells in the region through the first half of the year.

In the natural gas pipeline segment, the strong year-to-date results continue to benefit from demand for natural gas storage and transportation services. And we now expect the segment to exceed the high-end of its original earnings guidance range. We've recently completed an expansion of our natural gas storage capabilities in Oklahoma, allowing us to utilize and subscribe an additional 4 billion cubic feet of our existing capacity. We have subscribed 100% of this incremental capacity through 2027 and 90% through 2029.

We continue to evaluate the Saguaro Connector pipeline, a potential intrastate pipeline project that would provide natural gas transportation to the US and Mexico border for ultimate delivery to an export facility on the West Coast of Mexico. There continues to be positive developments related to the potential LNG export project with support from multiple large well known customers, anchoring the project. We expect to make a final investment decision on the ONEOK pipeline later this year.

Now, I want to end where Pierce left off, with a micro look at the Magellan transaction synergies. I will discuss how we define each category, an example of the opportunity, the sensitivities and comments on the overall risk-weighting. The dollar ranges between our assumed case and the near-term potential are shown on Page 6 of our investor presentation for all four categories.

Liquids pipelines provide opportunities to move natural gas liquids and refined products through the same product pipelines. Both companies refer to this as batching. This operational technique utilizes available capacity and combined connectivity to ship a refined product or natural gas liquid to a demand center to capture a higher value. An annualized average of 100,000 barrels per day in any combination of refined products or NGLs at $0.07 per gallon would result in more than $100 million annually.

The ability to mix products to obtain a higher value is called blending. The combined assets will increase unleaded butane blending as well as other incremental blending opportunities. Increasing an additional 25,000 barrels per day annually at a $0.20 per gallon uplift on any given slate of products or NGL would result in approximately $75 million, annually.

As volumes grow or contracts expire, a wider variety of services can be combined or bundled to offer greater value to customers. This focuses on optimizing system utilization and connectivity to and from key customers and market centers. This is the one category where time and decisions, primarily by customers, will jointly be needed to realize this synergy, picking up an incremental 25,000 barrels per day at $0.10 per gallon would provide approximately $40 million a year.

Additional opportunities that can be realized within the one to four year timeframe include incremental refined product, NGL and crude oil, storage and optimization activities. We also see value and opportunities to leverage Magellan's proven marine export expertise. We have consistently said that acquisitions of this size often result in a 25% reduction in G&A cost, which in this case would be $200 million. However, we have assumed only $100 million in both the assumed case and the near-term potential case.

It's also important to point out when the transaction was announced, we significantly risk-weighted our financial assumptions to come up with our total assumed $200 million of synergies. This should highlight the level of conservatism we've applied to our expectations and also the potential upside to our assumptions, which we think could drive synergies to more than $400 million. As we've said previously, we have a high level of confidence in achieving the assumed $200 million of near-term synergies.

For obvious commercial reasons, we're not going to provide specific project level details at this time. However, we have provided realistic potential outcomes by categories. We believe our ability to batch and blend products on our combined pipeline systems as well as bundled services to increase value for customers will provide significant synergy opportunities over the next one to four years.

Pierce, that concludes my remarks."
"6","Pierce H. Norton","President and Chief Executive Officer at ONEOK","Thank you, Kevin; and thank you, Walt.

We've had a strong first half of the year with a promising second half still ahead of us. We continue to focus on the fundamentals of our business that have gotten us where we are today. These fundamentals include customer service, reliability, innovation, and, most importantly, a focus on operating safely and responsibly. We have a long and successful track record of growing and transforming our business, while innovating for future opportunities. But even through change and advancements over our more than 100-year history, ONEOK employees have been consistent in their dedication to doing things the right way.

In the coming weeks, we'll be publishing our 15th Annual Sustainability Report. I'd encourage you to review the report and see our many updates related to our environmental, safety and health performance, related targets, employee initiatives, and examples of how we're economically participating in the future of energy transformation. We're proud to share our efforts and accomplishments, but we also know we can't stop there. As our Company continues on our journey of growth, change in progress, we remain committed to operating responsibly and sustainably.

As we look forward to increasing our operations, workforce and expertise through the merger of Magellan, we're also excited to join two companies with proud histories with a more promising future combined. I want to thank all the employees from both companies that are working on integration plans, while continuing to run daily operations. We look forward to building on all that both companies have accomplished, creating a larger, more diversified company, with a shared commitment to safety and stakeholder value.

With that, operator, we're now ready for questions."
"7","Operator",NA,"Thank you. We will now begin the question-and-answer session. [Operator Instructions] Today's first question comes from Brian Reynolds with UBS. Please go ahead."
"8","Brian Reynolds","Analyst at UBS Group","Hi. Good morning, everyone. Appreciate the prepared remarks and slide details around the commercial synergy opportunities. But I was curious if we could just view, if we could talk about if we should view the upside opportunity of synergies to be around $800 million versus the original $200 million that you talked about when the deal was announced? And then second, are there any assumptions around growth synergies on Slide 6, just given the larger integrated framework that you will have? And if not, how should we think about the size and scope of those opportunities? Thanks."
"9","Pierce H. Norton","President and Chief Executive Officer at ONEOK","So, I'll -- this is Pierce, Brian. I'll start out with some comments, and I'll let Kevin fill in or Sheridan, either one. So, the $800 million is a list of opportunities that we have that's fairly lengthy as far as what the potential could be based on certain volume assumptions, pricing assumptions and time. And so, you come up with your list first and then you have to go back and risk-weight those as to what you think can realistically be done. I think in any of these transactions, you want to come up with the most comprehensive list possible realizing that you may not get them all. So, we're very comfortable in that range of $200 million to $400 million and so -- but we wanted to add the color to kind of show how we risk-weighted both the ends of that into that assumption."
"10","Brian Reynolds","Analyst at UBS Group","Great. Appreciate that. And, I guess, just a follow-up, is there -- can you talk about the size and scope of those potential growth synergy opportunities, whether it's downstream, I guess? Thanks."
