"","speaker","title","msg"
"1","Operator",NA,"Good morning, and welcome to the Pentair Second Quarter 2023 Earnings Conference Call. All participants will be in a listen-only mode for the duration of the call. [Operator Instructions] I would now like to turn the conference over to Shelly Hubbard, Vice President of Investor Relations. Please go ahead."
"2","Shelly Hubbard","Vice President of Investor Relations at Pentair","Thank you, Joe, and welcome to Pentair's second-quarter 2023 earnings conference call. On the call with me are John Stauch, our President and Chief Executive Officer; and Bob Fishman, our Chief Financial Officer. On today's call, we will provide details on our second quarter's performance as outlined in this morning's press release. On the Pentair Investor Relations website, you can find our earnings release and slide deck, which is intended to supplement our prepared remarks during today's call and provide a reconciliation of differences between GAAP and non-GAAP financial measures that we will reference.

The non-GAAP financial measures provided should not be considered as a substitute for or superior to the measures of financial performance prepared in accordance with GAAP. They are included as additional clarifying items to aid investors in further understanding the company's performance. In addition to the impact these items and events have on the financial results. Before we begin, let me remind you that during our presentation today, we will make forward-looking statements which are predictions, projections, or other statements about future events. Listeners are cautioned that these statements are subject to certain risks and uncertainties, many of which are difficult to predict and generally beyond the control of Pentair.

These risks and uncertainties can cause actual results to differ materially from our current expectations. We advise listeners to carefully review the risk factors in our most recent Form 10-Q and Form 10-K. Following our prepared remarks we will open up the call for questions. Please note that we will limit your questions to two. After which, we ask you to then re-enter the queue in order to allow everyone an opportunity to ask questions. Before I hand it over to John, I wanted to highlight slides four through seven in our earnings slide deck that include our strategic framework, Pentair at a glance, a Pentair overview, and our newest slide illustrating our ESG highlights and progress.

These four slides provide a good snapshot of who Pentair is especially for those new to our company. Our strategic framework states our purpose, mission, vision, and values that drive our performance as a smart sustainable water solutions company. Pentair at a Glance on Slide five provides a great snapshot of our company, our performance, our installed base, and our 47-year track record of annual dividend increases, which places us in a small group of companies. The Pentair overview on slide six provides our historical sales and ROS performance on a consolidated level and by segment. Lastly, our ESG highlights and progress shown on slide seven are a testament to the important work our teams do to integrate sustainability into our operations, product innovation, and long-term strategy.

We are very proud of our achievements to date, especially considering the early stages of our program, which began just about three years ago. I will now turn the call over to John."
"3","John Stauch","President and Chief Executive Officer at Pentair","Thank you, Shelly, and good morning everyone. Let's begin with our record Q2 results and the executive summary on slide eight. In Q2, we achieved record sales, segment income, return on sales, EPS, and free cash flow following the separation of nVent from Pentair in 2018. Specifically, in Q2, sales increased 2% to nearly $1.1 billion. Segment income increased 14% to $234 million. ROS expanded by 230 basis points to 21.6% driven by margin expansion across all three segments. Adjusted EPS rose 1% to $1.03 and free cash flow was $433 million.

With another strong quarter of financial results, we are raising our 2023 adjusted EPS range to $3.65 to $3.75, which increases the midpoint of our range to $3.70. We also continue to strengthen our balance sheet and reduced our net-debt leverage ratio to 2.2 times EBITDA at quarter end, down from 2.6 times in Q1. We believe our record second quarter performance demonstrates the power of our global diversified water portfolio and strong execution across all three segments; IFT, Water Solutions, and Pool. Our strategy to help the world sustainably move, improve, and enjoy water life's most essential resource is proving its resilience.

For example, like last quarter, sales growth in our IFT and Water Solutions segments, more than offset the expected sales volume declines in Pool Year over Year. Margin expanded across all three segments, driven primarily by price, cost actions to rightsize our direct labor in Pool, the elimination of 2022 manufacturing and supply-chain inefficiencies, and continued progress on our transformation initiatives that are beginning to read out. Lastly, I want to thank our employees across the globe for their hard work, dedication, and contribution to delivering another strong quarter for customers and shareholders.

Let's move on to slide nine, titled Q2 segment highlights. Within IFT, we achieved record sales, driven by double-digit growth across our commercial and industrial businesses. Commercial and infrastructure flow delivered strong sales growth across all categories, primarily due to our strong backlog, aftermarket and replacement sales in our pump portfolios, carryover pricing actions from 2022, and stabilization in the supply chain. Industrial Solutions also delivered strong sales growth driven by global key account expansion, new business partnerships, and aftermarket and replacement sales in our components and membranes portfolios.

Record margins in Q2 we're primarily driven by price and transformation. In addition to implementing our transformation initiatives in IFT we have also focused on capturing the right projects with improved offerings to drive margin expansion. In water solutions, our commercial offerings drove very strong sales growth of margin in Q2 which benefited in part from the continued recovery of foodservice and hospitality venues, post the pandemic, and a shift in consumer behavior from products to services. In fact, in 2023, the number of locations of the top 500 chain restaurants in the US now exceeds the 2019 benchmark according to the economic[phonetic] top 500 chain restaurant in 2023 report.

We also saw strength in commercial filtration sales in North America. Our Manitowoc Ice acquisition continued to outperform our expectations delivering strong sales and margins that were accretive to the Water Solutions segment. Over the last few years, Manitowoc Ice has expanded its sales driven by a focus on consumer with a targeted go to market strategy, effective management of macro supply-chain challenges, and reliability in its supply chain to deliver products with better lead times. We are very pleased with the acquisition and how it complements our commercial water solutions businesses, enabling us to provide end-to-end water solutions for customers from filtration to Ice to services.

Lastly, we believe that the residential water treatment is nearing the bottom of the cycle. We believe our residential business is stabilizing and lead times have improved. Awareness of PFOS[phonetic] or forever chemicals that have been found in drinking water continues to rise. We are proud to say that we have products today for residential consumers that reduced PFOS to current certification levels and we continue to drive new innovation and invest in R&D to be able to provide more products that are certified to reduce PFOS. We believe we have positioned the company well to be a leader in this space. Within pool 2023 has been a softer and difficult year. As we expected given the higher than historical demand in 2021 and '22, coupled with supply chain challenges that disrupted our lead times during those periods.

Our lead times have returned to approximately five days on most of our products. However, the channel continues to work-through, higher inventory, creating a sell in versus sell through and balanced for Pentair in 2023. Despite these lower volumes in Q2, we drove significant margin expansion from price, cost actions to rightsize labor to lower volumes, eliminated 2022 sourcing and manufacturing inefficiencies, and deliver transformation savings. We continue to expect Q3 to reflect the bottom in Pool volume for Pentair as we expect higher channel inventories to correct[phonetic], allowing for sell in to be more closely aligned with sell-through.

We have noted in the past, our typical Pool sales mix reflects 40% from new and remodeled pools at 60% from the aftermarket break and fix replacement sales. While the number of new pools this year is lower than the elevated number of new pools built during the pandemic, the installed base of US pools has continued to grow. Despite the short-term reset in 2023, we believe Pool remains an attractive market.

Before I turn it over to Bob, let's turn to Slide 10, titled CEO summary. We delivered another quarter of quality earnings with ROS expansion across all three segments. Our IFT and Water Solutions segments, more than offset Pool volume declines and our transformation initiatives are well underway. Our strong first half, which resulted in another 2023 guidance increase and we believe our Pool business is well positioned for return to growth, following the channel inventory correction, which we expect to be completed by Q3 quarter end. All in, we are building a strong foundation to drive long term growth and profitability across our diverse water portfolio. We are introducing Q3 guidance and raising the full-year adjusted EPS range to $3.65 to $3.75 cents. The midpoint of $3.70 is up $0.05 from prior guidance, due to strong Q2.

We have also updated our segment sales expectations to reflect stronger sales in IFT and water solutions, driven by strong first half of 2023, and lower expected sales in our Pool segment. We continue to closely monitor macroeconomic developments and remain mindful of an uncertain operating environment. We continue to implement risk mitigation strategies we are accelerating transformation funnels as necessary while focusing on investing in the long-term growth of our company. We remain confident in our diversified water business model, long term strategy, and our transformation initiatives which we expect to continue to drive shareholder returns.

We have a long successful track record of generating strong cash flow and being disciplined with capital allocation. We have achieved 47 consecutive years of dividend increases and are targeting high-teens ROIC. We have a strong balance sheet and an enviable five year track record in financials. I will now pass the call over to Bob, who will discuss our performance and financial results in more detail. Bob?"
"4","Bob Fishman","Chief Financial Officer at Pentair","Thank you, John and good morning everyone. Let's start on slide 11, titled Q2 2023 Pentair Performance. We delivered record second quarter sales of nearly $1.1 billion, up 2% Year-over-Year. This is compared to a previous sales record in last year's Q2 of $1.06 billion post the separation of nVent from Pentair in 2018. Our IFT and Water Solutions segments continued another quarter of strong sales performance, which more than offset lower Pool volumes. Sales growth in Q2 included strong price contributions and the Manitowoc Ice acquisition, which closed in July of 2022. The volume decline in Q2 was primarily related to our Pool and other residential businesses which was partially offset by strength within commercial and industrial.

Please note that before I reference record results I'm referring to Pentair's performance post the separation of nVent from Pentair in 2018. Core sales improved 9% in both IFT and water solutions with Pool declining 28%. Compared to the prior year periods, pool sales increased 19% in Q2 2022, and 49% in Q2 2021. Second quarter segment income increased 14% to a record $234 million and return on sales expanded 230 basis points Year over Year to a record 21.6%. This improvement was driven by price, more than offsetting inflation, accretive segment margins from Manitowoc Ice acquisition, the elimination of 2022 manufacturing and supply-chain inefficiencies, and productivity benefits from our transformation initiatives.

We delivered record adjusted EPS of $1.03. Net interest expense was $33 million and our adjusted tax rate was 15% during the quarter, with a share count of $166.1 million. Please turn to Slide 12, labeled Q2 2023 industrial & Flow Technologies Performance. Industrial & Flow Technologies sales increased 9% Year-over-Year, driven by commercial sales growth of 28% and industrial sales growth of 13% which more than offset a decline in residential sales of 4%. Segment income grew 27% and return on sales expanded 250 basis points to 18.2% marking the fourth consecutive quarter of equal to or greater than 200 basis points of improvement.

The strong margin expansion was a result of price offsetting inflation and continued progress on our transformation initiatives. Please turn to Slide 13, labeled Q2 2023 water solutions performance. In Q2, Water Solutions sales increased 51% to $336 million, driven by our Manitowoc Ice acquisition volume and price. Manitowoc Ice has continued to exceed our expectations. Q2 sales were approximately $135 million, up roughly 30% compared to the prior year period. Segment income grew 130% to $75 million and return on sales expanded 760 basis points to 22.2% driven primarily by our Manitowoc Ice acquisition as well as efficiencies from our transformation initiatives. Within our residential business, we are seeing North America stabilize. We have also been evaluating our SKU mix and reducing complexity.

Please turn to Slide 14, labeled Q2 2023 Pool performance. In Q2, Pool sales declined 28% to $334 million. The volume decline of 36 points was primarily due to channel inventory corrections in Q2 this year a strong Q2 2022 comparison and cooler and wetter than usual US weather. The pricing benefit of eight points help partially offset the volume decline. Despite lower Pool sales in Q2 2023 return on sales expanded 190 basis points due to price significantly offsetting inflation, rightsizing direct labor to align with lower volumes, the elimination of 2022 manufacturing and supply-chain inefficiencies, and benefits from our transformation initiatives.

Please turn to Slide 15, labeled Pentair Pool sell-in versus estimated industry sell-through. This slide provides an illustration of our Pool sales sell-in and the estimated comparison to industry channel sell-through since 2019. Here you can see the imbalance of sell-in and sell-through beginning in 2020 and continuing to expand in 2021 and 2022 due to record inflation and supply-chain disruption. In 2023, we have returned to normal lead times and sell-through was returning to normalized levels. We expect sell-in and sell-through to rebalance by 2024 following approximately $150 million of channel inventory correction in 2023. We expect this 2023 inventory correction to become a tailwind in 2024.

Please turn to Slide 16, labeled transformation initiatives. Our transformation initiatives focused on four key themes. Pricing excellence, strategic sourcing, operations excellence, and organizational effectiveness. As we've mentioned in past quarters, we expect strategic pricing actions to benefit the topline of all three of our segments. We expect our other three transformation initiatives to help improve our overall cost structure. As a result, we are targeting ROS of approximately 23% by the end of fiscal 2025. Expanding margins over 400 basis-points as compared to fiscal 2022.

Please turn to Slide 17, labeled transformation runway. As you look at each of the four key themes you can see that the work within these transformation initiatives is in various different stages. For example, in 2023, we are beginning to see early readouts from wave one within pricing, sourcing, and operations. We are beginning wave two within each of these three themes and expect margin benefits to read-out in 2024. You can see how each new wave compounds on the other to drive expected margin expansion year over year through 2025 and beyond. In pricing excellence, the strategic pricing playbook has been developed, which is planned to be rolled out by category within each segment. We have completed internal training and plan to implement these actions over the next few months. In strategic sourcing, the implementation of wave one is underway with savings currently reading out.

We expect to kick off wave two later this summer with readouts beginning in 2024. Incremental to our strategic sourcing waves we have seen benefit from our rapid renegotiation process that is part of our transformed sourcing excellence work. In operations excellence, we have completed the consolidation of two facilities while continuing our execution on lean transformation plans across our sites. In organizational effectiveness, we are in the earliest stages with wave one and expect margin benefits to be realized beginning in 2024. Due to the staggered nature of these transformation initiatives. You can see that what we expect wave three to begin to readout post 2025 in operations excellence and organizational effectiveness.

Overall, we are excited about the savings, we have begun to realize from the early waves and remain confident that our teams can execute on pricing actions and savings we have identified particularly in sourcing. Please turn to Slide 18, labeled balance sheet and cash flow. With our record free-cash flow in Q2 of $433 million, up $144 million from the prior year period and the repayment of debt, we have lowered our pro forma net debt leverage ratio to 2.2 times, down from 2.6 times in Q1. As a reminder, our second quarter is typically our highest free cash flow quarter. We expect our full-year free cash flow to be in line with our historical performance of approximately 100% net income.

Our return on invested capital was 14.9% which includes debt from the Manitowoc Ice acquisition but only approximately four quarters of Manitowoc EBITDA contribution. Our target ROIC is high-teens. In Q2, we entered into interest-rate swaps and collar agreements in order to hedge our variable-rate debt. Our variable to fixed debt is now 48% and 52% respectively, with an average rate of approximately 5.3%. We have no significant long-term debt maturing for the next five years, and the majority of our debt is in term loans going out three to five years. We plan to remain disciplined with our capital and continue to focus on debt reduction amid the higher interest-rate environment.

Moving to Slide 19, titled Q3 and full-year 2023 Pentair Outlook. For the full year, we are raising our adjusted EPS guidance to approximately $3.65 to $3.75 increasing the midpoint to $3.70. Also for the full-year, we expect sales to be roughly down 2% to flat, which is unchanged from our prior guidance in Q1. Segment income to increase 10% to 12% as compared to up 7% to 10% in prior guidance with corporate expense of approximately $80 million. Net interest expense of roughly $125 million and adjusted tax rate of approximately 15% and a share count of $165 to $166 million. Our assumptions on corporate expenses, net interest expense, adjusted tax rate, and share count remain unchanged from guidance provided last quarter.

For the third quarter, we expect sales to be down approximately 7% versus last year's near record Q3. This is mainly attributable to lower Year-over-Year Pool sales as we expect the channel inventory correction to be completed by quarter end. We are also introducing adjusted EPS guidance for the third quarter of approximately $0.84 to $0.89. We expect segment income to decrease 1% to 6% with corporate expense of approximately $21 million. Net interest expense of roughly $31 million and adjusted tax rate of approximately 15% and a share count of $165 to $166 million. Moving to slide 20, titled full year 2023 guidance at midpoint. At the midpoint we continue to expect total Pentair sales to be down approximately 1% to approximately $4.1 billion.

Due to strong Q2 performance in IFT and water solutions, we have updated our segment sales assumptions as follows. We now expect IFT sales to be up approximately mid single digits up from low-single digits. Within IFT we expect residential to be down approximately mid single digits and commercial and industrial to be up low double digits. Water Solutions sales are expected to be up high teens versus mid teens. Commercial is expected to rise approximately 50% with residential sales down roughly 10% and the expected Pool sales range remains unchanged at approximately down mid teens, although, we now expect sales to be down at the higher end of this range due to a softer Q2.

As we have discussed in prior quarters our Pool sales consist of approximately 40% from new and remodeled pools and 60% from aftermarket. Within our current Pool guidance, we now expect new pools and remodels to be down approximately 25% to 30%. Versus previous assumptions of down approximately 25% and inventory and aftermarket to be down roughly 20% unchanged with approximately 2/3 of the decline relating to inventory corrections. We expect price to be up roughly mid single digits. We expect Pool sales to return to more normalized sell-in in 2024 after absorbing significant inventory correction headwinds in the current year.

Segment income is now expected to increase approximately 11% at the midpoint as compared to 9% previously with ROS expansion of over 200 basis points to 20.9%, up 40 basis-points from our Q1 guidance. Overall, we are excited about the future. We believe the diversification of our portfolio has proven that we can weather challenges in one segment while continuing to grow total Pentair sales and expand margins across all three segments despite significant volume declines in our residential businesses. We are seeing progress in our transformation initiatives, generating strong free cash flow, and further strengthening our balance sheet with the repayment of debt.

Before I turn the call over for Q&A, I wanted to highlight why we believe that Pentair is a compelling investment opportunity. Please turn to slide 21. There are six distinguishing characteristics that we believe sets Pentair apart. We are an industry-leader with a diversified brand portfolio and our focus on driving innovation across all three segments. We have a transformation strategy that is expected to drive operational efficiencies and margin expansion. Our ESG focus is on making life better for people and the planet with our smart sustainable water solutions. We recently published our 2022 Corporate Responsibility Report highlighting progress towards our strategic targets.

We have favorable secular trends driving end-market growth. We have a strong balance sheet and cash-flow which we expect to drive additional value creation and we are a dividend aristocrat with 47 consecutive years of increased dividends. I'd now like to turn the call over to the operator for Q&A after which John will have a few closing remarks. Joe, please open the line for questions. Thank you."
"5","Operator",NA,"We will now begin the question-and-answer session. In the interest of time, we ask that you please limit yourself to one question and one follow-up. [Operator Instructions] And our first question here will come from Julian Mitchell with Barclays. Please go ahead."
"6","Julian Mitchell","Analyst at Barclays","Thanks, good morning. My first question, I suppose was really around when we're looking at a couple of the guidance increases in the non Pool divisions just wanted to try and understand the cadence of sales a little bit better through the back half. If I look at the water business for example it looks like the guide implies a pretty heavy sequential declines in Q3 and Q4, just wanted to make sure I understood that right and then also within IFT the guides implying year on year growth evaporates in the back half, is that just a function of comps or something changing in the end market sell-through."
"7","John Stauch","President and Chief Executive Officer at Pentair","I think we would describe it as more moderating, Julian. I think clearly our Manitowoc performance from a year-over-year basis, there is a huge acquisition component year-over-year, but there's also their organic growth of nearly 30%, as Bob mentioned in his comments. Those are the result of industry demand and our ability to fulfill those industry demand and eventually start to moderate and compare against year over year comps that are more normalized. In the IFT side, I think what we're seeing is really strong growth in commercial, industrial, again backlog related that will again moderate in the back half of the year. Moving to what I would say is more normalized growth rates that we would expect on a longer-term basis Julian."
"8","Julian Mitchell","Analyst at Barclays","Understood. Thank you. And then just my quick follow-up on the Pool segment. On that point on inventories, so obviously the sort of the weather impacts early in the second quarter, which had been very well flagged for months now. Is your point that may be delayed the requisite inventory depletion early on, but what's happened in say so far in Q3. That's why you feel confident that the inventory depletion is on track to be finished by the end of September. Maybe just any color on how your conversations with channel partners and what you see on the sell through. How has that evolved in the last two to three months?"
"9","John Stauch","President and Chief Executive Officer at Pentair","I think just on the Q2 numbers for pool I mean it's solely in my opinion, related to more inventory coming out of the channel that we expected. I think the channel has done an amazing job of working and moving and migrating the inventory around branches to where it's needed and they are aggressively working to eliminate that extra inventory from the channel. I think as we talk to our channel partners for Q3 and Q4 we continue to believe that all of the inventory or the excess inventory will be worked out in Q3. Reflecting our current guide, and we will be talking on more normal early buy discussions as we ramp into Q4 as we anticipate the 2024 demand and coming back to more normalized seasonal performance. That being said pool is in our opinion, really low in Q3 from our revenue forecast as it deals with that volume decline for us related to that inventory and channel correction."
"10","Operator",NA,"And our next question here will come from Andy Kaplowitz with Citigroup. Please go ahead."
